DOY2,HR2,CO2,H2O,VPD,NETRAD,LW_IN,LW_OUT,SW_IN,SW_OUT,TA_1_1_1,RH,PPFD_IN,PPFD_OUT,LE,H,G_1_1_1,SH,TS_1_1_1,TS_1_2_1,USTAR,PA,WS
1,0.25,375.02465,0.464625,0,-55.96725,160.555,170.085,-2.66975,-0.32775,-38.375,68.105,0,0,-5.05,-44.471,-17.335,-8.1125,-10.8115,-10.1975,0.01725,92.1675,0.3225
1,0.75,373.488,0.528,0.00225,-69.1955,162.7225,169.34,-2.56275,-0.2365,-38.675,67.805,0,0,-4.7,-41.7695,-17.505,-6.4825,-10.858,-10.2385,0.04575,92.2225,0.4135
1,1.25,374.1885,0.5713,0.0045,-71.5425,163.27,169.0825,-2.763,-0.25525,-38.875,67.6375,0,0,-4.28,-51.66,-17.735,-8.8375,-10.92225,-10.285,0.03525,92.2,0.47575
1,1.75,370.22935,0.321625,0,-66.83175,162.575,168.825,-2.5405,-0.2255,-39.02,67.625,0,0,-5.535,-44.54025,-17.495,-6.85,-10.9865,-10.33375,0.01575,92.1225,0.28925
1,2.25,370.507675,0.10225,0,-65.83875,162.935,167.615,-2.60425,-0.28425,-39.32,66.905,0,0,-7.385,-40.9695,-17.27,-8.07,-11.0485,-10.39575,0,92.1,0.509
1,2.75,370.4153,0.6461,0,-67.125,163.04,167.2475,-2.452,-0.23325,-39.52,66.7475,0,0,-8.7175,-43.9685,-17.215,-6.635,-11.11275,-10.4445,0,92.1,0.2445
1,3.25,368.8575,0.8725,0.0045,-53.88575,162.2175,166.5025,-2.66325,-0.25325,-39.6425,66.5375,0,0,-8.275,-62.5065,-17.445,-6.4975,-11.17475,-10.49875,0.031,92.045,0.2645
1,3.75,371.885575,0.48375,0.0045,-64.8965,158.295,166.315,-2.35775,-0.29875,-39.71,66.9675,0,0,-9.66,-46.13025,-16.35,-7.04,-11.2235,-10.5475,0.01575,92.045,0.2395
1,4.25,367.6441,0.2148,0,-69.4975,156.4225,165.5925,-2.302,-0.288,-39.7775,66.3575,0,0,-6.7275,-49.971,-16.6125,-5.395,-11.2855,-10.594,0.05,91.99,0.27975
1,4.75,368.86755,0.67395,0.0045,-69.96025,155.7825,164.8625,-2.6185,-0.29775,-39.8,66.1125,0,0,-6.63,-51.6225,-16.9,-9.7375,-11.3475,-10.64825,0.05525,92.0125,0.365
1,5.25,372.65225,0.76495,0.00225,-69.65625,154.8825,164.61,-2.512,-0.33325,-39.8,66.4225,0,0,-3.98,-51.815,-16.75,-11.2,-11.41625,-10.70475,0.03525,92.0125,0.7245
1,5.75,365.2802,0.4105,0.00225,-74.622,155.195,163.845,-2.79475,-0.2455,-39.8,66.1225,0,0,-9,-44.893,-16.85,-11.0425,-11.4785,-10.749,0.0315,92.0125,0.4305
1,6.25,371.14235,0.893475,0.0045,-75.671,152.7325,163.45,-2.631,-0.2155,-39.8,65.835,0,0,-7.75,-47.36725,-16.625,-8.8475,-11.55075,-10.8045,0.05,91.99,0.5235
1,6.75,370.4362,0.551775,0.0045,-73.9355,153.9925,163.0775,-2.453,-0.331,-39.8,65.7475,0,0,-7.075,-51.51,-16.575,-8.8,-11.57975,-10.86675,0.01,91.99,0.68575
