DOY2,HR2,TA_1_3_1,RH,TA_1_6_1,TA_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_1_1_1,T_BOLE_1_1_2,T_BOLE_1_1_3,CO2_1_1_1,H2O,CO2_1_2_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_3_2,TA_1_4_1,TA_1_3_3,TA_1_2_1,TA_1_1_1,WS_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,SW_IN_1_1_3,SW_OUT_1_1_2,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_DIF,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,PA,T_SONIC,WS_1_1_2,LW_IN,LW_OUT,CO2,SG,WS,U_SIGMA,V_SIGMA,W_SIGMA,VPD,T_SONIC_SIGMA,NETRAD,PPFD_IN,SW_IN,SW_OUT,G_1_2_1,G_1_2_2,TA
1,0.25,-0.2178875,89.13835,-1.0765,-1.7715,0.7832,0.99209,1.656,1.0828,-2.649,-5.152,-7.050675,-5.31075,-5.0903,-5.80425,-0.765,-0.2367,-0.1915,385.125,5.329,395.125,0.0566156,-0.4942,-21.1425,0.14140075,-0.1398705,-5.913,-0.6778,-2.893,0.99153325,-0.893675,-0.72585,1.9045,-1.039,1.7725,0.87085,-29.6125,-47.255,0,2.242,0,0,0.18895,0,0.41085,14.9025,0,2.1752,2.484,3.054,4.2237,5.253,99.1475,2.966935,0.997175,276.27075,313.179,401.992,-5.8736,0.774984,0.235983,0.2846185,0.11272175,0,0.166543,-34.5981,0,0,0.230558,-5.286365,-2.922315,-3.922925
1,0.75,-0.1639,89.6537,-1.1384,-1.818,0.78323,1.0172,1.646,1.082,-2.722875,-5.18,-7.287325,-5.3925,-5.11145,-5.9385,-0.8134,-0.2462,-0.1983,385.1,5.350775,394.85,0.05043,-0.682769,-18.6716,0.21308175,-0.1426875,-6.332,-0.719,-3.105605,1.02452,-0.738125,-0.86225,1.712,-1.1065,1.81125,0.9341,-38.985,-46.68,0,2.233,0,0,0.1984,0,0.4075,14.9025,0,2.18,2.482,3.044,4.224,5.256,99.130225,3.048125,0.987175,277.343,312.68475,401.577,-5.853135,0.75366025,0.2286825,0.28446275,0.114537,0,0.16712075,-30.9851,0,0,0.261245,-5.40114,-2.99365,-4.0050775
1,1.25,-0.2474075,90.0525,-0.7406,-1.825,0.7594,1.0029,1.652,1.069,-2.7898,-5.191425,-7.29625,-5.5758,-5.1434,-5.994525,-0.7473,-0.2524,-0.2048,385,5.38025,394.05,0.0585888,-0.53861425,-20.639675,0.1814,-0.1329425,-6.016,-0.622875,-2.7839525,1.02857,-0.720325,-0.695775,1.819,-0.921,1.704,0.8974,-34.185,-48.175,0,2.241,0,0,0.1662,0,0.4065,14.9025,0,2.181,2.4788,3.0516,4.2237,5.256,99.1575,2.8322575,1.02875,276.5,312.4795,401.808,-5.80971,0.7759305,0.247852,0.299355,0.118879,0,0.1758415,-31.745125,0,0,0.24794725,-5.56183,-2.9234175,-3.952045
1,1.75,-0.3173,89.8813,-0.708825,-1.75,0.7554,0.98706,1.65,1.07,-2.81015,-5.197125,-7.26985,-5.6477,-5.2039,-6.021675,-0.7552,-0.255,-0.2062,385.225,5.38469,392.125,0.06211685,-0.5132,-19.46235,0.2503115,-0.182212,-6.043,-0.4838,-2.7177,1.00203,-0.7135,-0.9151,1.7425,-0.9143,1.345,0.887525,-42.6025,-52.465,0,2.24,0,0,0.186725,0,0.4046,14.9025,0,2.179,2.478,3.054,4.2206,5.2599,99.1572,2.8651,1.0105,278.503,312.697,401.047,-5.79047,0.76986,0.247354,0.294581,0.119858,0,0.158333,-33.687925,0,0,0.230415,-5.5189625,-2.9946925,-4.11985
1,2.25,-0.4258,90.2,-0.827675,-1.7125,0.7572,0.958,1.643,1.064,-2.853,-5.1919,-7.25475,-5.59945,-5.2152,-5.9781,-0.8029,-0.2736,-0.2149,385.15,5.407,393.325,0.05320295,-0.8702,-20.0017,0.1406,-0.124954,-6.187,-0.5584335,-2.5902825,1.0011605,-0.9987,-1.061,1.674,-1.0459,1.39275,0.90565,-43.95,-49.66,0,2.243,0,0,0.1898,0,0.4051,14.9025,0,2.178,2.4746,3.0528,4.2221,5.2547,99.1776,2.823575,1.014,278.6635,312.7375,401.35,-5.73139,0.729328,0.2316455,0.2916105,0.1134135,0,0.162738,-31.166,0,0,0.214359,-5.72273,-2.92344,-4.059235
1,2.75,-0.4364225,90.15,-0.856525,-1.8755,0.7654,0.9542,1.641,1.0623,-2.829,-5.223,-7.2543,-5.573725,-5.2529,-6.00175,-0.727,-0.2559,-0.2309,385.6,5.43,391.1,0.05856505,-0.6596,-18.233575,0.143962,-0.10317025,-6.233,-0.91795,-2.73833,0.98467525,-0.90345,-1.011,1.482,-0.7143,1.4645,0.94665,-46.26,-47.16,0,2.254,0,0,0.1572,0,0.40635,14.9025,0,2.178,2.4785,3.057,4.2253,5.259,99.17545,2.82243,0.9824,277.8,312.725,401.311,-5.65767,0.73491975,0.25445325,0.28866775,0.11713,0,0.1656355,-29.5895,0,0,0.20511225,-5.471765,-2.9235375,-4.091565
1,3.25,-0.4610725,90.2825,-0.91985,-1.994,0.77083,0.9603,1.633,1.041,-2.97625,-5.2472,-7.2715,-5.49475,-5.26795,-6.037,-0.7867,-0.2688,-0.2122,377.4,5.74332,391.725,0.05347065,-0.9182,-19.60965,0.10586,-0.068836525,-6.187,-0.707461,-2.824245,0.9887775,-0.8826,-1.038,1.602,-0.7999,1.58475,0.928,-34.1525,-47.145,0,2.235,0,0,0.1544,0,0.40305,14.9025,0,2.178,2.488,3.05,4.2257,5.261,99.165,2.7974325,0.9495,277.798,312.72775,404.02975,-5.73942,0.723008,0.241721,0.292987,0.1152225,0,0.1735365,-27.951,0,0,0.2097235,-5.51952,-3.01859,-4.084525
1,3.75,-0.490975,90.04,-1.06975,-2.04,0.76831,0.95058,1.631,1.034,-2.994,-5.2824,-7.343925,-5.68,-5.280125,-6.0414,-0.7614,-0.2837,-0.2135,385.8,5.39147,393.5,0.0574025,-0.835915,-18.155,0.1906265,-0.10754525,-6.357,-1.39051,-3.25819,1.03065,-1.0151,-0.9929,1.684,-0.95825,1.5215,0.924225,-25.9525,-46.19,0,2.235,0,0,0.1873,0,0.40555,14.9025,0,2.18,2.486,3.055,4.2211,5.2614,99.1535,2.91105,0.9476,279.1,312.2045,401.169,-5.7816,0.68286025,0.2324975,0.303295,0.1102495,0,0.164563,-26.265,0,0,0.2412545,-5.6308375,-2.92395,-4.30721
1,4.25,-0.5088775,89.505,-1.24225,-2.114,0.74764,0.94872,1.621,1.049,-3.0308,-5.3066,-7.3645,-5.65555,-5.301,-6.05185,-0.8169,-0.2908,-0.2332,385.575,5.3572775,392.375,0.0506803,-0.5582,-18.8787,0.19656475,-0.1030705,-6.127,-0.65761725,-3.4321325,1.0022325,-1.04325,-0.93335,1.3795,-0.9421,1.48025,0.83735,-24.4475,-45.415,0,2.256,0,0,0.1593,0,0.40205,14.9025,0,2.168,2.4863,3.054,4.2267,5.2638,99.13,2.899,0.9255,276.9755,311.9935,400.6665,-5.747385,0.758819,0.2277145,0.2794815,0.108811,0,0.168304,-28.5438,0,0,0.21491975,-5.5151625,-2.9477375,-4.439455
1,4.75,-0.4639,90.06,-1.329,-2.24,0.746,0.94414,1.626,1.038,-3.014775,-5.33025,-7.3708,-5.7682,-5.3465,-6.091,-0.8959,-0.2734,-0.2293,385.5,5.3415625,392.05,0.05509,-0.820406,-17.3386,0.224667,-0.16411,-6.393,-0.5626,-3.3098825,1.03251,-0.96765,-0.9256,1.449,-0.80635,1.485,0.8274,-33.8475,-44.68,0,2.258,0,0,0.16715,0,0.40425,14.9025,0,2.1702,2.4859,3.0518,4.2214,5.2573,99.1355,2.883,0.90515,280.4635,311.9,400.769,-5.86271,0.68127625,0.235707,0.291941,0.1136265,0,0.1688215,-31.508,0,0,0.23703075,-5.5653525,-3.0904,-4.503
