DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,NEE_1_1_1,RH_1_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4
1,0.25,0.3211297,383.3899,-17.130685,-0.028436145,3.077336,0.4433089,80.4,-8.15865,-0.078119395,0.2348449,1.89137,100.5,-8.745,-28.485,0,-2.33,-0.148,237.8,273.3,-0.537,-0.163,0.474,0.016
1,0.75,0.2532151,383.66995,-15.585775,0.042321195,3.063617,0.4301185,81.2,-8.666,-0.087363625,0.2472857,1.91849,100.5,-8.955,-27.785,0,-2.357,-0.091,240,272.2,-0.523,-0.16,0.473,0.024
1,1.25,0.3183668,383.17935,-17.639325,-0.09503652,3.083738,0.3468828,81.1,-8.8733,-0.09301125,0.24062075,1.939741,100.5,-9.3,-25.885,0,-2.348,-0.061,238.1,272.1,-0.52,-0.173,0.464,0.036
1,1.75,0.25959385,383.889,-18.81813,-0.05555157,3.0116935,0.4566978,80.9,-8.8054,-0.08859195,0.23441915,1.982991,100.53,-9.355,-25.75,0,-2.247,-0.104,242.3,271.2,-0.525,-0.172,0.456,0.028
1,2.25,0.3281536,383.6828,-19.47223,-0.03602906,2.994899,0.412299,80.4,-8.6962,-0.105072,0.2629005,2.0677125,100.5,-9.47,-26.575,0,-2.287,-0.115,242.4,270.8,-0.519,-0.177,0.443,0.0215
1,2.75,0.32772755,383.8209,-16.1466,-0.007360573,3.055661,0.4094551,79.9,-8.7478,-0.09771828,0.2612103,1.935479,100.5,-9.51,-26.01,0,-2.257,-0.164,243.3,270.4,-0.5225,-0.182,0.4765,0.0375
1,3.25,0.3518995,383.8201,-16.40514,0.0008939535,3.136581,0.4865615,79.77,-8.5481,-0.1156315,0.2745986,1.999814,100.5,-9.66,-25.97,0,-2.248,-0.115,241.1,270.2,-0.5215,-0.1845,0.48,0.0195
1,3.75,0.2903582,384.03565,-15.38525,-0.22133555,3.179755,0.37412935,79.72,-8.6489,-0.0948388,0.2558559,1.9041345,100.5,-9.81,-23.885,0,-2.243,-0.075,242.5,269.7,-0.521,-0.186,0.47,0.0215
1,4.25,0.358991,384.0647,-17.834805,-0.06374722,3.1530505,0.4462278,79.98,-9.3362,-0.09986015,0.2672296,1.9939645,100.5,-9.82,-23.98,0,-2.282,-0.096,238.7,269.7,-0.528,-0.1835,0.4485,0.025
1,4.75,0.340677,384.51715,-17.77735,-0.02027824,3.137125,0.4849449,79.71,-9.4962,-0.0864,0.2454979,2.00811,100.5,-9.96,-24.15,0,-2.32,-0.118,238.5,268.9,-0.541,-0.189,0.411,0.014
1,5.25,0.3266318,384.0047,-17.411825,-0.10878655,3.0220775,0.48872415,79.32,-9.1902,-0.1169099,0.2740052,2.0274555,100.5,-10.09,-25.22,0,-2.325,-0.128,237.2,268.2,-0.543,-0.1905,0.4235,-0.005
1,5.75,0.3508525,384.05435,-19.11875,0.03181428,3.1796525,0.41403735,79.65,-9.4171,-0.0984,0.23773125,1.870963,100.5,-10.27,-22.935,0,-2.356,-0.087,235.3,267.8,-0.55,-0.1915,0.4245,-0.0015
1,6.25,0.3478267,384.0986,-18.573245,-0.0073003825,3.1091115,0.44095535,79.41,-9.6514,-0.0964,0.2558697,1.917831,100.5,-10.35,-23.78,0,-2.314,-0.056,236.6,267.5,-0.557,-0.194,0.42,0.013
1,6.75,0.3902892,383.9428,-15.55911,0.01770387,3.123787,0.46770785,80.7,-9.967,-0.1082083,0.2533556,1.867875,100.5499,-10.38,-22.645,0,-1.735,0.008,235.7,267.5,-0.559,-0.194,0.419,-0.004
1,7.25,0.3897522,384.1295,-14.06817,-0.01738955,3.0057885,0.42710325,81,-10.21085,-0.1112954,0.26866285,1.947863,100.54,-10.41,-18.37,14.27,4.9575,1.044,235.2,267.2,-0.557,-0.1865,0.4225,-0.0145
1,7.75,0.3573843,383.9484,-9.0246325,0.0876023,2.933857,0.348213,80.9,-10.6843,-0.1320352,0.2757198,1.992891,100.57,-10.35,2.4285,66.32,32.63,4.396,237,268.6,-0.5725,-0.201,0.434,0.001
1,8.25,0.47692115,384.856,5.0433305,0.1225888,2.793034,0.4240066,80.2,-10.8092,-0.2010483,0.34122455,1.8599865,100.6,-9.84,22.255,140.110096,69.36,8.71,239.7,271.6,-0.579,-0.223,0.434,-0.047
1,8.75,0.5787014,384.87815,25.090125,0.7784429,2.719698,0.4914914,80.3,-10.1301,-0.25137545,0.3854136,1.887275,100.6,-9.41,56.625,245.4663887,121.2,15.29,238.7,275,-0.6,-0.2125,0.4365,-0.021
1,9.25,0.5179527,384.5358,44.0988,1.455569,2.866505,0.3446225,79.31,-9.656,-0.2862817,0.4338736,1.970291,100.6,-8.63,99.8,338.7,181.2,21.01,240.3,277.9,-0.5835,-0.2215,0.412,-0.021
1,9.75,0.5479807,384.3527,62.516785,2.342194,2.923671,0.2081355,76.975,-8.9817,-0.32739965,0.4598314,2.0338565,100.6,-7.9745,134.75,433.65,215.7,24.19,235.3,280.6,-0.587,-0.228,0.419,-0.022
1,10.25,0.46749,383.7152,80.506325,2.747299,3.007697,0.21730985,75.235,-8.3571,-0.34326545,0.4721647,2.077009,100.54,-7.3675,171.4,528.6,263,26.99,234.85,283.3,-0.57,-0.228,0.437,-0.051
1,10.75,0.4530665,383.61655,87.7266,3.508273,3.054387,0.30980045,74.46,-7.62245,-0.35854285,0.488931,2.154231,100.5,-6.735,194.6,598.8,298.9,29.845,233.4,286.95,-0.572,-0.2285,0.432,-0.0445
1,11.25,0.4232288,383.09985,100.6473,4.402795,3.17685,0.18515535,73.895,-7.0936,-0.3932741,0.5193528,2.144835,100.46,-5.996,192.05,618.5,313,31.01,236.1,289.1,-0.58,-0.223,0.4375,-0.043
1,11.75,0.41238775,382.7521,100.099625,4.330813,3.3299,0.2001421,71.915,-6.3319,-0.4346902,0.5563585,2.392853,100.44,-5.603,195.45,607.3,323.2,30.77,237.9,291.3,-0.58,-0.221,0.4355,-0.0555
1,12.25,0.39168685,382.82735,92.67912,5.4071995,3.3085755,0.2156476,70.355,-5.7403,-0.424024,0.54820625,2.354059,100.4,-5.2845,194.2,634.76487045,298.3,30.29,239.3,292.8,-0.584,-0.232,0.433,-0.052
1,12.75,0.3356913,382.7997,89.73396,6.320188,3.314298,0.226357,69.055,-5.2954,-0.406131,0.5351748,2.3491195,100.4,-5.127,179.1,574.4548082,278.45,26.67,241.05,292.95,-0.588,-0.204,0.438,-0.049
1,13.25,0.3032445,382.6466,78.319475,7.11049,3.343431,0.2333051,70.13,-5.3058,-0.41437575,0.54695935,2.391752,100.385,-4.931,150.9,506.3,240.65,23.805,242.45,293.8,-0.573,-0.2085,0.446,-0.028
1,13.75,0.31122465,382.5338,67.89424,5.026648,3.309461,0.2688594,68.815,-4.78635,-0.4272211,0.5563309,2.429536,100.4,-4.794,120,449.1,205.3,20.91,239.6,294.3,-0.5815,-0.204,0.447,-0.045
1,14.25,0.3171304,382.3891,40.74671,5.075068,3.2935005,0.21711425,68.5,-4.6386,-0.40643995,0.5430584,2.469334,100.4,-4.772,79.605,353.45,161.5,16.6,238,293.95,-0.56,-0.199,0.4565,-0.0185
1,14.75,0.3098895,382.0122,19.32371,3.205257,3.357524,0.2514754,69.045,-4.6257,-0.351962,0.5014589,2.3696625,100.4,-4.8185,41.59,244.5185403,119.1,12.72,239.85,293.15,-0.5695,-0.204,0.447,-0.0265
1,15.25,0.3115256,381.9136,-2.05318,1.71601,3.393748,0.32111935,69.275,-4.2181,-0.324504,0.4780783,2.374269,100.4161,-5.0525,11.25,145.95,69.38,8.2,237.9,292,-0.545,-0.182,0.454,-0.018
1,15.75,0.1614906,382.0835,-14.09691,0.3197793,3.339971,0.2236344,70.735,-4.0399,-0.24929415,0.4257651,2.258392,100.4322,-5.1865,-15.44,57.1,26.22,3.841,238.4,290.9,-0.5605,-0.173,0.472,-0.021
1,16.25,0.1823616,382.0174,-20.970495,0.08490456,3.381116,0.2865784,71.97,-4.2818,-0.16175805,0.3477636,2.096179,100.46,-5.5375,-40.15,10.48,2.218,0.675,234.7,288.2,-0.534,-0.158,0.496,-0.0145
1,16.75,0.265644,382.5481,-25.67362,-0.1654966,3.376725,0.36318525,72.7,-4.4945,-0.14382215,0.3235477,2.064492,100.46215,-5.953,-44.31,0,-2.244,0.144,234.8,286.3,-0.551,-0.145,0.494,-0.015
