DOY2,HR2,FC_1_1_1,FC_1_1_2,CO2_1_1_1,CO2_1_1_2,H_1_1_1,LE_1_1_1,LE_1_1_2,H2O_1_1_1,H2O_1_1_2,H2O_1_2_1,NEE_1_1_1,NEE_1_1_2,FCH4_1_1_1,CH4_1_1_1,RH_1_1_1,RH_1_1_2,RH_1_2_1,VPD_1_1_1,VPD_1_1_3,VPD_1_1_2,VPD_1_2_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,WS_2_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_2_1_1,SW_IN_2_1_1,SW_OUT_2_1_1,LW_IN_2_1_1,LW_OUT_2_1_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,G_1_1_1,PPFD_DIF_1_1_1,TA_1_1_2,TA_1_1_3,TA_1_1_4,TA_1_1_5,TA_1_2_1,TA_1_2_2,TA_1_2_3,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_6_1_1,TS_6_3_1,TS_6_4_1,TS_6_5_1
1,0.25,0.320021549,0.2390562,400.6656046,426.689,-18.346,0.053059667,-0.04533115,2.783209517,2.25858,2.98998,0.340674,0.29191828,-0.118897697,1972.3976165,73.06235592,72.09825,78.89,0.287446,0.766337158,1.100485,0.645272,-8.837,-0.113495,0.288967,2.19553,2.209,100.5,-8.43,-27.71315,0,-0.0185,-6.087924,-2.6516615,256.534,284.21445,-26.35,-2.002,0.197,250.5,277,0.1,0.74,1.66,2.6,3,0.3,1.1,1.7165,3.2515,4.1,0.3,0.442,-6.5205,-6.5095,-6.5025,-6.5305,-5.656266,-5.36691,-4.828728,0.607,1.9155,3.003,4.216,1.131,1.9995,3.2855,4.2785,0.194,1.7415,3.6645,4.771
1,0.75,0.2910683,0.178543,401.5269319,426.625,-18.46292,0.00931339,-0.065951435,2.79164,2.357134,2.998505,0.417804824,0.2729404,-0.162752,1972.66,73.570748585,73.455,79.57,0.2453223,0.745667976,1.071805,0.6223915,-9.391,-0.1130624,0.2845414,2.1714605,2.256500057,100.5,-8.56,-26.401445,0,-0.016,-5.9759265,-2.646665,257.18175,283.72045,-23.115,-1.915,0.199,250.35,276.15,0.09,0.74,1.66,2.59,2.99,0.3015,1.1,1.71,3.2535,4.1,0.292,0.4385,-6.459,-6.4395,-6.434,-6.4885,-5.7410045,-5.5519835,-5.031767,0.6045,1.912,3.005,4.2125,1.128,1.998,3.288,4.279,0.196,1.748,3.6625,4.7745
1,1.25,0.331763,0.224991,401.9284,426.8288,-16.91793,0.04223554,-0.1050083,2.783667196,2.399275,2.97425,0.4015622,0.3493284,-0.292,1973.101,72.758383355,72.57,79.58,0.2347212,0.758776,1.055203,0.628783,-9.5855766335,-0.0997315975,0.2680973805,2.160499223,2.2225,100.50035,-8.73,-23.569615,0,-0.0205,-6.042437,-2.708631,259.1898,283.04825,-21.88,-1.933,0.1605,253.1,275.65,0.08,0.735,1.66,2.595,3.005,0.3015,1.1,1.708,3.258,4.1,0.302,0.4425,-6.4635,-6.448,-6.464,-6.465,-5.9660255,-5.837672,-5.110018,0.6085,1.911,3.0045,4.2135,1.1305,1.9995,3.2835,4.282,0.1945,1.7405,3.661,4.781
1,1.75,0.2718872,0.297686,402.3020491,427.164,-17.1555,-0.0245665,-0.1348265,2.723207788,2.38358,2.996255,0.37587325,0.393862,-0.3178975,1972.9519405,73.497869325,73.69,79.91,0.20641,0.7284956,1.05983,0.6216225,-9.47,-0.094293,0.264438,2.0893555,2.1660000085,100.535,-8.78,-24.32832,0,-0.018,-5.830944,-2.696311,259.3181,283.1364,-22.97,-1.9405,0.1705,252.75,275.15,0.07,0.74,1.66,2.6,3.01,0.303,1.1,1.71,3.2485,4.1,0.293,0.443,-6.6045,-6.5935,-6.608,-6.599,-6.2938445,-6.00905,-5.394155,0.6065,1.911,3.006,4.211,1.125,1.9995,3.2845,4.2755,0.1975,1.7445,3.661,4.775
1,2.25,0.2615634655,0.260373,402.30317295,426.9034,-18.19045,-0.114014,-0.1416545,2.648243,2.37208,3.03033,0.3754083,0.3997506,-0.356733,1972.444564,74.25770477,74.013315,80.4,0.19032515,0.70652905,1.006764,0.6075025,-9.47,-0.08899502,0.2530826945,2.129210809,2.206,100.50505,-8.99,-22.903925,0,-0.0235,-5.924552,-2.784296,258.9201,282.6754,-24.305,-1.9375,0.1745,252.4,275,0.08,0.735,1.66,2.595,3,0.3035,1.1,1.7085,3.245,4.1,0.294,0.442,-6.8655,-6.8515,-6.8385,-6.8535,-6.342832,-6.0646415,-5.4717745,0.6085,1.9095,3.007,4.211,1.127,1.9995,3.2855,4.279,0.196,1.7465,3.6645,4.775
1,2.75,0.3053055,0.1750559,402.03185,426.5635,-16.82785,0.06847427,0.0521857,2.6267745,2.3208035,2.981565,0.4631034,0.25616775,-0.392133,1972.192,75.7805101,75.12,80.7,0.173908,0.683228079,1.04012,0.6007455,-9.6563,-0.0994903,0.2720068,2.120883,2.1185000155,100.51,-9.2,-20.19209,0,-0.0275,-5.998047,-2.780437,259.43255,281.488,-23.46,-2.005,0.1505,252.3,274.35,0.09,0.75,1.65,2.6,2.99,0.3015,1.1,1.7165,3.2435,4.1,0.294,0.4425,-6.903,-6.899,-6.891,-6.961,-6.5150625,-6.2843195,-5.697803,0.604,1.9095,3.0055,4.2085,1.13,1.996,3.283,4.2785,0.197,1.7455,3.67,4.7715
1,3.25,0.3216274,0.3288607,402.28125,426.831,-17.820565,0.110664,0.0147437,2.641168,2.19615,2.96061,0.3777822,0.3786887,-0.414458356,1972.257,74.83421175,75.40181,81,0.1467985,0.664959526,1.0096265,0.557895,-9.6843,-0.105818982,0.27393895,2.0842015,2.1109920565,100.5,-9.31,-19.276705,0,-0.026,-5.7856835,-2.686321,260.1744,280.38625,-22.22,-2.0015,0.157,250.95,273.95,0.09,0.73,1.66,2.595,2.995,0.3,1.1,1.72,3.243,4.1,0.298,0.4405,-7.2865,-7.2645,-7.2575,-7.2775,-6.8520775,-6.6478065,-5.985363,0.6045,1.91,3.007,4.211,1.1285,1.9935,3.283,4.2725,0.1945,1.7435,3.6585,4.771
1,3.75,0.3220893,0.2426585,403.0649917,427.18,-18.179263025,0.000814,0.009029745,2.6896319125,2.14169,2.877975,0.37447895,0.27878891,-0.287317,1973.388419,75.86412353,74.9301,80.7,0.1302379,0.634560046,1.0176985,0.541249,-9.860780771,-0.103093,0.2743086,2.136645977,2.0709999665,100.5,-9.28,-18.9874,0,-0.0275,-5.8400815,-2.6950365,259.9983,279.21335,-21.015,-1.973,0.1645,249.65,273.85,0.11,0.72,1.66,2.6,3,0.3,1.1,1.705,3.245,4.1,0.297,0.441,-7.3955,-7.3725,-7.3655,-7.387,-6.965658,-6.8277125,-6.1349395,0.605,1.9075,3.0045,4.2075,1.1215,1.9985,3.286,4.2785,0.181,1.743,3.662,4.7775
1,4.25,0.3087084175,0.208386,402.5481,427.1658,-18.6932,0.052542898,-0.0571559,2.566237,2.20108,2.871955,0.3972226955,0.2513045,-0.4603735,1971.497052,76.472022195,74.217625,80.4,0.1476489,0.630251,1.04431,0.5542505,-9.8913,-0.1135842,0.28322315,2.17197,2.210999966,100.5,-9.45,-18.35661,0,-0.02,-5.760274,-2.7564565,260.62475,278.59875,-21.495,-2.004,0.184,249.45,272.15,0.085,0.73,1.655,2.595,2.995,0.2985,1.1,1.708,3.235,4.1,0.303,0.4435,-7.4445,-7.42,-7.424,-7.489,-7.2933615,-6.962659,-6.388104,0.6045,1.909,3.006,4.2145,1.126,1.9925,3.2845,4.2725,0.1795,1.744,3.66,4.7715
1,4.75,0.3333264395,0.228004,403.1613647,426.754,-18.45497,-0.01369127,-0.045108435,2.5387073925,2.152355,2.82002,0.390152,0.359656,-0.2939165,1972.803689,76.19917122,75.5972,79.8,0.10157387,0.59459,1.023026,0.5496575,-9.9371,-0.1042324,0.2744813,2.147065,2.1295,100.5,-9.54,-21.18213,0,-0.025,-5.87193,-2.693265,257.5162,278.35005,-22.57,-2.0325,0.1995,248.3,272,0.08,0.73,1.65,2.59,2.99,0.3,1.1,1.712,3.2315,4.1,0.305,0.4435,-7.5885,-7.578,-7.5725,-7.595,-7.3882205,-7.1015805,-6.544463,0.605,1.9095,3.0035,4.2085,1.122,1.9905,3.28,4.2765,0.176,1.7375,3.6585,4.7725
