DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,NEE,G_2_1_1,G_3_1_1
1,0.25,1.035,1.277,0.5875,-0.2661,-2.05108,-1,425.463129225,6.4985425,90.85,1.5712525,0.452235,1.91274,1.17,1.8,93.0666425,0,0,0,297.8833,318.2333325,-6.4575,0.636,1.181,2.28675,2.85,3.502,4.84,0.22725,0.7814,0.8471675,0.2519375,2.020156802,1.108,-3.0763425,-2.0021175
1,0.75,0.93865,1.8073,0.661,-0.7005325,-2.0512775,-1,426.975,6.4869175,90.85,1.6875,0.4985225,1.7244025,1.213,1.49935,93.224975,0,0,0,301.43333,318.4675,-6.125275,0.635,1.1445,2.1965,2.85,3.493,4.844,0.23125,0.79,0.8310925,0.2312533245,1.819068687,1.18075,-2.74301,-2.002105
1,1.25,0.90825,1.362,0.63,-0.63834,-2.0516,-1,426.17865,6.408285616,90.86225,1.450125,0.498305,1.489175,1.17,1.739575,93.6,0,0,0,299.3425,317.77,-6.53,0.586,1.052,2.0535,2.8315,3.521,4.839,0.246175,0.8790225,0.806995,0.268485,1.7522625,1.17375,-0.512895,-2.0021
1,1.75,1.035,1.95,0.4825,-0.6742,-2.05158,-1.3,425.925,6.44169,90.867,1.6675,0.52116,1.92069,1.345,1.7,93.7475,0,0,0,301.72,317.91,-6.716725,0.534,0.993,2.074,2.79,3.516,4.822,0.238425,0.8125,0.866640745,0.2525,1.8491675,1.1195,-0.119545,-2.0020925
1,2.25,0.87,1.4027,0.756215,-0.7806175,-2.1,-1.2254175,425.9607625,6.4,90.86,1.29,0.5,1.3493,1.08,1.72,93.4,0,0,0,301.935,317.17,-3.4975,0.45,0.92225,1.995,2.7725,3.496,4.82725,0.23,0.8325,0.81706,0.264847397,1.670465,1.06925,-0.512895,-2.00201
1,2.75,0.8025,1.33756,0.97758513975,-1.064245,-2.1,-1.00096,428.775,6.4,90.8725,1.2725,0.51,1.32687,0.92,1.1933,93.3917525,0,0,0,303.985,316.3425,-4.2275,0.4205,0.907,1.95,2.70225,3.5175,4.85675,0.200825,0.8026325,0.80983,0.250925,1.82275,1.07375,0.58923,-2.0017525
1,3.25,0.9938,1.97,1.065,-1.091135,-2.1,-1.325,428.679896475,6.487375,90.8625,1.265,0.46014,1.3079725,0.78,1.06,93.41975,0,0,0,304.0175,316.5308325,-4.65,0.50375,0.9225,1.922,2.69,3.51375,4.846,0.247775,0.8438525,0.8488525,0.26459,1.8375175,1.01275,-0.7686225,-2.0017775
1,3.75,1.0355,1.672761963,1.40676,-1.08229,-2.1,-1.4,427.80473,6.4,90.845,1.2005,0.464245,0.97953,0.705,1.05325,93.933335,0,0,0,306.2,316.52,-2.808929182,0.475,0.928,1.9065,2.707,3.509,4.836,0.27,0.8675,0.77986,0.32,1.98733,0.9565,-0.094005,-2.0017625
1,4.25,0.905,2.06765,0.879315,-1.1,-2.1,-1.800315,426.45,6.5,90.8545,1.01,0.484995,1.6857325,0.588,1.0235,94.2441675,0,0,0,303.692475,316.4575025,-5.11,0.47275,0.917,1.88,2.655,3.494,4.835,0.28,0.7746175,0.8081475,0.2676225,1.78,1.242,-0.2563825,-2.00164
1,4.75,0.755,1.64953,1.43,-1.0648,-2.1,-2,426.7,6.470075,90.83,1.28,0.4412325,1.69865,0.607,1.06,94.4,0,0,0,302.81,315.4775,-3.28975,0.49,0.92,1.845,2.612,3.4645,4.829,0.28,0.80635,0.805,0.2825,2.12367,0.999,-0.4700175,-2.0015275
