DOY2,HR2,CO2,H2O,T_SONIC,TA,PA,RH,VPD,WS,USTAR,TAU,H,LE,FC,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,SW_IN
1,5.25,396.47349065,2.399826725,-21.2587548,-21.5461048,95.992577975,77.3835622,0,0.2804765,0.0222953,-0.2101996,-45.42073475,-8.285230825,-0.671474425,0.097718,0.1183689,0.0225498,0.0318852,0.00557665,0.05327,-1.828030375
1,5.75,396.7695892,2.439391,-20.9869769,-21.26258385,95.7137253,77.778272175,0,0.2647151,0.0272757,-0.2171098,-49.0894105,-7.058315,-3.647153,0.1273821,0.1151908,0.0284109,0.0328476,0.005916,0.050080225,-2.501628625
1,6.25,392.5514783,2.2922936,-20.98874775,-21.18012045,95.958770525,76.389352,0,0.3271776,0.02532885,-0.19459475,-47.39087265,-5.2353016,-0.64495655,0.15913415,0.12311815,0.02232145,0.0329642,0.0062687,0.0417054,-1.86572
1,6.75,390.0654187,2.44397375,-21.1226036,-21.4049044,95.9579323,80.52502495,0,0.2911832,0.0343678,-0.217822,-53.170328,-9.918063325,-0.380558075,0.1536878,0.1244656,0.0285102,0.0353054,0.00562865,0.0478953,-2.14343425
1,7.25,396.2960174,2.286318275,-21.29876615,-21.493221125,95.946007875,65.85901625,0,0.206363275,0.0273366,-0.23625235,-38.823414875,-16.04912985,-3.6847872,0.150491275,0.10571295,0.024225825,0.029973725,0.0050292,0.052841325,-2.07532825
1,7.75,390.5541788,1.92787375,-21.229757325,-21.433110725,95.94508395,60.96851155,0,0.298249825,0.030147925,-0.220379175,-37.0900815,-5.29098225,-1.0515022,0.1174327,0.116031475,0.026247875,0.03769825,0.0049923,0.0543752,-3.65108575
1,8.25,391.910403625,2.2913725,-21.087971,-21.3710791,95.93726235,71.429413675,0,0.3991694,0.0299824,-0.2609544,-31.96354475,-5.5162112,-0.3282105,0.1528738,0.117208,0.032052,0.0322192,0.005868375,0.06582215,1.330202
1,8.75,392.3980695,2.261972375,-20.4472413,-20.99937095,95.962993075,63.872661525,0,0.2242673,0.029409925,-0.180974675,-30.271403,-6.1295479,-0.53567345,0.1030411,0.134894625,0.03148655,0.03288485,0.0065414,0.05851225,4.277095875
1,9.25,393.786870625,2.46686135,-19.90844405,-20.3450062,95.9674132,81.08292325,0,0.3259761,0.03611105,-0.22324645,-23.71346785,-5.267074475,-0.596209,0.1554574,0.1231628,0.03899925,0.0333444,0.00675775,0.064251625,9.23032825
1,9.75,393.096153075,2.447248375,-15.5752727,-14.99627485,95.946938,79.29400455,0,0.27900345,0.0372391,-0.2385205,-20.5372985,-3.727757625,-0.727552675,0.1624898,0.14640035,0.0339271,0.03690615,0.006064775,0.030416625,11.65247475
1,10.25,393.19485,2.45553765,-15.08396085,-14.402532,95.942648,76.438252275,0,0.422143,0.054824625,-0.2120802,-20.909946,-2.4217901,-0.947349,0.1813827,0.139877025,0.056410075,0.03432365,0.005385,0.0495396,15.95517625
1,10.75,394.0285346,2.4409786,-16.2730775,-17.8910798,95.9712058,81.484524875,0,0.455209,0.040974,-0.2402665,-20.187887875,-2.669924,-0.9600558,0.1707225,0.1677985,0.067111,0.0362325,0.0053105,0.1246914,17.57921725
1,11.25,394.6321641,2.498070125,-15.0426339,-16.58356295,95.94819985,77.33929835,0,0.48671945,0.05038125,-0.2517128,-20.5789298,-0.81090035,-1.0404169,0.18991745,0.163841675,0.071458025,0.04271175,0.0060533,0.127858,21.1025454
1,11.75,394.4536028,2.561281,-13.4774031,-13.799083025,95.9288001,66.19992935,0,0.513133825,0.0503994,-0.248584025,-23.36762255,-8.806088,-1.160584425,0.1993962,0.1829864,0.067342975,0.0407527,0.005370625,0.1497265,25.200012875
1,12.25,394.69313875,2.52368825,-16.577589,-16.799732,95.91686525,77.2780315,0,0.36782,0.0574244,-0.2467716,-22.99983,-5.021424,-0.91700775,0.2746326,0.2012766,0.0858926,0.0403514,0.00602075,0.133538475,27.73146225
1,12.75,393.2549622,2.5556512,-14.532107025,-15.6515762,95.9690516,77.6311194,0,0.7858023,0.060523425,-0.2269756,-25.6412587,-0.7077224,-0.7946568,0.236450125,0.187429375,0.075797025,0.040434075,0.0060328,0.14252575,24.30707075
1,13.25,391.7795086,2.5093054,-14.10788135,-15.03200105,95.6882136,74.420895,0,0.71238335,0.0551684,-0.25358635,-20.0882205,-5.0867831,-0.9801774,0.2660675,0.17953905,0.07757475,0.04471155,0.005292,0.17283535,26.09439425
1,13.75,394.5887485,2.5514076,-13.76755,-14.660833,95.69192525,75.2962115,0,0.8942059,0.0704288,-0.2361496,-30.4203201,-0.267559525,-2.37083875,0.2868246,0.2302218,0.075862,0.0460539,0.00513725,0.16997775,26.652575375
