DOY2,HR2,USTAR,TA_1_1_1,WS,FC,SC,H,LE,G_1,TS_1,RH_1_1_1,CO2,VPD,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,TAU,SH,SLE,T_SONIC,PA,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_OUT_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,SW_OUT_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,TS_5_1_1,TS_6_1_1
1,0.25,0.0337125,-1.5048,0.01365,-3.0296,-2.133018,-61.996825,-17.08925,-33.02125,6.97955,44.37675,373.2845,0,-87.493575,-0.1000624,-20.811,-0.949211,-16.80375,-34.902825,7.107726,99.7987,1.652316,0.2001806,0.173019,0.04622,0.04534,0.2183570873,0.01236984425,236.2732,313.4074,0.08501055,-48.2931375,-25.715085,-33.83603,0.1080756,11.4832,9.875777,10.95778,10.6108,5.74534,11.24266
1,0.75,0.03045,-1.7073,0.028125,-2.993325,-4.8547565,-61.6345125,-16.363265,-34.40525,6.871825,45.1845125,373.156,0,-86.45264,-0.08125,-20.7675,-0.937092,-18.9553,-47.32459,7.08672875,99.82205,1.424966,0.148724,0.186479125,0.0374625,0.0458375,0.234007897275,0.01359191305,235.745625,312.55725,0.01567,-50.1583325,-28.6157625,-38.21174,0.0677,11.3772125,9.80103875,10.810075,10.5537375,5.6968985,11.19806
1,1.25,0.0462,-1.7595,0,-1.675225,-5.4200255,-66.620525,-14.39744,-34.4005,6.77325,45.532,372.845175,0,-85.96202,-0.09406,-20.917,-0.9995608,-16.83575,-47.36228,7.083452,99.77732,1.560115,0.2043742,0.1849946,0.05886,0.04874,0.2525104045,0.0133651283,235.6224,312.2724,0.017365,-50.7474125,-33.56648,-39.75323,0.04523,11.30444,9.714582,10.8039,10.49702,5.653282,11.11378
1,1.75,0.0394,-1.849325,0,-3.708848,-3.27529885,-66.06045,-16.826175,-34.40525,6.64065,45.12125,373.252,0,-85.7778425,-0.08996,-21.04625,-1.0064132,-15.14204,-52.33422,7.110306,99.77968,1.44362875,0.2257402,0.1884758,0.07704,0.04614,0.2573429044,0.014205481725,234.847,311.5452,0.0161775,-51.227565,-34.92908,-40.94863,0.0413875,11.29488,9.687691,10.74876,10.43508,5.610514,11.02656
1,2.25,0.03438025,-1.837525,0,-3.662575,-6.52706375,-73.61684,-29.72866,-34.39525,6.5735,45.9021125,372.654,0,-85.4440725,-0.0796,-20.63675,-1.047216,-15.53266,-103.94348,7.067158,99.78854,1.4083885,0.2350114,0.2300304,0.09394,0.05458,0.2439943518,0.012729757925,231.2132,310.7206,0.00868975,-52.8578975,-36.06664,-42.32179,0.0591,11.20506,9.62775,10.72678,10.37648,5.578896,10.94202
1,2.75,0.044977,-2.031475,0,-3.752922,-3.9847805,-71.6679,-20.74132,-34.43525,6.5005,45.362,369.3533,0,-84.91274,-0.0756,-20.96575,-0.917359,-19.49654,-60.601875,6.972826,99.79052,1.986539,0.198156,0.1869864,0.0658,0.04642,0.26971037185,0.01351453565,232.6484,310.3996,0.055015,-54.3354575,-37.06082,-42.96099,0.0376,11.2,9.56117,10.64708,10.32114,5.550834,10.85836
1,3.25,0.036035,-2.32605,0,-4.6671686045,-8.95791875,-72.92714,-24.063475,-34.4205,6.441375,46.844,370.5325,0,-84.776795,-0.03984,-20.72,-0.8640594,-18.21044,-86.036895,6.917895,99.79326,1.784617,0.2428248,0.2098748,0.06368,0.05642,0.266775583,0.013802218725,229.461,310.0682,0.093965,-55.601655,-37.9612,-43.5923,0.077155,11.2,9.503975,10.61058,10.26552,5.524678,10.77448
1,3.75,0.033,-2.57735,0,-4.511699,-6.5139465,-70.57139,-18.98892,-34.4205,6.33125,47.88875,371.3703,0,-84.608705,-0.05302,-20.743,-0.8794958,-17.47248,-58.269595,6.9053075,99.79584,1.473794,0.2139176,0.1867162,0.06132,0.04746,0.2488800155,0.01477271665,228.7958,309.2882,0.1010583,-56.282965,-38.71548,-43.80769,0.047985,11.17754,9.464225,10.4993,10.23278,5.496592,10.6909
1,4.25,0.0451,-2.78405,0,-3.921478,-9.288543,-89.671,-21.4711,-34.44525,6.260875,47.46875,368.4687,0,-85.1791725,-0.06538,-20.7905,-0.9364406,-17.34092,-91.4745,6.82728875,99.81144,1.28549525,0.2544444,0.1519174,0.05772,0.05118,0.24839280465,0.01458028355,229.106,308.2068,0.0604075,-57.1592325,-39.37708,-43.78462,0.0209775,11.11602,9.328617,10.45678,10.20448,5.46636,10.61024
1,4.75,0.042075,-2.94451,0,-10.34297,-9.4911425,-77.81215,-18.2446475,-34.899,6.2284,48.212,372.12225,0,-84.26428,-0.04416,-21.13625,-1.0857004,-16.13594,-53.9497125,6.61227,99.83828,1.189964,0.2083354,0.204744,0.08228,0.05218,0.24786153055,0.0188197605,229.5744,309.161,0.0655475,-57.9594775,-40.01814,-44.03373,0.03425,11.08482,9.285808,10.41934,10.16868,5.435974,10.53286
1,5.25,0.03895,-3.3275,0,-4.65712175,-8.53113875,-83.72564,-39.639425,-35.8585,6.1743,48.800335,373.865,0,-84.512525,-0.02112,-20.88425,-0.9901348,-14.93982,-88.13217,6.219845,99.88506,1.058941,0.242632,0.1915192,0.07612,0.05958,0.2496918315,0.014580414,226.0086,308.3222,0.038405,-59.028865,-40.77124,-45.21303,0.0309525,11.02044,9.234002,10.41548,10.12862,5.404638,10.45824
1,5.75,0.044925,-3.538,0,-4.257175,-16.1390221905,-71.5163775,-50.462365,-35.44475,6.13695,48.66225,370.09425,0,-84.32084,-0.007686,-20.7045,-1.020494,-14.15808,-63.0409475,6.1138225,99.91866,1.915655,0.2463322,0.2431192,0.06126,0.05862,0.2642402381,0.017086426375,229.3478,306.6508,0.0271875,-59.6641725,-41.2884,-46.26758,0.0609,10.92434,9.197469,10.36812,10.0883,5.372642,10.38484
1,6.25,0.0429025,-3.685,0,-7.789858,-9.575,-78.3608,-27.55818,-35.31675,6.02005,49.17935,370.707,0,-84.2792775,-0.01488,-20.6875,-0.8954704,-18.65156,-30.66074,6.0565125,99.87382,1.57136625,0.2392564,0.2501894,0.05472,0.05016,0.2421943515,0.0205664005,229.0188,305.1166,0.01574,-58.23771,-38.3008,-42.69807,0.0357,10.86182,9.15658,10.30312,10.04674,5.339994,10.31634
1,6.75,0.0519,-4.0429,0,-8.191056,-12.24009,-74.7513,-27.5866775,-34.49775,5.917875,50.67272,370.28655,0,-82.78219,-0.012804,-21.2535,-1.037936,-18.4102,-56.143935,5.94648125,99.90624,2.03408075,0.2245732,0.2267584,0.05616,0.04744,0.26209910895,0.016607214,229.2472,305.5386,0.04763,-60.315005,-39.7912,-46.5208,0.032955,10.76776,9.091001,10.25834,10.003534,5.307384,10.2539
1,7.25,0.050175,-4.378875,0,-12.3380775,-8.069136,-70.343725,-27.971675,-36.158,5.80155,50.11121,370.321,0,-79.17988,0,-18.7595,-1.25695,-15.38326,-78.7601575,5.925475,99.95002,2.2833805,0.2469034,0.2003616,0.08792,0.05098,0.256406580475,0.01519493415,228.7212,305.2804,0.029435,-61.400535,-40.60474,-46.28422,0.080325,10.72116,9.074334,10.20658,9.969296,5.275064,10.18784
1,7.75,0.0542,-4.317025,0,-7.82846875,-9.808927,-69.9513725,-23.0202,-35.46175,5.7339,49.203155,370.383,0,-47.73,0,-7.195,-1.102362,-13.97438,-65.90782,4.18300375,99.9934,2.4344245,0.2543368,0.2467312,0.06478,0.05722,0.21624091675,0.03079342905,229.313,305.2372,0.52660275,-62.0363225,-41.09116,-46.61323,0.59600155,10.66046,9.054747,10.17932,9.926604,5.24711,10.124284
1,8.25,0.0939545,-3.6048,0,-4.965762,-13.377515,-49.127265,-41.96475,-34.43,5.709,46.48094,373.82265,0,-31.15945,14.0876,3.30411375,-1.23801,-18.5758,-100.19401,2.91217,100.02886,2.44575,0.2893764,0.2611434,0.1605294,0.06536,0.23896525405,0.038231904525,231.1992,307.8882,1.1314415,-61.75572,-41.29112,-45.7561,1.49870375,10.63996,9.061254,10.17676,9.886154,5.224522,10.068306
1,8.75,0.107204,-2.444145,0,-8.08782275,-13.64614,-42.8555675,-52.965165,-34.43,5.62125,44.7561,378,0,-19.51175,28.8,8.3542075,-1.198444,-16.94794,-83.4879025,1.9760345,100.0558,1.694197,0.323333,0.3065038,0.1739962,0.07962,0.2912746906,0.05079545745,232.4046,312.9112,1.7990665,-59.3230275,-40.74862,-42.67145,1.8503875,10.64,9.093697,10.1446,9.86189,5.212806,10.028846
1,9.25,0.126678125,-1.7083125,0,-9.4179695,-11.232565,-35.135075,-39.7857,-32.933,5.72265,40.423,377.808,0,-0.135,47.99969244,20.336,-1.370314,-10.21062,-43.33488,3.2280825,100.078,2.257885,0.3827088,0.2968466,0.2131046,0.1116936,0.32070117775,0.05584235235,236.6386,317.2502,3.4260935,-54.242345,-39.70762,-37.67189,2.566234,10.67582,9.189832,10.17956,9.856988,5.222248,10.013534
1,9.75,0.154,-0.46005,0.0426000000000001,-13.9345836975,-10.82475,-33.137125,-11.4647,-30.82,6.184375,35.93925,372.658525,0,10.3275,79.67015,38.04,-1.512713,-7.5619065,-36.1616375,3.063019,100.0929,2.33840075,0.3693025,0.3220073,0.2628114,0.12657745,0.50679685315,0.087896390425,239.979875,322.461,5.303467,-48.457375,-38.448375,-32.0006125,5.087035,10.836825,9.243055,10.1925375,9.8858675,5.062698,10.031212
