DOY2,HR2,H,LE,FC,SH,SLE,SC,CO2,H2O,RH,VPD,WS,USTAR,LW_IN,LW_OUT,RH_1_1_1,NETRAD,SW_IN,SW_OUT,G_1_1_1,G_2_1_1,G_3_1_1,TAU,T_SONIC,TA,PA,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA
1,15.25,131.704,70.055,-3.745252,-1.19161,0.05169087,-0.05356172,393.6987,18.0431,64.3447,9.803314,3.703165,0.462813,354.9365,425.301,63.352525,256.9334,421.2494,68.3595,2.16132,10.394,14.20841,-0.251406,26.578,23.772,102.703,1.126583,1.001494,0.536889,0.5378485,1.30812139160286,0.2570776
1,15.75,96.7289,59.2068,-3.214081,-1.81203,-0.46795935,-0.05057,392.9639,17.8411,65.547615,8.9293285,3.66757,0.4499056,354.308,422.8731,65.19337,193.688,353.801,59.15718,2.38893,11.085,11.92762,-0.2404912,26.431,23.282,102.6945,1.09268934286008,0.931029537662474,0.520146133312553,0.432406059,1.058122176101,0.2410057
1,16.25,50.3884,44.9585,-2.129133,-2.434471,-0.48890245,-0.0880224,392.737,18.01836,69.3358,7.349389,3.51704,0.4310278,352.7599,416.134,67.46371,106.4784,240.1133,41.90298,2.17383,9.03353,9.91505,-0.223228,25.89774,21.943,102.6913,1.03696190865432,0.8663412,0.4957933,0.2999144,0.8164561,0.216673
1,16.75,11.7296,27.2972,-1.01340955,-3.288501,-0.86365685,-0.1062673,391.341,17.298135,73.63883,5.7771375,3.37154,0.3952372,348.8765,410.74,69.696345,37.36858,142.5153,26.75206,1.87584,5.50962,7.641623,-0.189502,25.79885,20.804,102.7157,0.9762955,0.7491753,0.4679473,0.1858909,0.5705396,0.18937325
1,17.25,-12.3263,12.54651,0.2872112,-4.12753,-0.7645965,-0.145895,390.598,17.3261,79.8995,4.244663,2.983462,0.3369482,342.5315,403.071,72.502305,-18.59126,56.7499,11.9069,0.93274,4.00828,5.552949,-0.1371591,25.59,18.975,102.7174,0.8580227,0.62707655,0.4083001,0.15897043750333,0.55192285,0.1684727
1,17.75,-23.51606,2.64695,1.173362,-4.861525,-1.34677,-0.129434,390.323,16.506095,90.707305,1.8363135,2.42098,0.2799355,344.8938,395.5065,77.44572,-56.37835,5.63784,2.1941705,-0.17999975,0.3022755,2.81507,-0.094388725,25.2815,16.8735,102.7346,0.700777758,0.510760946,0.3253874815,0.211515411,0.7915622765,0.1417636
1,18.25,-20.707785,0.3931732,1.354855,-2.7697095,-0.8459706,-0.00901644,389.44825,16.649665,94.70271,1.0839455,2.266597,0.2328695,342.60205,389.641,81.925055,-59.68182,-0.46528935,1.151262,-1.50543,-3.236837,-2.15433,-0.065723275,25.059785,15.7355,102.7586,0.591961047,0.469677635,0.283659914037162,0.2298226,0.90854755,0.129578462418547
1,18.75,-21.60854,1.43408,1.4611,-1.17174,-0.2894883,0.01986829,390.709,17.18777,94.54053,1.002742,2.11785,0.217245,342.831,387.3596,83.90437,-57.9766,-0.50535115,1.34359,-3.045821,-6.17249,-7.849293,-0.0574535,24.891,15.27,102.776,0.5765891,0.440010227,0.2716761,0.2367164,0.968672763,0.125543206
1,19.25,-18.02245,0.81762935,1.3736245,-0.838676,-0.2083381,0.008782575,390.6073,16.76655,94.403175,0.86048315,1.869515,0.2027865,340.4705,385.2105,84.86199,-56.375815,-0.59663495,1.3496135,-4.4603465,-7.229035,-7.116287,-0.051044805,24.6485,14.7605,102.7905,0.503084,0.43368554646165,0.258546538918105,0.2361374,1.1803405,0.15065736
1,19.75,-18.4921,0.8205085,1.234174,-0.58930855,-0.032509925,-0.0016386685,391.10705,16.6631,95.56482,0.68546,1.9455535,0.2170835,340.8845,385.15375,87.070975,-52.37967,-0.346821,1.2400535,-5.40175,-9.000795,-9.58619,-0.0572208,24.571695,14.661145,102.8014,0.526991111,0.4374592,0.258434398,0.23225205,1.25504790383827,0.139692563005501
