DOY2,HR2,FC,LE,H,CO2,PA,TA,RH,PPFD_IN,SW_IN,NETRAD,TS_1_1_1,TS_1_2_1,USTAR,WS,NEE
1,0.25,0.484,3.298,1.907,396.5795,90.096,0.0465,96.211,0,0,-2.656,0.7175,1.7225,0.394,1.1915,0.72125
1,0.75,0.704,5.78725,2.051,396.47175,90.0835,0.04,96.233,0,0,-1.91675,0.699,1.7065,0.37025,1.20975,0.71925
1,1.25,0.5085,1.774,1.653,397.578,90.1165,0.096,96.2,0,0,-1.2285,0.70175,1.707,0.361,1.1755,0.70975
1,1.75,0.9515,2.53,1.62975,397.605,90.133,0.031,96.1675,0,0,-1.14275,0.68275,1.66425,0.37425,1.209,0.70975
1,2.25,1.20125,4.00325,0.982,398.6925,90.139,0.005,96.192,0,0,-2.03325,0.66125,1.67775,0.3475,1.16425,0.68475
1,2.75,0.493,2.68475,1.818,398.1,90.14,0,96.046,0,0,-1.71025,0.66925,1.68625,0.392,1.207,0.733
1,3.25,0.68,3.7645,2.542,397.742,90.12225,0.095,95.6645,0,0,-1.59175,0.6515,1.65875,0.403,1.556,0.714
1,3.75,0.95,3.3595,1.3655,397.48225,90.117,0.4,95.3095,0,0,-2.12075,0.589,1.64875,0.391,1.221,0.72375
1,4.25,0.6025,3.079,1.42,398.6285,90.113,0.166,95.77875,0,0,-1.70225,0.60725,1.62575,0.31,1.2045,0.69375
1,4.75,0.526,1.278,1.438,399.1135,90.11,-0.019,96.607,0,0,-1.95425,0.627,1.62825,0.3385,1.214,0.6885
1,5.25,0.9525,1.63475,1.2495,398.526,90.106,-0.142,96.55775,0,0,-1.9435,0.619,1.62925,0.423,1.416,0.71225
1,5.75,0.70075,2.02,1.64425,398.351,90.109,-0.012,96.7225,0,0,-1.6055,0.596,1.61275,0.336,1.378,0.74775
1,6.25,0.8285,0.72,1.712,398.766,90.12,0.061,96.397,0,0,-1.52675,0.601,1.626,0.3595,1.1755,0.6775
1,6.75,0.913,1.445,1.58525,398.447,90.134,-0.051,96.35,0,0,-1.65125,0.644,1.67075,0.37525,1.745,0.7105
1,7.25,0.8615,1.696,1.836,399.21,90.16,0.066,96.55,0,0,-0.929,0.61175,1.6515,0.3455,1.37525,0.69625
1,7.75,0.334,1.665,1.6295,399.993,90.147,-0.134,96.418,24.535,0,0.06675,0.51725,1.5695,0.35825,1.27,0.6055
1,8.25,0.328,2.846,1.8595,400.81975,90.136,0.116,96.68425,96.622,50.02325,7.2,0.4405,1.5025,0.3725,1.28975,0.5785
1,8.75,0.6415,6.535,3.30625,401.5525,90.161,0.827,96.5,232.82,122.537,29.49325,0.18975,1.32975,0.343,1.33025,0.277
1,9.25,0.683,12.5985,11.87175,399.502,90.1525,1.5945,96.3975,380.8675,187.4135,57.3405,0.13425,1.24775,0.358,1.5465,0.309
1,9.75,0.565,18.12675,18.093,397.57675,90.1565,2.70025,94.6185,557.27475,262.033,100.75225,0.09,1.21825,0.337,1.623,0.273
1,10.25,0.537,20.8325,34.00375,395.356,90.164,3.94625,92.2,644.26975,310.543,121.53975,0.0455,1.19675,0.426,1.6295,0.20175
1,10.75,0.048,26.00375,61.137,393.6615,90.147,4.85325,92.2925,813.1935,376.981,152.43475,0.11475,1.215,0.511,2.109,-0.057
1,11.25,0.282,27.833,76.84175,393.3605,90.102,5.52375,92.75,898.1345,419.7725,169.59125,0.335,1.2875,0.586,2.353,-0.01125
1,11.75,-0.041,30.7915,86.31275,391.8625,90.059,6.20575,91.4375,934.12275,435.27275,186.781,0.36775,1.28125,0.57075,2.5105,-0.4005
1,12.25,-0.03375,24.7365,75.41925,391.4055,90.035,6.5515,92.76925,967.62925,445.41275,190.64575,0.63275,1.508,0.47625,2.20425,-0.08
1,12.75,0.28525,27.79675,72.565,389.269,90.00175,6.467,90.023,940.38,442.021,182.127,0.772,1.4145,0.5485,2.19,0.46
1,13.25,0.504,28.90375,74.538,391.00875,89.996,6.859,88.2,938.569,425.842,171.885,0.80375,1.54625,0.524,2.326,0.252
1,13.75,0.24875,28.7115,62.38025,391.487,89.99325,7.44275,85.95,858.935,391.34275,171.08925,0.695,1.5265,0.51675,2.38625,-0.263
1,14.25,0.411,20.86575,59.323,391.5105,89.9855,7.6445,84.35,732.3685,354.60475,145.67675,1.062,1.797,0.506,2.682,0.228
1,14.75,0.14375,23.064,38.3135,391.42,89.97825,7.505,86.3255,579.416,280.3615,98.4,1.093,1.83775,0.54125,2.504,0.0695
1,15.25,-0.0255,19.2355,25.01975,391.6,89.9805,7.42,87.058,458.4995,222.0215,76.444,1.27225,2.05125,0.491,2.364,-0.0275
1,15.75,0.036,12.731,11.286,391.4295,89.99475,7.2605,90.1905,297.0475,148.4765,30.44,1.264,2.00925,0.4755,2.23275,0.0285
1,16.25,0.058,9.0075,1.225,391.284,90.0055,7.055,89.8675,134.33,72.2365,7.28175,1.28025,2.1345,0.50075,2.158,0.3875
1,16.75,0.05025,6.019,1.8135,390.29725,90.0075,5.97075,89.975,36.64175,10.51675,-3.09925,1.26625,2.164,0.45575,2.1295,0.79275
1,17.25,0.21325,2.895,2.2515,389.66475,90.045,4.9295,90.7555,3.718,0,-4.80225,1.21475,2.10875,0.387,2.004,0.863
1,17.75,0.506,4.395,0.915,389.4305,90.074,4.1555,92.101,0,0,-6.44125,1.10125,2.00825,0.486,1.606,0.82875
1,18.25,0.6195,1.76675,2.814,391.562,90.0895,3.749,94.05,0,0,-4.19925,1.0965,1.98225,0.478,1.81325,0.8375
1,18.75,0.693,2.501,2.23675,392.92575,90.089,3.2,93.1895,0,0,-4.95275,0.96925,1.888,0.425,1.74,0.8075
1,19.25,0.517,3.894,1.86875,393.6435,90.053,2.67,93.475,0,0,-5.24825,0.8875,1.86,0.415,1.556,0.806
1,19.75,0.8065,2.17625,1.9985,394.5835,90.092,1.93525,94.3715,0,0,-4.2255,0.8355,1.8005,0.35075,1.402,0.812
1,20.25,0.8355,3.644,1.766,395.928,90.12,1.493,96.275,0,0,-3.34,0.7965,1.816,0.338,1.29075,0.71475
1,20.75,0.7715,1.62775,1.68825,396.2435,90.1385,1.1805,96.865,0,0,-3.54975,0.79275,1.77775,0.31,1.32025,0.7095
1,21.25,0.54875,1.98925,1.36325,395.8415,90.1225,0.88975,95.9,0,0,-2.871,0.7305,1.76925,0.249,1.072,0.7065
1,21.75,0.9575,3.323,1.266,396.85625,90.10225,0.79425,96.6,0,0,-2.26725,0.70575,1.70325,0.251,1.1055,0.7385
1,22.25,1.5925,2.631,1.239,396.768,90.09175,0.5495,95.475,0,0,-2.19375,0.68075,1.6835,0.34675,1.4705,0.81075
1,22.75,1.039,2.6435,1.312,397.05625,90.128,0.5525,95.22,0,0,-3.15925,0.68325,1.689,0.39025,1.34975,0.79025
1,23.25,0.90475,3.56275,1.3805,397.108,90.12175,0.5405,95.322,0,0,-2.64825,0.7125,1.664,0.354,1.37,0.73725
1,23.75,0.78675,2.35025,1.83075,397.107,90.10825,0.2115,96.36425,0,0,-2.21775,0.71525,1.6775,0.395,1.377,0.748
2,0.25,1.127,1.56975,0.13875,397.214,89.886,0.918,96.1075,0,0,-4.879,0.31475,1.71175,0.3275,1.4125,0.697
2,0.75,0.9845,2.145,0.4645,397.802,89.8575,0.548,96.542,0,0,-3.343,0.2825,1.72675,0.327,1.27725,0.67875
2,1.25,1.06825,2.40175,1.208,396.83075,89.8565,0.63375,97.136,0,0,-3.52175,0.26925,1.74175,0.3225,1.301,0.7335
2,1.75,1.0215,2.85325,0.75925,397.356,89.871,0.41425,96.813,0,0,-3.608,0.27825,1.717,0.302,1.093,0.68275
2,2.25,0.8795,1.2975,0.9565,397.433,89.87025,0.418,97.469,0,0,-3.519,0.27225,1.7,0.354,1.17825,0.6465
2,2.75,1.12875,2.1205,1.26125,398.203,89.879,0.5495,97.483,0,0,-3.233,0.21475,1.63125,0.3025,1.09625,0.6825
2,3.25,1.311,4.94375,0.79175,397.757,89.87425,0.4605,97.3765,0,0,-2.34175,0.2395,1.59925,0.3515,1.29,0.6475
2,3.75,1.209,1.51075,0.8735,399.239,89.872,0.2485,97.51825,0,0,-2.897,0.20175,1.55625,0.367,1.154,0.6975
2,4.25,0.83,5.75775,0.735,398.429,89.88375,0.163,97.50775,0,0,-2.883,0.199,1.6315,0.343,1.278,0.648
2,4.75,1.057,1.045,1.242,397.519,89.889,0.1755,97.4,0,0,-3.095,0.2175,1.56275,0.3055,1.445,0.7305
2,5.25,0.863,1.75,0.995,397.538,89.9105,0.10675,97.51475,0,0,-2.5805,0.17275,1.5315,0.354,1.1945,0.69225
2,5.75,1.187,1.044,1.45,398.4085,89.91675,0.125,97.4,0,0,-2.97325,0.171,1.46625,0.347,1.4065,0.6685
2,6.25,0.82775,2.0695,1.16625,398.37325,89.924,0.132,97.527,0,0,-2.32775,0.167,1.415,0.332,1.4895,0.671
