DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,391.5975,6.828,1.414,-4.9215,-3.402,9.9775,2.1545,0.3025,0.75975,0.9145,0.3895,100.6075,92.287,7.86,3.43,10.10975,0.439,0,-0.196,2.169,325.8125,346.2575
1,0.75,392.54,6.856,1.3545,-3.8655,-3.2345,10.92325,2.1215,0.3225,0.763,0.897,0.4125,100.58,93.107,7.687,3.31,10.08125,0.4225,0,-0.163,2.154,325.3775,348.9875
1,1.25,391.2625,8.3895,1.708,-3.849,-4.047,9.3535,2.0785,0.2945,0.724,0.833,0.37425,100.59,92.549,7.4,3.24,10.162,0.41825,0,-0.155,2.414,329.1825,349.59
1,1.75,390.32,8.011,1.43,-3.4255,-3.40775,8.6465,1.9985,0.28275,0.645,0.835,0.352,100.59,92.455,6.99275,3.16,10.127,0.474,0,-0.23,2.35,327.1725,350.355
1,2.25,391.395,7.38025,1.381,-3.2815,-4.898,8.0325,2.053,0.282,0.718,0.852,0.359,100.63,93.397,6.622,3,9.873,0.455,0,-0.187,2.389,324.805,349.4425
1,2.75,390.08,7.2785,1.511,-3.5045,-2.89375,8.6765,1.98075,0.274,0.72225,0.79575,0.3525,100.63,93.667,6.5795,2.89,9.47775,0.439,0,-0.12,2.373,324.8075,347.17
1,3.25,391.335,7.089,1.55675,-3.5525,-3.365,9.603,2.001,0.269,0.721,0.8,0.384,100.61,94.904,6.336,2.75,9.3885,0.434,0.487,-0.128,2.331,324.775,346.8525
1,3.75,391.675,7.0755,1.471,-3.6505,-2.2285,7.81775,1.9235,0.275,0.673,0.758,0.374,100.58,95.445,6.213,2.64,8.98025,0.396,0.564,-0.264,2.414,325.47,346.395
1,4.25,391.8825,7.178,1.9795,-3.7995,-2.75975,7.804,1.97225,0.2665,0.7375,0.8055,0.35,100.58,95.098,6.215,2.63,8.70575,0.4015,0.5735,-0.248,2.345,325.7425,343.615
1,4.75,392.5375,7.8565,1.423,-2.929,-1.909,7.399,1.99875,0.27725,0.765,0.787,0.373,100.56,94.894,6.229,2.45,8.823,0.424,0.6115,-0.048,2.366,328.045,344.1225
1,5.25,391.81,7.412,1.819,-3.2555,-3.2065,8.484,1.871,0.273,0.657,0.78,0.337,100.57,94.421,5.654,2.46,8.3645,0.417,0,-0.054,2.276,329.9975,345.0275
1,5.75,391.9,8.48475,1.687,-3.4325,-1.78,7.18875,1.822,0.269,0.646,0.7745,0.34225,100.61,94.609,5.979,2.46,8.14075,0.39075,0.29,-0.095,2.174,328.85,344.4925
1,6.25,392.6475,7.421,1.68625,-3.399,-2.814,7.888,1.829,0.297,0.655,0.791,0.323,100.63,94.91575,5.641,2.2075,8.1955,0.423,0.303,-0.134,2.15,327.365,344.0725
1,6.75,392.6375,8.064,1.441,-3.4355,-1.936,7.1725,1.8265,0.27625,0.6355,0.7665,0.3355,100.6375,94.985,5.71475,2.145,8.2545,0.419,0.798,-0.101,2.212,332.385,345.0775
1,7.25,395.01,7.6405,2.099,-3.443,-2.3965,7.79425,1.749,0.272,0.662,0.75,0.338,100.695,95.3935,5.802,2.195,8.613,0.442,3,1.463,3.06,332.3875,347.74
1,7.75,395.5825,7.47875,1.608,-3.389,-1.8385,8.659,1.62,0.2615,0.6725,0.7785,0.342,100.71,96.039,5.5235,2.28,8.812,0.4655,53.175,37.194,15.105,330.6275,349.235
1,8.25,395.5175,8.037,1.598,-2.9565,0.729,14.78,1.789,0.287,0.75125,0.84025,0.388,100.73,95.434,5.9565,2.44,8.8805,0.5615,184.52,119.65,38.503,336.035,352.645
1,8.75,394.56,7.939,1.323,-0.326,10.60825,26.40525,2.20775,0.3025,0.86,1.0305,0.4295,100.74,92.66275,6.69375,2.9125,9.382,0.562,333.9,212.26,58.164,339.54,358.275
1,9.25,392.1825,7.4995,0.208,2.4335,33.558,40.67425,2.51,0.344,0.925,1.08,0.481,100.75,88.682,7.98525,3.46,10.24425,0.499,494.35,302.07,73.828,333.0825,364.755
1,9.75,390.3625,8.607,0.023,6.2865,55.1345,54.225,2.70175,0.3805,1.1275,1.217,0.5145,100.74,83.2785,8.94075,4.205,11.167,0.502,643.75,382,88.47675,331.7475,372.1975
1,10.25,389.77,7.936,-0.462,9.4985,83.433,60.025,2.843,0.3595,1.159,1.26175,0.5175,100.75,78.21725,9.875,4.95,12.3125,0.54325,764.715,450,100.195,331.365,375.28
1,10.75,389.5125,9.08025,-0.5635,13.7425,100.2935,66.861,2.987,0.389,1.222,1.413,0.533,100.7625,76.717,10.813,5.51,13.1805,0.576,893.5,514.03,112.845,333.255,381.245
1,11.25,387.67,9.169,-0.79725,17.82125,118.8425,74.568,2.9675,0.414,1.3465,1.4455,0.5625,100.735,74.30075,11.396,6.1775,13.2225,0.623,964.555,558,120.53,333.46,387.51
1,11.75,386.2825,9.3785,-1.11225,20.419,129.21,76.975,3.0225,0.41525,1.3675,1.5065,0.5785,100.66,72.1445,12.045,6.76,13.78625,0.62925,1028,583,126.3975,328.415,390.585
1,12.25,385.695,9.179,-0.889,24.921,139.66,84.4835,3.114,0.397,1.392,1.468,0.57,100.63,68.8365,12.64975,7.155,14.2785,0.675,1053.85,580.1175,128.39,329.54,394.965
1,12.75,385.5625,8.58425,-0.6585,28.1325,134.27,81.78325,3.182,0.418,1.4355,1.58025,0.57925,100.58,66.632,13.281,7.795,15.034,0.647,1040,593.7125,129.83,330.275,401.065
1,13.25,384.68,8.314,-1.037,28.9775,133.5,76.852,3.14875,0.3935,1.408,1.527,0.594,100.53,66.3175,13.8,8.095,15.8845,0.625,1008.5,579.87,124.3575,330.8975,402.4175
1,13.75,383.8025,9.1745,-0.961,30.2725,120.4675,70.181,3.09,0.415,1.388,1.54,0.59,100.49,65.4485,14.25175,8.3825,15.9945,0.577,938.3175,524.64,115,330.49,401
1,14.25,383.645,8.171,-0.8785,25.5175,103.9775,70.72675,3.056,0.404,1.3265,1.4845,0.572,100.47,64.67775,14.475,8.725,16.14225,0.5295,864.065,489.89,110.44,329.33,400.83
1,14.75,383.0225,8.0555,-0.516,24.08975,81.01875,60.6465,3.04725,0.39625,1.3325,1.41975,0.5595,100.445,63.7805,14.2855,8.97,15.858,0.44175,731.975,421.4675,97,328.07,395.77
1,15.25,382.42,8.16025,-0.837,20.83625,53.8905,54.3265,2.952,0.3625,1.2815,1.334,0.546,100.45,65.207,14.25125,8.95,16.113,0.3515,590.05,329.825,81.5595,324.73,392.04
1,15.75,381.96,8.344,-0.458,18.20875,29.32,42.60875,2.78525,0.357,1.169,1.289,0.511,100.44,65.22625,14.009,8.64,16.285,0.272,429.58,236.94,68.20075,326.56,389.19
1,16.25,382.7925,8.07575,-0.0195,14.51125,6.043,30.08875,2.63475,0.3295,1.08675,1.1485,0.46825,100.4325,65.43925,13.47375,8.23,16.37875,0.2385,261.5,158.255,53.19325,322.605,380.785
1,16.75,382.32,8.254,0.5325,10.64,-3.439,19.751,2.21975,0.27075,0.89575,0.95925,0.40675,100.4,69.5345,12.95725,7.73,15.8155,0.329,130.34,70,25.5,320.945,375.32
1,17.25,383.91,7.66625,0.89875,5.27575,-2.0205,13.608,2.0835,0.25325,0.791,0.8445,0.3765,100.45,75.2655,11.85,6.9,15.147,0.457,29.581,16.392,4.963,321.64,363.395
1,17.75,384.2,7.653,1.1075,1.3685,-1.17,6.7215,1.843,0.25825,0.678,0.735,0.332,100.51,80.19975,10.14,6.215,13.419,0.498,1.219,-0.321,1.88,319.45,357.88
1,18.25,386.3975,7.3285,1.14,-0.684,-1.052,6.1925,1.816,0.271,0.61575,0.705,0.3165,100.52,81.863,9.764,5.66,12.877,0.45675,0.685,-0.864,2.137,317.87,357.55
1,18.75,387.48,7.333,1.03,-2.0975,-0.303,4.582,1.717,0.254,0.6255,0.8095,0.32,100.53,83.9185,9.088,5.35,13.362,0.4385,0.774,-0.692,2.411,318.3625,355.3
1,19.25,386.4375,7.27175,1.27975,-2.53725,-1.2645,5.14125,1.63825,0.25225,0.648,0.724,0.319,100.5825,85.02,8.926,5.09,12.493,0.464,0.543,-0.515,2.526,317.7675,355.1675
1,19.75,387.1,7.527,1.133,-2.823,-2.392,6.34925,1.8095,0.2415,0.658,0.82625,0.328,100.62,86.6905,8.739,4.825,12.216,0.4825,0.113,-0.314,2.728,320.44,355
1,20.25,388.045,7.591,1.181,-3.6125,-1.04575,5.719,1.79,0.238,0.68675,0.79725,0.35775,100.6175,87.4735,8.88175,4.605,12.139,0.50275,0.534,-0.38725,2.584,317,351.62
1,20.75,389.5475,7.7395,1.108,-3.82125,-2.40275,6.56,1.77975,0.2665,0.699,0.824,0.367,100.6075,88.085,8.5495,4.425,12.2895,0.482,0.508,-0.322,2.4905,318.05,354.29
1,21.25,389.225,7.961,1.22425,-3.3355,-2.331,7.3395,1.79,0.254,0.72,0.817,0.372,100.6175,89.5575,8.12875,4.19,12.0185,0.527,0.563,-0.38975,2.51475,315.48,351.01
1,21.75,389.785,8.3065,1.30325,-4.147,-1.8345,7.724,1.7545,0.259,0.74425,0.895,0.392,100.62,90.022,8.06125,4.05,11.718,0.522,0,-0.40925,2.62475,317.27,348
1,22.25,388.05,7.223,1.367,-4.488,-1.584,9.155,1.938,0.274,0.7085,0.858,0.392,100.6275,91.0575,7.67625,3.76,11.51,0.515,0,-0.40525,2.40075,319.38,349.23
1,22.75,390.34,6.8,1.688,-4.071,-2.375,9.3825,2.0845,0.2915,0.7675,0.844,0.36825,100.645,90.461,7.5875,3.695,11.022,0.484,0,-0.30775,2.2835,320.17,347.05
1,23.25,390.2,6.93275,1.431,-3.50525,-3.2465,10.1715,2.136,0.30475,0.76,0.964,0.42275,100.6425,91.647,7.53825,3.55,10.6915,0.44125,0,-0.26,2.34975,319,345.95
1,23.75,388.99,6.691,1.8885,-4.97675,-3.163,11.46,2.0645,0.3265,0.795,0.926,0.4,100.6,91.522,7.497,3.53,10.3905,0.46,0,-0.19975,2.234,323.76,346.26
2,0.25,391.98,6.644,1.3,-5.044,-1.1135,9.04675,1.87275,0.2485,0.6825,0.886,0.3555,100.4475,93.7305,7.07025,3.91,7.9915,0.4435,0,-0.25225,2.37725,314.46,335.865
2,0.75,393.27,6.1665,1.62475,-5.875,-1.191,9.536,1.88075,0.238,0.7355,0.87975,0.365,100.4475,94.096,6.9045,3.76,7.696,0.4375,0,-0.279,2.3625,314.625,335.51
2,1.25,393.65,6.4865,1.429,-4.864,-1.15875,9.14425,1.879,0.2385,0.7065,0.88675,0.34825,100.44,96.167,6.981,3.52,7.678,0.45125,0,-0.334,2.4415,314.2025,335
2,1.75,393.865,6.219,1.731,-6.487,-1.325,9.117,1.852,0.237,0.7615,0.866,0.3775,100.435,96.303,6.7685,3.44,7.446,0.469,0,-0.3565,2.36425,315,333.665
2,2.25,393.095,5.92175,1.503,-5.805,-2.29,8.8605,1.80625,0.24625,0.69475,0.8685,0.3565,100.43,96.7315,6.76475,3.29,7.16225,0.438,0,-0.30775,2.4175,315.0125,333.6625
2,2.75,393.205,5.963,1.5205,-6.196,-1.899,7.94,1.95825,0.22775,0.712,0.804,0.363,100.4325,95.7595,6.2285,3.305,7.11875,0.446,0.82075,-0.3305,2.45975,312.405,332.03
2,3.25,393.49,5.97975,1.25,-6.316,-1.599,9.38225,1.8355,0.2205,0.659,0.773,0.3495,100.43,95.9685,5.8875,3.32,6.8995,0.4395,0.82525,-0.29075,2.4625,315,331.87
2,3.75,394.54,5.856,1.6225,-5.942,-2.379,8.0905,1.7215,0.2075,0.64475,0.75,0.343,100.435,97.00925,5.6695,3.18,6.585,0.403,0.83475,-0.22075,2.40775,318.67,331.25
2,4.25,394.1225,6.05,1.5635,-5.639,-3.5955,7.30675,1.73075,0.21075,0.6285,0.755,0.333,100.44,96.4725,5.6,2.8275,6.13225,0.432,0.829,-0.2845,2.424,318.0925,331.7375
2,4.75,395.965,6.119,1.54075,-6.008,-1.69025,7.7365,1.8305,0.2265,0.6835,0.7115,0.3205,100.4475,96.622,5.24075,2.87,6.15375,0.397,0.81875,-0.336,2.4505,318.73,331.0425
2,5.25,396.47,6.0375,1.57,-6.116,-1.5665,9.8375,1.8455,0.2325,0.644,0.766,0.33,100.4675,96.28875,5.186,2.755,5.718,0.423,0.80975,-0.3775,2.59975,318.87,330.27
2,5.75,396.4675,6.5375,1.8505,-5.135,-2.3315,8.96,1.695,0.2235,0.631,0.784,0.327,100.4975,96.70875,5.153,2.5975,5.686,0.446,0.8195,-0.2655,2.615,318.595,330.6575
2,6.25,395.5475,6.45025,1.3445,-4.642,-2.37125,7.492,1.7675,0.22275,0.608,0.708,0.325,100.5,96.945,4.997,2.4725,5.303,0.455,0.60675,-0.334,2.572,316.75,330.155
2,6.75,395.755,6.241,1.3335,-4.581,-2.229,8.16475,1.8745,0.24125,0.61425,0.7815,0.341,100.5225,97.47,5.154,2.39,5.4525,0.44675,2.04425,0.752,2.846,316.06,329.445
2,7.25,395.9,6.03875,1.24425,-3.938,-1.246,8.82,1.81,0.239,0.628,0.71,0.311,100.55,97.919,4.273,2.34,5.22725,0.419,36.005,27.2445,10.278,317.45,328.3
2,7.75,396.52,6.037,1.4965,-3.616,-1.166,16.625,1.941,0.256,0.66575,0.80075,0.3445,100.59,97.97,5.026,2.5,5.2255,0.48225,146.3,96.947,35.904,318.465,331.475
2,8.25,396.58,6,1.05525,-1.909,11.76425,26.819,2.155,0.3065,0.776,0.934,0.408,100.6125,96.505,5.8125,2.95,5.9685,0.441,311.075,201.765,59.5525,317.775,338.22
2,8.75,395.965,6.489,0.411,1.909,31.976,45.755,2.612,0.351,0.98125,1.11725,0.45975,100.615,93.071,6.87,3.72,7.062,0.43725,483.465,301.23,80.8725,319.545,345.88
2,9.25,392.4725,6.23625,-0.25175,6.449,65.367,60.264,2.822,0.384,1.067,1.20525,0.5,100.62,86.332,7.883,4.5,8.02025,0.48975,660,396.67,101.015,316.37,353.195
2,9.75,391.56,6.018,-0.363,10.005,91.627,67.041,2.983,0.405,1.2015,1.3585,0.54275,100.63,80.144,9.0605,5.28,9.038,0.55025,822.145,482.51,118.575,316.89,359.53
2,10.25,389.14,5.969,-0.75825,16.525,113.95,73.70375,3.194,0.433,1.25,1.4365,0.54825,100.625,77.048,9.722,6.18,9.7845,0.642,969,559.085,133.55,317.605,368.775
2,10.75,388.25,6.012,-0.732,23.165,138.675,82.9475,3.145,0.429,1.3035,1.47,0.54675,100.625,73.926,10.49,6.91,10.383,0.65225,1063.25,616.665,145.5,315.74,378.57
2,11.25,386.49,6.001,-0.66425,29.86,152.55,88.445,3.4225,0.4295,1.37325,1.56275,0.57125,100.61,69.161,11.2105,7.68,10.975,0.69375,1167.775,670.305,153.37,316.63,384.535
2,11.75,386.34,6.104,-0.804,33.62,166.22,98.6505,3.424,0.448,1.52175,1.64075,0.6055,100.575,65.52125,11.753,8.435,11.929,0.74325,1227.625,702.07,162.705,319.245,391.62
2,12.25,385.47,6.087,-1.014,37,177.0225,100.775,3.337,0.466,1.5195,1.69,0.6235,100.525,63.2435,12.8055,9.055,12.64,0.765,1260,729.28,165.855,317.94,397.485
2,12.75,385.135,6.2145,-0.79025,39.2,172.225,99.76825,3.275,0.456,1.5425,1.697,0.6345,100.485,60.265,13.53775,9.635,13.0925,0.759,1254.25,721.665,162.755,322.06,399.4
2,13.25,384.49,6.364,-0.785,42.494,160.815,98.431,3.3145,0.46325,1.526,1.724,0.628,100.415,60.66175,14.0015,9.915,13.77025,0.724,1226,701.275,161,323.765,399.34
