DOY2,HR2,LE,H,FC,G,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS
1,0.25,56.9194934775,18.028679942,8.150878591125,1.1951625,-2.00290285,-0.8801985625,-1.96612875,95.15422386375,4.604123338325,66.9475045,1.27333425,26.35459375,409.43752762,5.757160877075,-3.071087075
1,0.75,59.7845989249999,21.7936573894999,7.048175241625,1.3493532,-2.146698175,-1.03707945,-1.620236,95.211384498,4.45795656505,66.96474575,1.2511296,26.299306,410.94775732,5.7599671032,-3.126107
1,1.25,51.856745342,23.2266590095,9.37208077095,0.671925365000001,-2.43437215,-1.0641854,-1.81420635,95.740665648,4.4023267722,66.924067,1.30643055,26.5381775,409.59611569,5.73306950055,-3.194610375
1,1.75,59.780392632,32.3276033607501,9.49882451425,1.63281106500002,-2.66981015,-1.0213228125,-1.86836175,94.9457915485,4.408768744075,66.8828615,1.273449875,26.25668625,408.104458505,5.57111518765,-3.19145195
1,2.25,58.114426719,22.509380645,7.76226245625,1.25959102249999,-2.33713375,-1.00719557,-1.8991176,94.415031159,4.33205412625,66.868993,1.2430514,26.009873,407.9335095625,5.498719295875,-3.20186005
1,2.75,58.0463170775,36.16780835775,9.42634702359999,1.74987790000001,-2.50928945,-0.817284045000003,-1.97905595,94.4103096295,4.29237036999999,66.893962,1.2652463,26.0742915,406.7851495625,5.529646577525,-3.25850765
1,3.25,57.6653630399998,23.3164707,9.69350725677499,1.95565910000002,-2.50588985,-0.8825206,-1.830215275,94.9825583855,4.53288153795,66.8912245,1.2758491,26.351702,408.18440514,5.5011991869,-3.27740505
1,3.75,50.452795382,35.033493826,8.57272834864999,2.91371511249999,-2.36115815,-1.179083,-1.605541,95.3531188605,4.5666022214,66.87979825,1.317686,26.8918025,409.03426073,5.55232140275,-3.321365175
1,4.25,57.093914976,37.485617575,8.3911272335,4.1379070625,-1.874439575,-1.2479431,-2.098909325,94.86745835325,4.1889028684,66.8821105,1.3024641,26.316625,407.9195188375,5.47180248495,-3.3355646
1,4.75,44.63883309625,38.2289800112499,8.07453398312498,3.54268352500001,-2.4281393,-1.278348175,-2.5914651,94.25967736725,4.156720774675,66.8909285,1.329760925,26.1626575,407.4123621225,5.326559489275,-3.34123175
1,5.25,42.453349264,29.833210454,7.83359771125,2.38392804375,-2.2815226,-1.069068,-2.65348260000001,94.144865404,4.24330690855,66.91618,1.2934286,26.142107,408.351568285,5.3153477311,-3.3509794
1,5.75,52.0059796412498,44.1155000949999,6.08839475915,1.80443751500001,-2.3325884,-1.2622234,-2.6008275,94.14301536,4.305896833,66.899073,1.2904955,26.3434885,409.8514583,5.287461804925,-3.3711908
