DOY2,HR2,TA,RH,PPFD_IN,PPFD_OUT,WS,USTAR,TS_1,TS_2,T_SONIC,G_1,G_2,CO2,H2O,FC,LE,H
1,0.25,-21.957,74.647,-0.00379455,-0.0096545,0.749745,0.08122475,-3.555975,-3.7841,-28.70575,-12.4,-21.796,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,0.75,-22.739,75.851,-0.00416135,-0.016105,0.749745,0.08122475,-3.5579,-3.86455,-28.70575,-11.2615,-20.083,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,1.25,-23.298,77.123,-0.005218425,-0.01304325,0.749745,0.08122475,-3.5606,-3.91555,-28.70575,-11.818,-20.27625,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,1.75,-23.402,74.962,-0.0041858,-0.007567225,0.776902,0.08122475,-3.56875,-3.81865,-28.70575,-12.536,-19.8665,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,2.25,-23.112,74.852,-0.004082475,-0.00998995,0.804059,0.08122475,-3.573,-3.87865,-28.70575,-12.7265,-20.0345,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,2.75,-22.753,74.436,-0.00341305,-0.0038651,0.831216,0.08122475,-3.57975,-3.7842,-28.70575,-13.069,-20.612,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,3.25,-23.198,74.154,-0.0025841,-0.005234025,0.858373,0.08122475,-3.58295,-3.922225,-28.70575,-11.90575,-18.9555,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,3.75,-23.884,75.265,-0.003661725,-0.0066029,0.88553,0.08122475,-3.594525,-3.86325,-28.70575,-12.5615,-19.7215,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,4.25,-24.399,75.191,-0.00590835,-0.0093327,0.912687,0.08122475,-3.609575,-3.7953,-28.70575,-12.55,-21.827,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,4.75,-24.812,76.302,-0.00891185,-0.0112672,0.939844,0.08122475,-3.62695,-3.86345,-28.70575,-11.7395,-20.0685,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,5.25,-24.274,75.113,-0.00341415,-0.0112665,0.967001,0.08122475,-3.636625,-3.8809,-28.70575,-12.1855,-22.243,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,5.75,-23.888,74.945,-0.00566095,-0.0056423,0.994158,0.08122475,-3.647975,-3.918825,-28.70575,-11.83125,-20.519,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,6.25,-24.173,75.565,-0.00674185,-0.0069207,1.021315,0.08122475,-3.662825,-3.9069,-28.70575,-11.82375,-21.73525,393.961025,0.392925,0.094769,-0.11237525,-5.4129
1,6.75,-24.816,75.617,-0.008384375,-0.002897,1.048472,0.08122475,-3.66185,-3.909675,-28.70575,-12.445,-23.99275,393.961025,0.392925,0.094769,-0.11237525,-5.4129
