DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1
1,15.25,0.4485,-0.6235,1.79825,0.238,0.303,-0.1865,10.1,5.82,-6.5415,1.97,36.575,100.7,395.27025,2.2575,24.855,137.025,65.125,9.9,239.9,311.4
1,15.75,0.39,-0.78075,1.75875,0.509,0.3485,-0.034,-3.6545,2.607,-6.50025,1.96325,37.6825,100.7,395.618,2.22,2.67625,84.3,42.465,6.0125,237.65,309.575
1,16.25,0.304,-0.91575,1.5735,0.62075,0.209,0.05125,-18.58225,0.191,-6.45725,1.964,37.5975,100.7,395.39275,2.11,-28.0425,41.66,20.075,3.0175,233.375,307.725
1,16.75,0.218,-1.48875,1.29525,0.757,0.218,0.191,-28.8545,-0.48025,-6.469,1.9685,39.475,100.7,395.11275,1.95,-58.265,9.25,4.46375,1.303,233.425,303.225
1,17.25,0.1755,-2.0135,1.08425,0.935,0.15721,0.21675,-33.593,-0.532,-6.55425,1.92825,42.445,100.7,395.52075,1.7775,-68.78,0.3,0.1,0.7,231.75,300.4
1,17.75,0.1505,-2.47425,1.0805,0.8275,0.101,0.0835,-34.2775,-0.295,-6.5815,1.8925,43.66,100.8,395.9105,1.6375,-67.195,-0.07,-0.01025,0.5325,233.4,298.225
1,18.25,0.1525,-2.82125,1.07475,0.6705,0.088,0.094,-33.4445,-0.452,-6.72325,1.88875,46.37,100.8,396.56925,1.53,-66.305,-0.1,-0.02,0.7775,232.525,297.3
1,18.75,0.1565,-2.95575,1.10375,0.65125,0.06975,-0.015,-34.76,-0.88725,-6.8555,1.8575,48.2225,100.8,397.04925,1.4575,-64.35175,-0.1,-0.031,0.6,230.775,296.825
1,19.25,0.161,-3.077,1.13725,0.622,0.10525,-0.0595,-33.5805,-0.60225,-6.9805,1.819,49.2175,100.8,396.58875,1.4125,-63.05,-0.04075,-0.025,0.6,232.9,296.4
1,19.75,0.156,-3.2485,1.135,0.63725,0.0955,-0.0835,-36.0625,-0.70525,-7.127,1.7775,50.36,100.8,397.0065,1.2875,-63.3675,-0.039,-0.02575,0.585,230.875,294.825
