DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY
1,0.25,0.08116,0.01094975,0.011614,-0.02285275,-12.26882175,-0.4495735,-0.6852595,-0.099236,412.385075,1.41646975,-15.631615,-9.637604,-3.189825,-2.74099,-2.622689,-2.49937,-48.754,73.971585,0.264953607,1.386076,0,0.27847085,204.5837,248.84285,0,98.0442585,-17.16428502
1,0.75,0.08447325,-0.085119,-0.090265,-0.0259165,-12.222913,-0.450417,-0.5966385,-0.0994355,412.98564775,1.62907,-15.918335,-9.66051,-3.139117,-2.773446,-2.686769,-2.522707,-50.228215,73.77626,0.258525749,1.3281935,0,0.286883,203.34525,245.8837,0,98.04288,-17.672268
1,1.25,0.094211,-0.02628475,-0.020408,-0.018836,-13.18657275,-0.43368,-0.5163255,-0.104094,412.355056,1.590516,-15.94793,-10.110601,-3.072179,-2.79869425,-2.730785,-2.550518,-50.15458,74.40291,0.258292587,1.28785225,0,0.2695864865,207.0364,245.0356,0,98.042722,-18.34542222
1,1.75,0.087629,-0.03904075,-0.048319,-0.01306325,-13.366251,-0.414062,-0.642211,-0.08751925,412.3244585,1.485917,-16.169445,-10.239883,-3.120848,-2.83241225,-2.754594,-2.559748,-50.956745,74.723585,0.249312432,1.258466,0,0.27668385,209.38885,245.1356,0,98.022026,-18.04441
1,2.25,0.090308,-0.06094275,-0.0501105,-0.018849,-13.54895775,-0.4481015,-0.597968,-0.0864855,412.524965,1.49599475,-15.993745,-10.3833945,-3.144252,-2.834601,-2.731628,-2.56343,-49.200625435,75.629165,0.2339776145,1.31721375,0,0.29025335,207.49055,245.62425,0,98.011404,-17.89653975
1,2.75,0.082267,-0.003064,-0.0019375,-0.020639,-12.844643,-0.454507,-0.500989,-0.08864175,412.420174,1.510744,-16.302905,-10.416195,-3.15205,-2.843666,-2.764774,-2.58615,-51.626890445,75.14394,0.225896308,1.26891475,0,0.2831212,205.1824,246.00735,0,97.9971615,-18.161120795
1,3.25,0.08573,-0.00015275,0.003973,-0.0165625,-13.697751,-0.42414225,-0.497043,-0.10652125,412.060971,1.495087,-16.436015,-10.2631905,-3.17438,-2.84780575,-2.788621,-2.57923,-49.322830425,76.185405,0.2280700105,1.35419175,0,0.29804585,205.1457,243.1187,0,97.9996665,-18.51288458
1,3.75,0.087664,-0.03167575,-0.027302,-0.0218475,-13.09383075,-0.332005,-0.5562055,-0.094737,412.111665,1.519127,-16.38646,-10.4759965,-3.239144,-2.8829185,-2.837501,-2.567053,-50.669486905,75.97214,0.232970912,1.28838325,0,0.237269453,206.1856,241.7865,0,97.9788765,-18.361390195
1,4.25,0.085645,-0.006001,-0.024196,-0.01368625,-13.0261885,-0.435843,-0.517193,-0.108326,412.42326075,1.425063,-16.59256,-10.6835945,-3.270273,-2.93573325,-2.856658,-2.591496,-50.524285,75.84525,0.230866801,1.24120425,0,0.247547467,205.5409,243.33915,0,97.9874,-18.14405
1,4.75,0.087276,-0.034566,-0.015974,-0.021973,-12.88723125,-0.434989,-0.528338,-0.0597325,412.480514,1.4741365,-16.875505,-10.577865,-3.296218,-2.9482735,-2.884781,-2.594367,-45.056605,76.011495,0.225733766,1.384755,0,0.264255596,211.8521,242.67255,0,97.9739225,-18.637809025
