DOY2,HR2,TAU,H,LE,FC,WS,USTAR,T_SONIC,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,SW_IN,SW_OUT
1,0.25,0.110252,23.4403,5.888215,1.3032475,3.645325,0.592327,0.5652175,436.07525,5.72681,1.4855225,1.28031,0.883314,0.26052025,-0.70493045,-0.5217053
1,0.75,0.0599,23.7295,6.58877,0.917873,3.44591,0.509366,0.47215675,432.973,5.694255,1.52765,1.16896,0.77188,0.24924125,-0.6278275,-0.48824395
1,1.25,0.104443,19.6037,6.75747,1.0600545,3.9167525,0.570103,0.41444225,434.50325,5.627005,1.4454825,1.136495,0.831861,0.2640815,-0.69372295,-0.5288093
1,1.75,0.122216,13.1542,5.403385,0.822606,4.114265,0.59312625,1.063531,435.168,5.757315,1.572125,1.1902475,0.80992125,0.2700135,-0.59378385,-0.4652319
1,2.25,-0.0254,13.6932,6.7344,0.306498,4.0020925,0.464117,0.466681,431.371,5.7307875,1.41881,1.14497,0.694245,0.23572575,-0.6194558,-0.46808465
1,2.75,0.15629175,16.773025,5.90898,0.7818295,4.1375,0.53374075,0.9319075,432.205,5.8468075,1.51736,1.1611875,0.73163425,0.223485,-0.69641105,-0.5284328
1,3.25,-0.017725,26.91635,6.347945,0.35134725,3.73451,0.520238,0.55250075,435.602,5.92228,1.56056,1.205255,0.76327,0.30072025,-0.66675055,-0.4993644
1,3.75,0.073325,19.59425,5.28264,0.6121265,3.5751875,0.47900875,0.754122,434.016,5.879045,1.3299425,1.11,0.73868375,0.2368535,-0.5839986,-0.4312031
1,4.25,0.0218275,16.518325,4.16303,0.865921,3.5960725,0.50415075,0.761535,434.3745,5.8391325,1.37442,1.13494,0.723165,0.18718075,-0.5897016,-0.4579827
1,4.75,0.0279,16.542125,4.586305,0.936775,3.5400325,0.51775,0.23233,433.4355,5.8623775,1.3756425,1.17426,0.703842,0.23355,-0.62252325,-0.51450195
1,5.25,0.0011375,17.74555,4.34923,0.8445825,3.62373,0.514177,0.235432,434.598,5.9068275,1.4942875,1.149845,0.7448995,0.27540575,-0.7046393,-0.5412002
1,5.75,0.04045,20.89675,4.410505,0.299644,3.780355,0.55092075,0.394607,434.147,5.8939675,1.3701475,1.2052325,0.75059175,0.28321575,-0.6252959,-0.4908376
1,6.25,-0.0162,25.1203,6.2136275,1.27419,3.60482,0.533212,0.2564345,435.8725,6.005595,1.47569,1.11022,0.697544,0.250472,-0.5464321,-0.4142481
1,6.75,0.139419,24.3742,5.34901,1.66891,3.65926,0.518471,0.21454825,436.2295,5.8914225,1.38852,1.17794,0.698795,0.324573,-0.50752685,-0.3698844
1,7.25,0.0218,20.4438,6.32759,2.38059,3.95819,0.558673,0.22761525,436.344,5.94535,1.45646,1.22198,0.778672,0.390958,-0.48649225,-0.38895385
1,7.75,0.07545,20.427275,4.946005,2.92993,3.6831875,0.5647055,0.527864,438.05725,6.39811,1.4415475,1.1184575,0.7731715,0.29537575,-0.005627604,0.04579202
1,8.25,0.143633,30.98245,6.046925,3.8385525,3.52603,0.56685875,0.88418725,439.013,6.26892,1.426945,1.2972925,0.722405,0.34034225,9.2586185,7.7833985
1,8.75,0.22241925,31.432925,7.05643,2.954215,4.11457,0.57580475,1.3382755,436.739,6.35471,1.59256,1.3180675,0.8012005,0.31826575,38.8589,32.604395
1,9.25,0.231369,37.52755,8.363475,2.36029,4.242475,0.65526725,1.854295,438.388,6.33326,1.631335,1.369605,0.89157075,0.345274,91.00143,76.32107
1,9.75,0.28331375,37.1395,8.0870725,3.28692,4.41799,0.63296675,0.9693405,438.9995,6.24276,1.6571425,1.3452225,0.887565,0.3895565,155.64885,130.5134
1,10.25,0.4903735,40.911,10.829,4.2407775,4.33574,0.6465945,1.60047,437.519,6.36407,1.73497,1.364655,0.971603,0.4244505,205.94275,172.7097
1,10.75,0.3659795,44.35335,9.1899725,4.3043,4.251445,0.638971,1.848445,436.564,6.3124975,1.72718,1.35349,0.9432795,0.4062555,256.78685,215.33715
1,11.25,0.45485725,50.222925,11.93525,3.935945,4.438845,0.68588225,1.63423,435.801,6.06149,1.72094,1.5010725,1.0214325,0.4518,301.6149,252.84805
1,11.75,0.456317,54.54975,11.69705,4.517465,4.45762,0.6468055,1.509435,434.258,6.207915,1.7878125,1.50729,0.88228775,0.4126025,374.374925,313.845975
1,12.25,0.428135,54.61275,13.305,4.988245,4.46322,0.6718275,1.611175,434.902,6.17321,1.745945,1.55356,0.9880315,0.5458365,352.7259,295.747575
1,12.75,0.2776285,57.5178,14.3615,4.4175475,4.58369,0.650134,1.889005,433.91425,5.81349,1.799015,1.53522,0.9419965,0.493965,372.663675,312.4742
1,13.25,0.413027,55.93505,15.6702,4.5577925,4.57465,0.666885,2.302795,434.956,6.011805,1.7982,1.560695,0.9485645,0.4393995,357.912175,300.0938
