DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,CO2_1_8_1,FC_1_1_1,SC_1_1_1,TAU_1_1_1,H_1_1_1,H_1_1_2,LE_1_1_1,G_1,SH_1_1_1,SLE_1_1_1,SG_1,SG_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_2_1,RH_1_2_1,VPD_1_2_1,TA_1_3_1,RH_1_3_1,VPD_1_3_1,WS_1_1_1,USTAR_1_1_1,T_BOLE_1,T_BOLE_2,T_BOLE_3,TS_1,TS_1_1_1
1,6.75,393.6525,394.105,394.46,394.56,394.205,394.6425,396.52,397.915,0.044,-0.09775,-2.36,-82.9,-88.805,-0.024,-2.0025,-2.22,-0.632,-0.13,-0.099,-2.585,0.48,177.8875,260.9825,-78.3925,0,-0.175,69.38,-11.285,37.93,0.684,-12.41,42.25,0.561,-12.3775,51.215,0.472,3.005,0.368,-11.415,-11.31,-10.9125,-2.2525,-0.746
1,7.25,388.79,388.87,389.36,389.5475,389.06,389.99,391.6975,394.25,0.04575,-0.162,-2.3475,-76.2,-84.41,1.00025,-2.0025,-0.926,-0.57225,-0.25675,-0.104,1.095,1.41,178.03,261.0925,-74.9625,4.17,0.293,69.39,-11.22,37.675,0.7185,-12.515,42.2,0.576,-12.46,50.715,0.473,2.945,0.35025,-11.335,-11.17,-10.985,-2.2425,-0.74225
1,7.75,393.725,393.995,394.485,394.605,394.0525,394.725,396.735,397.82,0.064,-0.3775,-2.365,-59.33,-63.3775,1.6,-2.01,0.647,-0.39125,-0.449,-0.102,18.185,4.31,178.105,262.3275,-51.1975,34.5,2.79,69.39,-10.74,37.3,0.746,-12.19,40.745,0.616,-12.23,49.59,0.49975,2.84,0.37075,-11.435,-11.12,-10.93,-2.25,-0.74125
1,8.25,388.7675,388.7975,389.365,389.5,389.1425,389.7825,391.675,394.39,0.048,-0.3295,-2.3625,-33.31,-37.1625,3.76,-2.0025,1.61,-0.4085,-0.386,-0.099,49.36,8.81,178.0375,265.4175,0.308,91.975,7.55,69.4,-10.435,36.625,0.784,-11.3,39.19,0.6755,-11.83,49.425,0.5275,2.7,0.378,-11.2,-10.9475,-10.7625,-2.2425,-0.74
1,8.75,393.6475,394.1025,394.555,394.71,394.0275,394.8075,396.64,398.13,0.061,-0.3875,-2.45,-9.12,-11.46,5.41,-2.01,1.8525,-0.49025,-0.30125,-0.107,93.47,14.82,177.89,269.1125,34.275,172.7,13.43,69.43,-10.205,35.565,0.8045,-10.5,37.52,0.7485,-11.17,48.185,0.5775,2.45,0.414,-10.88,-10.6825,-10.47,-2.245,-0.74475
1,9.25,388.7,388.78,389.385,389.4975,388.92,389.58,391.64,394.5425,0.0215,-0.371,-2.425,19.685,9.3925,9.49,-2,1.96,-0.561,-0.43125,-0.1005,133.89,20.115,178.875,271.2775,65.685,248.39,18.61,69.455,-9.93,34.99,0.828,-9.98,35.1,0.826,-10.42,45.61,0.6285,2.6025,0.444,-10.595,-10.125,-10.025,-2.2375,-0.744
1,9.75,393.7025,394.1175,394.2675,394.465,393.9575,394.54,396.275,398.02,0.042,-0.36425,-2.395,40.1775,28.7975,11.905,-2,1.865,-0.72575,-0.512,-0.102,170.615,24.445,180.05,273.5175,96.94,317.03,22.67,69.4675,-9.4925,34.3225,0.88775,-9.43,33.41,0.92525,-9.63,42.81,0.723,2.56,0.44425,-10.035,-9.305,-9.5075,-2.23,-0.74325
1,10.25,388.9425,389.065,389.6475,389.7475,389.0575,389.6275,391.265,394.51,0.028,-0.295,-2.495,61.1475,49.345,15.455,-2.0025,1.23,-0.624,-0.51225,-0.104,207.53,29.595,181.055,275.3475,125.25,392.44,26.5425,69.47,-9.16,33.0725,0.9455,-9.09,31.8,0.99425,-9.13,39.365,0.7945,2.7,0.487,-9.66,-8.5275,-9.0475,-2.235,-0.74225
1,10.75,393.64,394.05,394.375,394.495,393.96,394.36,396.305,397.51,0.0185,-0.2175,-2.4,77.12,58.87,15.66,-2,0.118,-0.56625,-0.51325,-0.11175,224.4425,32.6575,182.03,275.71,146.3975,435.885,29.425,69.47,-8.92,33.04,0.964,-8.55,31.4925,1.04,-8.69,36.4025,0.86575,2.78,0.506,-9.215,-8.0975,-8.6025,-2.25,-0.7425
1,11.25,388.9725,388.91,389.735,389.88,389.1425,389.49,391.61,394.53,0.041,-0.21375,-2.3,88.7,64.68,16.67,-2,0.12,-0.58,-0.434,-0.103,240.3825,33.78,183.21,277.44,157.185,464.115,31.605,69.44,-8.82,33.09,0.974,-8.39,30.95,1.08,-8.3425,35.58,0.921,2.89,0.525,-8.645,-7.665,-8.2675,-2.23,-0.74325
