DOY2,HR2,FC,H,LE,TAU,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,11.60508,55.5398,43.84788,-0.0370125000000001,0.910028775,7.80125000000001,100.1245,100,2.53154400000001,6.949445,2.15546782949882,1.66095824103345,1.11437950063833
1,0.75,10.54275,26.736725,12.1172175,-0.0206,0.795721,7.86475000000004,100.12425,100,2.20773,6.297334,2.39552318310777,1.75582067547981,0.985749247661796
1,1.25,13.766065,24.54962,21.146305,-0.03468,0.768576,8.37525000000003,100.1235,100,1.7307365,5.773164,2.32379142398813,1.95678608258905,0.915734856070857
1,1.75,29.7131974999999,20.1635875,22.102245,-0.0331,0.719335525,8.54500000000003,100.1014,100,1.442592,5.69422125,2.26962214099989,2.08563306243133,0.884529022677315
1,2.25,11.8714725,27.15694,17.14926,-0.00357325000000009,0.7262862,8.61300000000003,100.07456,100,1.5120075,5.584914,2.26546184073224,1.82171573320648,0.78771761556956
1,2.75,9.72866225,32.15265,27.56961,-0.0340025000000002,0.775097325,8.69160000000002,100.08292,100,2.75770499999999,6.25621525,2.29797639698943,1.88090228968288,0.989633418630277
1,3.25,8.94640375,26.2302125,12.246435,-0.02794,0.80193925,8.71480000000005,100.0902,100,1.3951,6.3963775,2.0195156934336,1.69971598670032,0.970989466667545
1,3.75,12.3036225,17.253375,23.315775,-0.0379525000000002,0.75028825,8.61440000000004,100.09408,100,1.21822,5.9463025,2.33605841320781,1.65264953115958,0.994375029525034
1,4.25,11.82202,15.71737,16.91358,-0.0340399999999998,0.745576325,8.44160000000003,100.07956,100,1.0767187,5.539911,1.98155342167197,1.60159146901257,0.970782752294127
1,4.75,13.4136875,22.5336775,19.7339925,-0.0705,0.767845525,8.21440000000002,100.06428,100,1.4613415,6.840077,1.91792817625285,1.60529153050643,1.05434464776894
1,5.25,14.0171925,20.44128,13.490475,-0.00412000000000006,0.84687135,8.03080000000003,100.04464,100,1.40164875,6.3929265,1.83710114451188,1.41701500637566,1.03205517114822
1,5.75,20.12165,19.0791725,15.548765,-0.015485,0.785806825,7.82440000000004,100.04672,100,1.0811124,6.1260575,2.02272510377293,1.4865894782624,0.962855896722148
1,6.25,24.80739,19.55497,21.02979,-0.027775,0.838573625,7.68587500000003,100.0515,100,1.56656025,6.16311375,1.91200103856996,1.69665341938053,1.04810860366791
1,6.75,34.08314,23.8881,35.749275,-0.013155,0.778802,7.34640000000002,100.0756,100,0.95384575,5.429215,1.8247080702031,1.49096025962394,0.958612994550148
1,7.25,35.8122625,24.499715,16.36025,-0.016594,0.724399075,7.08160000000002,100.0974,100,1.348318,5.4811975,1.84064794266373,1.43896970954887,0.899374938052563
1,7.75,51.1652375,41.3257575,18.72021,-0.0359625,0.722591775,6.83660000000002,100.1396,100,1.4060925,5.86841225,1.75765962173098,1.43756828562231,0.924614243935541
