DOY2,HR2,TA,RH,WS,PA,PPFD_IN,PPFD_OUT,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,VPD,T_CANOPY,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,G,SG,USTAR,H,LE,FC,SC,NEE,H2O,CO2,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,2.8,64.25,1.633,85.6,0,0,-74,-2,2,241.795,313,2.63,-0.455,5.6605,6.367,7.403,8.425,8.56,11.17,-23,-7.151,0.102,-12,0.547,-0.045,-0.0069046329,-0.045930188,6.54665,398.31,0.4883622031715,0.4472135955,0.146618868602
1,0.75,2.7465,64.923,1.61,85.6,0,0,-73.7015,-2,2,240.69,312,2.52,-0.531665,5.46,6.235,7.245,8.35,8.57,11.17,-24.897,-6.7216,0.100044355326,-12.21,0.279,-0.028083,-0.01167698375,-0.04991,6.39905,399.21,0.492940909631,0.4472135955,0.144913767462
1,1.25,2.726,65.918,1.6265,85.595,0,0,-73,-2,2,241.11,312,2.4,-0.575,5.32,6.05,7.09,8.285,8.59,11.17,-25,-6.273,0.0937673184004,-11.1,0.272,-0.028083,-0.01090232855,-0.054945,6.34155,398.525,0.469041575982,0.435889894354,0.141421356237
1,1.75,2.4865,65.9,1.55,85.5885,0,0,-72.906,-2,2,240,311,2.34,-0.681665,5.142,5.876,6.934,8.2,8.605,11.17,-25,-5.98615,0.0990351452768,-12,0.432,-0.023,-0.0086541,-0.033855,6.29765,398.31,0.489897948557,0.435889894354,0.144726293395
1,2.25,2.2485,66.6,1.57,85.58,0,0,-72.193,-2,2,240,310.035,2.25,-0.976665,4.98,5.718,6.7995,8.1,8.63,11.17,-25.596,-5.8162,0.095,-11.1,0.2845,-0.028083,-0.0082236,-0.0446638295,6.3537,398.26,0.469041575982,0.435889894354,0.137840487521
1,2.75,2.0865,67.405,1.539,85.5775,0,0,-72.05,-2,2,240,310,2.285,-1.0833,4.7575,5.575,6.6655,8.015,8.62,11.17,-26,-5.6166,0.0937673184004,-10.397,0.09,-0.028083,-0.00854699865,-0.055378,6.24155,398.7,0.458257569496,0.4472135955,0.137840487521
1,3.25,1.9,68.1,1.53,85.56,0,0,-70.726,-2,2,240,309.15,2.19,-1.27,4.615,5.395,6.5105,7.93,8.62,11.17,-26,-5.37315,0.095,-11.1,0.192,-0.028083,-0.0097915,-0.032702,6.3813,397.81,0.469041575982,0.426614580154,0.137840487521
1,3.75,1.7735,68.75,1.5005,85.5345,0,0,-71,-2,2,241.225,309,2.1,-1.165,4.471,5.246,6.4,7.835,8.61,11.17,-26,-5.02385,0.095,-11.1,0.479,-0.028083,-0.011699,-0.039546,6.3604,397.84,0.469041575982,0.433589667774,0.141421356237
1,4.25,1.7,68.919,1.52,85.528,0,0,-70.078,-2,2,240.75,309,2.105,-1.195,4.355,5.105,6.2875,7.745,8.6,11.17,-26,-4.709,0.0985,-10.0535,0.4435,-0.045,-0.00491075,-0.055589642,6.2575,398.385,0.489897948557,0.435889894354,0.137840487521
1,4.75,1.401,69.5,1.51,85.53,0,0,-70,-2,2,241,308,2.085,-1.4,4.2375,4.965,6.1435,7.6625,8.58,11.17,-26,-4.7787,0.1,-11.518,0.805,-0.028083,-0.00258385,-0.03377212,6.2148,398.255,0.479583152331,0.435889894354,0.137840487521
