DOY2,HR2,FC_1_1_1,CO2_1_1_1,H_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_2_1_1,NEE_1_1_1,RH_1_1_1,RH_2_1_1,VPD_1_1_1,VPD_2_1_1,T_SONIC_1_1_1,TAU_1_1_1,USTAR_1_1_1,WS_1_1_1,PA_1_1_1,TA_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TS_1_1_1,TS_1_1_2,TS_1_1_3,TS_1_1_4,PPFD_DIF_1_1_1
1,0.25,0.56422905,416.34235,-6.312169,0.5733805,4.6446455,4.62795,0.7085818,89.4,89.5,1.244065,0.734299,-1.03135,-0.02705331,0.484891,2.631525,101.2,-3.1295,-4.334,0,-0.84775,0.7835,285.2,300.65,0.0605,0.355,1.224,0.276,0.431
1,0.75,0.5125855,416.61325,-5.804044,0.6177534,4.595064,4.64804,0.7528969,88.66525,89.5,1.16416,0.7360861,-1.375875,-0.02320128,0.4608468,2.5249415,101.2,-3.18875,-3.86425,0,-0.82,0.769,286,300.5,0.064,0.348,1.23,0.284,0.42975
1,1.25,0.5364126,416.346475,-5.351547,0.530372,4.557854,4.65931,0.69061795,87.7507,88.9,1.122705,0.730148,-1.3324,-0.02157143,0.49583545,2.66873,101.205,-3.19625,-3.1765,0,-0.819,0.789,286.5,300.1,0.068,0.34,1.218,0.284,0.4295
1,1.75,0.51933035,416.6302,-6.597274,0.6504097,4.508252,4.5627,0.7435084,88.8,88.9,1.09408,0.7317945,-1.27415,-0.01995,0.517011325,2.733201,101.2,-3.28875,-2.7195,0,-0.838,0.763,285.4,299.5,0.063,0.325,1.216,0.288,0.4305
1,2.25,0.6042218,416.539,-5.4931735,0.588653,4.414248,4.59469,0.857226875,88.4254,89.2,1.0140125,0.709506025,-1.4082,-0.02658242,0.4987446,2.6558515,101.2025,-3.397,-2.94575,0,-0.845,0.754,286.125,299,0.06875,0.34625,1.21225,0.28475,0.42725
1,2.75,0.603702,416.5718,-5.5528595,0.51058145,4.44106675,4.631525,0.72556865,89.05,89.1,1.1513925,0.661036875,-1.638325,-0.02499061,0.493587825,2.7028325,101.2125,-3.485,-2.93525,0,-0.827,0.812,286.7,298.3,0.0585,0.341,1.21175,0.28,0.42975
1,3.25,0.596566225,416.89,-5.23658,0.503253725,4.497937,4.6282975,0.7870332,89.9408,89.6,1.1127475,0.65703815,-1.600426,-0.0235115575,0.51978725,2.67790375,101.2,-3.595,-2.66525,0,-0.811,0.784,286.3,298.2,0.069,0.344,1.213,0.27075,0.426
1,3.75,0.52073285,416.70935,-4.3453755,0.4178752,4.505857,4.620535,0.71314115,91,89.9,0.976511,0.696844225,-1.48155,-0.02001394,0.513132,2.77923,101.2,-3.7205,-2.2115,0,-0.847,0.811,286.35,298,0.06425,0.34575,1.2195,0.288,0.42925
1,4.25,0.693371,416.6896,-5.65050275,0.40931285,4.6029215,4.6192475,0.685636,91.04535,89.9,0.973088,0.6746351,-1.52295,-0.0221899575,0.5186715,2.71399375,101.2,-3.91475,-2.38125,0,-0.853,0.777,285.1,297.3,0.068,0.342,1.22525,0.2955,0.429
1,4.75,0.58085445,416.7622,-5.409984,0.5366354,4.584738,4.40211,0.728738175,91.75,90.4,0.99330625,0.6343977,-2.1243,-0.02344657,0.5053531,2.669169,101.2325,-4.023,-2.43325,0,-0.787,0.758,284.2,297.3,0.057,0.344,1.2185,0.2705,0.4225
