DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
1,0.25,1.1826325,3.84709000000001,7.42094749999999,14.4385,10.6434,99.2883,100.2,426.096,7.41705,1.783425,1.83546,0.7421055,0.0988784000000002,1.8534,324.97875,327.7885,1.7527675,1.2956,2.33685,1.988,1.30355,1.5675,1.93655,2.96155,3.7,5.82345,7.33895
1,0.75,1.192885,3.78031,7.36356999999999,16.4768,11.332075,99.5939,100.2,425.86825,7.43601499999999,1.78798,1.844415,0.997549000000001,0.114989,1.94412,325.028,328.13,1.9527425,1.418925,2.7161,1.94,1.291775,1.566575,1.9248,2.94095,3.7,5.8,7.317
1,1.25,1.1243675,3.83384,7.2030175,14.2881999999999,9.47252500000001,99.760875,100.2,426.05975,7.49515,1.7867175,1.8463875,0.983367499999999,0.193705,1.88345,324.547,328.229,1.767045,0.9397215,2.044885,1.91,1.3304,1.575,1.9713,2.978,3.7225,5.8603,7.3603
1,1.75,1.13604,3.87854,7.12892,21.41055,14.2275,99.650025,100.2,426.07075,7.47201749999999,1.7881825,1.8338325,0.836945000000001,0.179804,2.08071,324.631,327.703,1.583445,1.20914,2.06376,1.8915,1.323125,1.573125,1.916325,2.9574,3.7,5.8,7.315725
1,2.25,1.1675,3.93927,7.20254,8.52520499999998,12.89325,98.96015,100.2,426.086,7.37653249999999,1.80461,1.85156,1.2640875,0.148681,1.77475,322.7925,328.165,2.77643,1.01377,2.86271999999999,1.87005,1.3375,1.5903,1.9692,2.978,3.7225,5.8483,7.3467
1,2.75,1.1558425,4.05729,7.23292,10.160345,9.68126499999997,99.4909,100.2,426.1285,7.38597999999999,1.789185,1.8475625,1.23718,0.150006,1.87252,323.512,328.873,2.144205,1.12066,2.5483775,1.867715,1.308,1.5822,1.962,2.9636,3.7225,5.8603,7.3467
1,3.25,1.164315,4.14441,7.399305,12.50155,8.3094,99.287,100.2,426.3025,7.36102749999999,1.8097575,1.8500375,1.618025,0.219915,1.90711,321.07,329.105,1.7515,1.4807375,2.12433,1.8632775,1.3153,1.55,1.9,2.9322,3.7,5.8,7.317
1,3.75,1.0611225,3.89619,7.2676275,6.81305,8.05073250000001,99.82545,100.2015,426.04575,7.3892225,1.784175,1.8409,2.02434,0.206709,1.85851,322.129,327.06,1.9714,1.1428625,2.4150875,1.868515,1.3467,1.5653,1.9692,2.9708,3.7225,5.845,7.345
1,4.25,1.08544,3.92122,7.3226,8.9245125,12.508875,99.130025,100.2,425.946,7.41347,1.79036,1.84597,1.74833,0.193906000000001,1.89856,321.826,326.96,2.1013125,1.384375,2.128245,1.8655,1.29915,1.56655,1.925,2.9246,3.7,5.8,7.29915
1,4.75,1.081425,3.76707,7.005295,8.17477999999998,9.92335999999998,99.6789,100.2045,426.09825,7.37916749999999,1.785465,1.8458525,1.55862,0.187887,1.83571,321.2035,327.4385,1.968575,1.1781625,2.027675,1.8751975,1.3483,1.5805,1.9458,2.978,3.7225,5.8297,7.3314
1,5.25,1.13312,3.61924,6.89356,9.15961999999998,11.063625,99.500625,100.2,425.99525,7.40215499999999,1.7864725,1.851175,1.8974375,0.202397,1.82962,320.59,327.1615,1.6612225,1.1095375,1.7848625,1.8839225,1.313275,1.558,1.9059,2.8824,3.7,5.794975,7.298725
1,5.75,1.07905,3.66703,6.6291625,4.0375,8.08394,99.7135,100.2415,426.306,7.2331075,1.7757625,1.8364425,2.36453,0.246992,1.76749,322.338,327.264,1.63838,2.4984875,2.66146,1.8724725,1.32415,1.56275,1.91655,2.9145,3.7,5.8,7.3
1,6.25,1.1041625,3.596605,6.8437625,8.38239499999999,8.24983999999998,99.84285,100.3,426.58875,7.14519249999999,1.76492,1.8352225,1.9385775,0.251534,1.71445,322.843,326.6055,1.46312,1.14549,1.8268875,1.87575,1.338,1.575,1.917,2.933,3.7,5.8,7.3
1,6.75,1.063095,3.50935,6.6404,3.68249499999999,9.58523750000002,99.327675,100.3,426.563,7.16716749999999,1.773575,1.83692,2.80399,0.315763,1.65373,321.712,327.18,1.78495,1.705415,2.19393,1.8884,1.3074,1.5574,1.9,2.91325,3.7,5.79625,7.267
1,7.25,1.06005,3.45478,7.10982,5.021625,10.089775,99.36945,100.3,426.48175,7.114545,1.782805,1.840735,2.7975,0.260503,1.81057,320.1915,326.533,1.9220925,1.26545,2.07114,1.8793725,1.283,1.5572,1.9161,2.9217,3.7,5.8,7.3
1,7.75,1.101625,3.4832,6.9059875,11.394375,7.52632,99.8962,100.303,426.81625,7.080395,2.2557075,2.0904225,3.0519075,0.341993,1.93794,319.54025,326.925,1.76642,1.8168125,2.39531,1.8537225,1.32335,1.56615,1.91615,2.9479,3.7,5.8,7.29915
1,8.25,1.0777,3.3286375,6.7905125,8.32515999999998,9.55679999999999,99.867,100.37,427.38,7.1246875,27.750275,26.69625,5.61608,17.9879,8.24124,319.30225,326.0295,1.95198,1.183565,2.128765,1.84025,1.316775,1.55,1.916575,2.94095,3.7,5.8,7.29875
