DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1
1,0.25,0.2141075,-10.79375,2.70385,-25.8075,-1.0515,72.8495,97.9,398.0575,2.089725,0.0060992,0.1111775,-42.73375,-1.231625,0.156535,231.61,264.8625,0.10617,-0.09397975,0.209285,0.260835,0.3,0.602,0.992,1.875,2.4,4.35,5.867,-4.73245,83.167
1,0.75,0.20816,-10.99925,2.69335,-24.297,-1.308825,73.273,97.9,398.21,2.0574,0.0063101,0.12399,-40.63725,-1.2402,0.134755,234.66,264.175,0.09700475,-0.16481,0.14582,0.243665,0.3,0.608,0.99375,1.8833,2.4,4.35,5.866925,-4.8395,84.467
1,1.25,0.2104725,-11.111,2.758025,-25.35175,-0.933225,73.268,97.9,398.41,2.027325,0.006100825,0.13265,-38.779,-1.17955,0.128145,234.145,263.51,0.13622,-0.13711,0.1969,0.2429175,0.3,0.6,0.983,1.883,2.4,4.3333,5.875,-4.93765,82.9
1,1.75,0.20606,-11.245,2.7056,-24.805,-1.04055,73.671,97.9,398.47,2.027,0.0063098,0.1416725,-38.64,-1.17345,0.138465,231.845,263.69,0.133235,-0.13541,0.22051,0.23892,0.3,0.610415,1,1.8833,2.4,4.33725,5.867,-5.1274,83.2
1,2.25,0.20628,-11.3585,2.6946,-24.35925,-1.16245,74.3995,97.9,398.4,2.0095,0.0063826,0.1212,-34.62,-1.177675,0.144895,235.36,263.1225,0.1393,-0.12258,0.18872,0.2410825,0.3,0.604,0.996,1.88315,2.4,4.35,5.875,-5.284225,83.9
1,2.75,0.2003775,-11.47125,2.7362,-21.974,-0.816445,74.9575,97.879,398.46,1.9824,0.0057857,0.12351,-36.71825,-1.26775,0.13226,233.88,262.365,0.149795,-0.138865,0.2428075,0.24233,0.3,0.6,0.992,1.875,2.4,4.35,5.867,-5.434275,84.73325
1,3.25,0.189505,-11.475,2.54925,-23.017,-0.8876025,75.44075,97.9,398.5,1.98225,0.006248325,0.2005275,-40.775,-1.281,0.1290925,232.53,261.3,0.129685,-0.1169275,0.29121,0.24333,0.3,0.608,1,1.8833,2.4,4.33315,5.85835,-5.275325,84.375
1,3.75,0.1873,-11.56775,2.56065,-24.061,-1.147825,74.9075,97.9,398.55,1.95265,0.00598015,0.11542,-40.616,-1.311175,0.1083575,232.75,261.2925,0.11118,-0.13579,0.224575,0.24467,0.3,0.604,0.996,1.875,2.4,4.33315,5.88315,-5.11475,83.35825
1,4.25,0.17909,-11.61625,2.6325,-22.4155,-1.071625,75.4485,97.9,398.56,1.92935,0.00595415,0.057315,-41.53675,-1.394575,0.12742,232.765,261.3375,0.1147525,-0.17514,0.215125,0.246,0.3,0.608,0.992,1.883,2.4,4.3333,5.867,-5.010475,82.975
1,4.75,0.182835,-11.581,2.54885,-23.808,-1.1114,76.29375,97.9,398.66,1.94905,0.0062466,0.10202525,-38.631,-1.3088,0.11498,235.99,260.44,0.1278825,-0.14852,0.22251,0.24808,0.3,0.604,0.995835,1.88315,2.4,4.34165,5.867,-4.95965,83.15825
1,5.25,0.166195,-11.797,2.43105,-21.8825,-1.03775,76.0735,97.9,398.64,1.92765,0.0057848,0.136375,-38.857,-1.317775,0.1330125,235.595,260.53,0.085518,-0.150725,0.18267,0.2399975,0.3,0.6,0.994,1.877075,2.4,4.333,5.866775,-5.01135,82.133
1,5.75,0.16362,-11.9315,2.5628,-23.629,-0.91203,75.859,97.9,398.55,1.9535,0.00625745,0.067991,-38.6885,-1.24705,0.1306275,234.79,260.2875,0.0745245,-0.158045,0.173335,0.2378325,0.3,0.6,1,1.875,2.4,4.35,5.867,-4.988075,83.033
1,6.25,0.17102,-11.936,2.5701,-23.812,-0.958585,76.05725,97.916,398.57,1.9328,0.0059881,0.151455,-34.237,-1.21385,0.1516975,235.58,260.03,0.07359425,-0.1405,0.1295925,0.23475,0.3,0.6,0.992,1.879,2.4,4.31685,5.867,-4.99345,85.467
1,6.75,0.172995,-11.7505,2.50835,-23.5445,-1.236025,76.859,97.905,398.52,1.9466,0.00561805,0.082066,-30.5805,-1.145475,0.1392225,236.7725,260.34,0.1082075,-0.11787,0.16012,0.229,0.2937525,0.592,0.992,1.877,2.4,4.333075,5.866775,-4.92575,86.467
1,7.25,0.1523725,-11.873,2.531175,-22.7095,-1.1735,76.546,97.916,398.53,1.96345,0.006579625,0.090199,-36.57625,-1.146975,0.122905,233.505,259.745,0.077808,-0.1487225,0.1654825,0.2248325,0.3,0.6,0.987335,1.875,2.4,4.325,5.875,-4.873425,87.467
1,7.75,0.15882,-11.9115,2.4512,-22.596,-1.146075,76.9925,97.933,398.56,1.9663,0.2168,0.2460575,-35.24,-0.9416775,0.14448,233.67,259.17,0.07441475,-0.14466,0.13561,0.2291675,0.3,0.592,0.983,1.875,2.4,4.333,5.8667,-4.595725,86.867
1,8.25,0.1664675,-11.919,2.4956,-22.1885,-1.0807,77.36475,97.93,398.63,1.9339,4.3908,3.928225,-27.91875,1.64575,0.6028275,231.33,259.9325,0.0557535,-0.1737,0.1594625,0.2360025,0.298,0.6,0.983,1.875,2.4,4.329,5.85,-4.54035,87
