DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,CO2_1_2_1,NETRAD,PPFD_IN,PPFD_OUT,PPFD_BC_IN,TA,RH,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,G_1_1_1,G_2_1_1,PA
1,0.25,1.09,1.2175,27.8645,-13.8185,0.633,0.101,434.525,563.2055,-4.808,0,0,0,0.55775,97.8,2.03,1.60625,0.8955,1.4565,2.78875,4.1645,3.93375,0.534,1.011,3.6375,3.591,3.4225,4.775,-0.46475,-0.4545,99.552
1,0.75,1.04625,1.418,21.8575,-12.287,0.579,0.15075,434.1415,563.09075,-4.56225,0,0,0,0.44375,98.05,2.1055,1.66125,0.85125,1.41175,2.752,4.1615,3.93875,0.6345,0.915,3.6105,4.114,3.432,4.787,-0.46175,-0.454,99.54625
1,1.25,0.961,1.16775,21.62975,-12.331,0.547,0.14,436.21125,563.0245,-4.57175,0,0,0,0.43975,98.15,2.09425,1.74925,0.82725,1.3955,2.78175,4.122,3.96925,0.63775,1.019,3.4585,4.113,3.52275,4.94,-0.4645,-0.4525,99.55875
1,1.75,0.653,0.724,33.581,-12.776,0.55975,0.122,438.64925,562.894,-4.7075,0,0,0,0.448,97.7,1.99025,1.6435,0.85,1.35575,2.77025,4.1215,3.9205,0.56925,1.02725,3.516,3.759,3.40575,4.95,-0.46525,-0.452,99.56625
1,2.25,0.829,1.31375,22.584,-12.2795,0.651,0.1535,436.4525,562.7755,-4.8005,0,0,0,0.52925,98.1,1.9045,1.67875,0.774,1.3755,2.7725,4.12825,3.94175,0.563,1.04425,3.5385,3.581,3.42275,5.024,-0.46775,-0.454,99.5865
1,2.75,1.046,1.34925,25.7425,-11.2495,0.59375,0.174,436.495,562.771,-4.75575,0,0,0,0.45875,97.8,1.915,1.6255,0.7125,1.4145,2.766,4.08925,3.90425,0.476,0.89375,3.465,3.758,3.44425,4.83125,-0.4675,-0.454,99.596
1,3.25,1.07,1.114,22.239,-8.05875,0.6255,0.10275,437.58275,562.696,-5.245,0,0,0,0.44525,97.625,1.98125,1.6695,0.77125,1.40575,2.8225,4.007,3.948,0.49825,0.886,3.3045,3.972,3.45975,4.95325,-0.46675,-0.452,99.591
1,3.75,0.8405,0.994,19.474,-5.741,0.61675,0.17125,438.25475,562.549,-5.873,0,0,0,0.347,97.41275,1.95775,1.6445,0.73225,1.38225,2.79025,3.95825,3.96625,0.4875,0.8365,3.11825,3.798,3.4115,5.00325,-0.46675,-0.4525,99.56925
1,4.25,1.133,1.4915,13.05025,-6.6365,0.60075,0.1565,439.361,562.44,-4.76625,0,0,0,0.20275,97.68775,1.94975,1.6295,0.77225,1.39225,2.74025,3.984,3.962,0.50425,0.94525,3.38275,4.316,3.29875,4.882,-0.46825,-0.45675,99.558
1,4.75,0.862,1.629,16.17925,-6.43,0.6125,0.083,437.244,562.221,-4.61625,0,0,0,0.198,98.2,1.92925,1.65025,0.76075,1.37,2.67175,4.0425,3.92375,0.4955,0.988,3.3955,3.786,3.2365,5.01525,-0.46675,-0.45725,99.555
