DOY2,HR2,FC,CO2,H,LE,G_1_1_1,G_1_2_1,G_2_1_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,CH4,FCH4,SC_1_1_1,SC_2_1_1,NEE,G_2_2_1,SH_1_1_1,SH_2_1_1,SLE_1_1_1,SLE_2_1_1,WS_1_1_1,WS_2_1_1
1,0.25,0.0421435,392.9550015,-30.28635075,-0.28416525,-3.748,-4.3925,-4.46275,0.1842995,0.4549965,0.372751,0.226578,99.699997,73.215,-27.4649995,-24.8844005,0.1355795,-4.341,-1.087,-0.675,-0.347,0.967,2.472,-0.217,0.0035,0.273,0.733,1.791,3.042,0,0.13481275,160.36839575,193.392477,0.530756,2016.5050045,-0.281935,-0.02652775,-0.014813,0.04663875,-4.99725,-2.147605,-1.096941,-0.13687875,-0.116918,2.815725,2.501085
1,0.75,0.030181,393.111511,-27.20372425,-0.14794225,-3.75,-4.372,-4.45675,0.166505,0.464454,0.341904,0.2317205,99.699997,72.91250075,-27.5925,-25.161,0.131816,-4.329,-1.081,-0.672,-0.348,0.966,2.471,-0.217,0.003,0.272,0.732,1.79,3.041,0,0.1338785,160.240677,193.4882165,0.52274175,2016.6950075,0.9983895,-0.0179885,-0.0134145,0.0436175,-4.99675,-1.90684,-1.251397,-0.1122055,-0.117984,2.6983,2.4646525
1,1.25,0.0328775,393.42500325,-31.112449,-0.21980875,-3.756,-4.35175,-4.45825,0.17898975,0.43946975,0.3959095,0.2337365,99.699997,72.760002,-27.53250075,-25.20607425,0.13019475,-4.311,-1.084,-0.671,-0.349,0.966,2.471,-0.217,0.002,0.27,0.732,1.79,3.04,0,0.14275725,160.57123825,192.83055225,0.513307,2018.3850095,-0.069779,-0.022329,-0.0078605,0.0451,-5.01475,-1.514015,-1.225551,-0.074011,-0.11051025,2.73175,2.6397625
1,1.75,0.044364,393.8419955,-31.3672005,-0.1881905,-3.756,-4.36225,-4.46525,0.2094635,0.46898525,0.38869075,0.25032825,99.699997,72.62000125,-27.679999,-25.2304495,0.1310155,-4.312,-1.09,-0.669,-0.35,0.965,2.47,-0.217,0.002,0.27,0.732,1.789,3.04,0,0.140888,159.422391,192.6226555,0.512555,2018.737488,1.383906,-0.014904,-0.0062805,0.058268,-5.022,-1.785685,-1.2958345,-0.08255175,-0.11359375,2.69995,2.66777
1,2.25,0.062551,393.692993,-31.3355255,-0.200177,-3.748,-4.36225,-4.463,0.19967075,0.4769235,0.3751875,0.2462735,99.74061175,72.5774995,-27.7824995,-25.1524505,0.13709,-4.314,-1.088,-0.672,-0.351,0.965,2.47,-0.216,0.001,0.27,0.732,1.789,3.04,0,0.146729,159.10086,191.857158,0.5138625,2022.93499775,0.415243,-0.0073355,-0.0035105,0.07739,-4.9955,-1.85063,-1.35698575,-0.1051815,-0.1153635,2.6818,2.64013
1,2.75,0.030162,393.477005,-30.214275,-0.16550925,-3.759,-4.36175,-4.45225,0.180469,0.45491,0.390276,0.256526,99.699997,72.74749775,-28.1275,-25.2257995,0.1293455,-4.316,-1.081,-0.673,-0.352,0.965,2.469,-0.216,0.001,0.271,0.732,1.788,3.04,0,0.1343455,161.1724195,191.856998,0.5214225,2023.98999,0.137616,-0.0069505,-0.0034445,0.040276,-4.9855,-1.77062,-1.18028825,-0.1256595,-0.11485925,2.6873,2.63067
1,3.25,0.061298,393.7524875,-31.981199,-0.2218575,-3.75,-4.3555,-4.47,0.201397,0.4774205,0.383889,0.239793,99.7750015,72.372499,-28.195,-25.1244005,0.12578175,-4.319,-1.077,-0.672,-0.354,0.964,2.469,-0.216,0.001,0.271,0.731,1.788,3.039,0,0.1385515,162.5801015,192.33606325,0.51045925,2025.469971,-0.222461,-0.013139,-0.00647375,0.068637,-4.992,-1.95355,-1.1940015,-0.1415575,-0.123834,2.7235,2.42318
1,3.75,0.0389115,394.0625,-28.50530025,-0.18948625,-3.751,-4.34475,-4.47825,0.181375,0.450334,0.393718,0.236875,99.699997,72.35499925,-28.41,-25.198551,0.134,-4.324,-1.076,-0.672,-0.355,0.964,2.469,-0.217,0.001,0.271,0.731,1.787,3.039,0,0.13528,161.708011,191.590427,0.525431,2026.859985,1.700625,-0.01285775,-0.00905275,0.049323,-4.99275,-1.67078,-1.25220625,-0.08862175,-0.13631,2.6925,2.52796
1,4.25,0.041451,393.68350975,-29.89225,-0.159523,-3.722,-4.32775,-4.49325,0.181905,0.42142,0.34882325,0.2432505,99.7750015,72.440001,-28.6274995,-25.34055,0.124043,-4.325,-1.077,-0.672,-0.354,0.964,2.468,-0.21725,0.001,0.272,0.72875,1.787,3.039,0,0.12780375,163.870263,192.386696,0.559732,2028.329956,0.457302,-0.020413,-0.00959,0.047513,-4.99925,-1.7476675,-1.2130665,-0.1182395,-0.12668075,2.70725,2.50199
1,4.75,0.058998,393.788498,-28.851875,-0.15168325,-3.743,-4.29475,-4.50375,0.18777275,0.44501025,0.3738085,0.23880625,99.699997,72.319998,-28.78500075,-25.23414925,0.118843,-4.273,-1.078,-0.669,-0.354,0.963,2.468,-0.218,0.001,0.274,0.72875,1.788,3.038,0,0.128738,165.578564,191.63072075,0.552685,2015.969971,1.05481125,-0.01248925,-0.00817575,0.067721,-5.044,-1.66657,-1.0820925,-0.10154425,-0.10785325,2.8072,2.6369
