DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,T_SONIC_1_1_1,CO2_2_1_1,SC_1_1_2,G_1_1_2,G_1_1_3,SH_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,NEE_1_1_1,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,SC_1,SC_2,FCH4_1_1_1
1,0.25,404.769357,11.34,1.978023,0.5075077555,-2.5985,-6.140320005,10.013962,2.310662,0.449363,101.9895,93.45599019,8.8316365,2.682691075,10.14,11.61,-10.997,-0.2969975,1.9728925,332.407,351.238,-0.041371,8.7372415,434.30416675,0.1995945,-3.981,-3.7935,1.78820975,-0.011833,0.74966825,0.59576175,0.55621,2.302173,444.27499975,457.879167,462.4375,462.4,0.681895,1.7424505,-0.000176
1,0.75,404.6512105,11.045,2.2415715,0.55314738025,-2.71475,-6.92962255,7.542564,2.21315925,0.451330832,101.9835,93.4923157425,8.701875,2.59013525,10.09,11.62,-9.82929475,-0.331318,1.927694,332.73775,351.74125,-0.04209175,8.196226,434.066667,0.493681,-4.07975,-3.623,1.771089,-0.0130215,0.7844345,0.6184865,0.523345,2.916593,443.783333,459.29999975,464.7708335,464.5041665,0.699074,4.10455,2.565
1,1.25,403.15180125,10.7818844475,2.0713779815,0.537529,-2.995,-6.90059,11.6749905,2.33056275,0.474898474,101.9653605,93.7579,8.77935575,2.604459541,10.045,11.62,-10.57816,-0.345856,1.969018,333.424,350.717,-0.0387555,8.086389,433.733333,0.364858,-4.12725,-3.877,1.31033725,-0.011593,0.7848,0.615252,0.490953,2.42462,447.9791665,466.058333,468.6666665,468.8833335,0.33008475,3.182098,1.57175
1,1.75,403.321673,10.53,1.9825,0.49137,-2.99875,-7.78922216,17.499195,2.298456,0.4749928115,101.972,93.85441,8.381361,2.5602037055,10,11.58,-10.1901,-0.309875,1.92,332.018,349.5916,-0.0407275,8.068942,434.366667,0.5356435,-4.2685,-3.9805,1.414679,-0.0187825,0.8142065,0.66187425,0.58270825,2.5435945,448.90833325,466.05,475.2375,474.5708335,0.575002,8.78578925,5.0735
1,2.25,404.511246,10.5059535,2.07,0.4958105,-3.057,-7.704660375,12.470551,2.24392,0.460597451,101.9886,94.07248,8.22,2.473360551,9.97,11.55,-9.63,-0.328041,1.948163,332.2699,350.294,-0.0390085,7.73553625,434.5,0.8413185,-4.35675,-3.8135,1.29777025,-0.019289,0.80032175,0.643314,0.58600275,2.932203,449.325,466.0833335,471.558333,471.4583335,0.4459095,1.55739075,3.49575
1,2.75,404.059176,10.24231244,1.7220405,0.4723075355,-3.11491666675,-6.28,16.53333975,2.28271225,0.45111702125,101.993025,94.1963563325,8.41879,2.3884667325,9.94,11.525,-8.9093635,-0.35285525,1.96705,331.17075,350.91275,-0.043156,7.81657475,436.14166675,0.237724,-4.289,-3.49425,1.632072,-0.01786125,0.814388,0.63793675,0.5980315,2.29064175,449.4791665,475.54999975,483.775,483.158333,0.689476,3.2649435,0.38025
1,3.25,404.509897,10.07,1.8714855,0.5084634485,-3.11766666675,-5.436932685,11.14366,2.35039825,0.4629865,101.963175,93.93129148,8.303585,2.32084925,9.9175,11.5175,-8.1959925,-0.3326345,1.94,332.2174,351.01005,-0.0432695,7.3458405,436.6,0.448036,-4.25575,-3.46025,1.2746,-0.015109,0.817283,0.6305165,0.5733955,2.429675,450.125,472.95416675,479.82916675,465.583333,0.537015,1.57568875,1.393
1,3.75,404.0885895,10.05,1.85734175,0.31,-3.168,-5.65505553,12.285942,2.32528,0.452653,101.95875,94.16011,8.224053,2.32225969875,9.8875,11.51,-8.40915,-0.295302,1.960675,332.869,350.988,-0.043492,7.07486225,437.158333,0.6253725,-4.25075,-3.375,1.933737,-0.0165145,0.771123,0.629505,0.552599,2.823366,454.0583335,470.8,476.7,476.05,0.791197,3.37390675,3.033
1,4.25,404.548792,10.105,1.927723135,0.400097,-3.31525,-5.7481886,11.42610925,2.2441885,0.4564715,101.956,94.70113546,8.214181,2.2845154245,9.86,11.5075,-8.0866545,-0.346702,1.909874,333.7182,349.677,-0.045812,7.214103,436.529167,0.482822,-4.36175,-3.299,2.372136,-0.013857,0.805876,0.624216,0.64808,2.2333105,454.866667,473.5916665,473.775,474.2666665,0.48710025,8.9828,1.628
1,4.75,405.28,10.04829325,1.67850225,0.393431,-3.3045,-4.4645592,8.15306725,2.352166,0.4934425,101.987,94.75112362,8.146829,2.24155472575,9.855,11.4975,-6.77822,-0.3209305,1.8887685,333.123,348.844,-0.0443835,7.15328375,436.1,0.2005075,-4.3825,-3.735,1.37864,-0.0142025,0.80584975,0.65776275,0.6329915,2.0239645,455.5958335,477.06249975,477.579167,477.11666675,0.611764,1.00632125,1.53075
1,5.25,404.38,10.06,1.738495435,0.50142175,-3.32,-4.78,9.652786,2.346152,0.45645,101.9455,94.92265473,7.9960575,2.243081411,9.86,11.49,-7.45713,-0.3441695,1.8855455,332.017,348.18,-0.0430835,7.135272,437.3416665,0.484697,-4.40175,-3.6275,1.0343685,-0.0178245,0.81327225,0.63657775,0.56457775,2.5135655,455.245833,479.21250025,481.2208335,480.5791665,0.413045,0.860284611111111,3.4405
1,5.75,404.610387,10.085,1.9322934215,0.5639551005,-3.41049999975,-4.631545675,15.324272,2.309255,0.46,101.9989,94.8983092275,7.821092,2.157009,9.865,11.4875,-5.99895775,-0.24984525,1.859743,334.135275,348.0225,-0.04666925,7.1533645,438.7958335,0.2331405,-4.51975,-3.603,1.7436235,-0.011454,0.835719,0.664518,0.6362425,1.9464865,457.2916665,467.5583335,479.1916665,476.8416665,0.622182,0.714247972222222,0.94
1,6.25,405.07050675,9.97,1.987365,0.584243,-3.46825000025,-3.67508395,16.0098635,2.3045905,0.453495,102.05128075,94.92922,7.62,1.978566,9.8,11.4775,-6.58094,-0.3024985,1.9245655,333.71,348.32,-0.04311,6.90588,439.7708335,0.4241605,-4.61425,-3.5105,2.014762,-0.014956,0.851418,0.687784,0.61718,2.0521105,459.95,464.1,473.1833335,472.34166675,0.7626375,0.568211333333333,3.192
1,6.75,404.46236725,9.985,1.8585195,0.5697285,-3.532,-5.3409906975,13.39869275,2.378953,0.466457,102.066091,95.216247545,7.32205875,2.02003782975,9.7725,11.4775,-5.7381525,-0.19560325,1.950343,334.931,348.688,0.119933,6.810417,439.783333,0.1993855,-4.666,-3.48225,1.740862,-0.012342,0.874615,0.685544,0.581663,2.0690465,459.0541665,467.904167,474.06666675,474.38750025,0.904101,0.422174694444444,0.002623
1,7.25,405.345133,10.045,1.875,0.51,-3.57291666675,-5.026172,15.6497605,2.2992405,0.43527625,102.0735,95.47070178,7.53104,1.90910643425,9.7175,11.48,-2.5546155,5.2481925,4.3572775,336.05995,349.9304,13.09987,7.02152025,439.458333,-0.1647895,-4.685,-3.50975,1.73655225,-0.01749075,0.82154975,0.643033,0.563616,1.875356,459.50000025,471.8166665,476.1375,476.083333,0.694679,0.276138055555555,3.79175
1,7.75,404.206273725,10.0625,1.0142945,0.39916375,-3.66533333325,-5.050677,11.3426685,2.353347,0.48953276175,102.07,95.17145451,7.56633,1.9314364245,9.7375,11.48,8.85285,50.4435,19.24425,332.7989,349.754,88.4711175,7.03648125,438.5083335,-0.421593,-4.4775,-3.7895,7.647791,-0.022562,0.85228975,0.66107025,0.60943075,1.54817025,456.616667,473.15,476.016667,477.533333,0.88179675,0.130101416666667,4.1485
1,8.25,405.937629,9.9825,0.904245962,0.333728,-3.6015,4.19861825,16.076926,2.37033,0.531466461,102.061069,94.55658593,8.0455925,2.27442268625,9.6975,11.54,42.2837,129.5627,31.606,331.9808,351.7386,256.398772075,7.4788825,437.6333335,-0.236478,-4.63825,-3.828,13.57471,-0.0359395,0.8987365,0.73809625,0.62817825,0.7245225,459.6208335,475.40000025,477.0916665,477.225,1.03246125,-0.0159352222222224,1.87975
