DOY2,HR2,USTAR,TA,WS,FC,H,LE,RH,PA,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,TS_1_1_1,TS_2_1_1,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
1,13.75,0.108373373,-18.425,1.5895,0.0762,-9.840594247,0.037015,71.84,89.35,-23.34,14.26395,5.677,15.04655,6.5935,-4.202,-3.242,-8.61075,-7.25125,-6.4155,-8.175,-5.3455,-7.591,399
1,14.25,0.118467614,-18.275,1.6565,0.0744,-8.50623,0.03198,71.525,89.4,-23.86,10.3619,3.737,11.59295,4.885,-4.1855,-3.211,-8.655,-7.22675,-6.4105,-8.22,-5.3665,-7.58475,399.3
1,14.75,0.117987016,-18.34,1.684,0.085034077,-10.5985,0.099106999,71.25,89.4,-24.45,5.55717,1.944,7.18573,3.069,-4.192,-3.206,-8.65,-7.2085,-6.384,-8.23,-5.346,-7.545,397.95
1,15.25,0.130624642,-18.3,1.651,0.0852,-10.42225,0.0168,71.46,89.4,-25.425,1.82278,0.3015,3.50161,1.333,-4.169,-3.189,-8.7,-7.2225,-6.367,-8.21,-5.319,-7.5165,397.6
1,15.75,0.109401,-18.53,1.6965,0.086334593,-9.82706,-0.003775,71.395,89.3,-24.18,0.286976,0,1.50533,0.4455,-4.2135,-3.1785,-8.71475,-7.20625,-6.4055,-8.205,-5.314,-7.5065,396.65
1,16.25,0.116712,-18.705,1.64,0.0692,-11.7313,0.06805,71.32,89.4,-24.09,0,0,0.816077,0.111,-4.201,-3.184,-8.71,-7.24525,-6.3645,-8.19,-5.324,-7.546,396.75
1,16.75,0.11066,-18.94,1.645,0.063,-10.4289,0.0749,71.35,89.3,-22.91,0,0,0.515254,0.021,-4.204,-3.189,-8.69,-7.263,-6.359,-8.185,-5.2675,-7.535,396.95
1,17.25,0.12287,-18.45,1.6465,0.0587142625,-13.7808,0.00833,71.9,89.3,-23.44,0,0,0.467047,0,-4.202,-3.219,-8.71,-7.28225,-6.3705,-8.16,-5.25975,-7.5535,396.4
1,17.75,0.1214311475,-18.355,1.6175,0.05935,-9.08751,0.0246,71.69,89.3,-23.37,0,0,0.440183,0,-4.244,-3.242,-8.7,-7.286,-6.347,-8.19,-5.2635,-7.55525,396.45
1,18.25,0.113634906,-18.405,1.7625,0.07,-13.347,-0.00209425,71.92,89.3,-25.1,0,0,0.41204,0,-4.225,-3.2455,-8.7075,-7.27025,-6.343,-8.205,-5.2635,-7.594,397.7
1,18.75,0.106906363,-18.685,1.857,0.0558,-9.6428,0.0375,71.22,89.3,-25.385,0,0,0.41006,0,-4.2415,-3.26,-8.7075,-7.29775,-6.3455,-8.215,-5.288,-7.60725,397.5
1,19.25,0.114545855,-18.45,1.763,0.0535,-9.7604,0.0146,71.4,89.3,-24.38,0,0,0.4111415,0,-4.235,-3.252,-8.76,-7.3605,-6.361,-8.27,-5.3535,-7.691,397.1
1,19.75,0.105466,-18.58,1.833,0.08,-11.363,0.101035,71.5,89.35,-24.59,0,0,0.4368475,0,-4.239,-3.235,-8.735,-7.379,-6.335,-8.29,-5.375,-7.614,397
1,20.25,0.11023,-18.77,1.767,0.0508,-9.8872756315,0.0029,71.42,89.3,-24.92,0,0,0.446544,0,-4.25,-3.214,-8.735,-7.3895,-6.322,-8.31,-5.365,-7.5595,396.9
1,20.75,0.107938516,-18.46,1.7235,0.0546,-11.499,-0.01974,71.78,89.35,-24.52,0,0,0.408283,0,-4.2785,-3.221,-8.755,-7.3875,-6.3605,-8.3,-5.341,-7.5425,397.7
