DOY2,HR2,CO2,CO2_SIGMA,FC,SC,H2O,H2O_SIGMA,H,SH,LE,SLE,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,VPD,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_1_1_1,G_1_2_1,G_1_3_1,G_1_4_1,TS_1_1_1,TS_1_2_1
1,0.25,376.93025,0.74026822205,-15.496996,-3.00486875,6.840527,0.0307076911,-45.36623,-6.01489,-36.7402675,-9.15732,100.88475,55.393875,6.4805,8.084425,0.079712405225,0.0633175,0,-86.07189025,-3.84407625,-0.07621765,264.8887375,326.138825,-0.17702505,0.03079,0.14304486315,0.10239398825,0.020684586675,0.250710825,-30.92493,-36.79330325,-26.324809,-22.833436,14.07333225,13.34437875
1,0.75,377.72045,0.6964710949,-15.5453,-4.230981,4.671599,0.031512784525,-52.33852,-1.564492,-20.114575,-2.05045125,100.878775,52.283425,6.13,7.673,0.0892113977,0.08706977,0,-86.227773,-4.086605925,-0.0275875915,265.1169625,326.0519,-0.216825,0.032645,0.14694927715,0.11687404755,0.01964084735,0.186325625,-30.42254675,-37.3942155,-26.48914425,-23.3425865,13.8916135,13.25397725
1,1.25,376.6316,0.566439688075,-18.95808,-6.770025,7.4841625,0.022974455,-44.13898,-1.44023325,-12.18373125,-1.8617385,100.894825,54.96,5.8248,7.174075,0.08249484825,0,0,-83.5122575,-4.485746425,-0.00824341049999998,264.1792375,327.199125,-0.188725,0.0228725,0.126524839075,0.109797253525,0.01836726975,0.247561625,-29.5926435,-37.75339525,-26.13277425,-23.2880595,13.709099,13.1436445
1,1.75,372.408975,0.6082767106,-15.272245,-2.937812,7.78189825,0.0257128717,-58.8010125,-1.8932305,-30.0740625,-2.192219,100.902025,54.3365,5.396,6.8053185,0.080960268,0,0,-87.528986,-4.13947685,0.1047592775,263.624435,326.5481875,-0.211929025,0.02646,0.136840144025,0.122762375,0.01877214975,0.1802145,-30.84033525,-38.5622665,-27.23014275,-22.8921585,13.5639165,13.03733575
1,2.25,373.16625,0.7628010094,-29.20075,-3.045747,7.55357575,0.031658059125,-54.18905,-1.55948275,-28.9091,-1.777356,100.9045,58.819,4.836,7.05428125,0.063742045425,0,0,-91.53771325,-4.849289875,0.144011075,261.8927925,326.389565,-0.206272625,0.0259325,0.091514013075,0.109612629075,0.01647483565,0.286568075,-32.20270125,-39.60975175,-27.9575555,-23.202916,13.4238065,12.99283
1,2.75,349.371625,0.7320791156,-5.5509025,-16.3610585,7.657556,0.031851782425,-53.397395,-1.72284775,-69.60628,-3.97962175,100.914,59.457,4.8732,6.9638,0.07132,0,0,-91.33476425,-4.8549267,0.086545,258.92582,324.89575,-0.213204,0.0228,0.0965763216,0.09779024,0.0179576062,0.17923905,-33.21749575,-40.4027665,-28.4519205,-23.5305305,13.293162,12.944053
1,3.25,368.45415,0.626742276975,-3.162173,-6.533515,7.46606,0.03650058645,-47.81493,-1.739569,-18.32479,-3.03713225,100.922,59.31566625,4.432,6.54485,0.05048,0,0,-91.394658,-4.987606175,-0.0370625,256.885875,324.62415,-0.25332595,0.033215,0.12199905455,0.10807972945,0.01931071615,0.197854,-33.436651,-41.1607205,-28.8157325,-24.1689885,13.1837605,12.8677455
1,3.75,366.948125,0.55209686795,-6.923102,-5.13161775,7.0848125,0.0260103394,-55.32764,-1.3715185,-37.492615,-13.510975,100.913975,59.3028125,4.388125,6.25885,0.06067,0,0,-90.451693,-4.8813509,-0.0115305,257.5831675,322.727925,-0.29079565,0.0275275,0.117111361625,0.115568876475,0.018765,0.129740825,-33.06670075,-41.82736625,-29.425876,-24.611676,13.0973765,12.76786725
1,4.25,372.8294,0.752940734975,-12.21605075,-11.232287,7.0494315,0.0305961978,-52.53333,-1.375285,-22.33356,-4.43717,100.9233,59.428588,4.24375,5.91325,0.0484163892,0,0,-87.86515725,-4.76077795,0.05105977725,259.0786775,321.475225,-0.26242145,0.03174,0.10151110965,0.10367463185,0.01979038655,0.3112049,-33.13448475,-41.875871,-30.076228,-25.051337,13.02816075,12.66666675
1,4.75,377.88075,0.641503332225,-61.272275,-13.5162525,6.9046935,0.0272100146,-62.57729,-1.593799,-26.082215,-2.94450925,100.93115,58.39453625,3.85,5.41495,0.05501713105,0,0,-85.51629275,-4.2540797,-0.1011856,257.0010625,321.44105,-0.21325,0.025555,0.1168675,0.08471730945,0.02257848205,0.1789194,-33.80187125,-42.09708525,-30.7365555,-24.929716,12.9644,12.56936625
1,5.25,376.82445,0.69054984085,-29.60596,-10.65505875,6.78217,0.02387402335,-50.691795,-1.55491,-14.267055,-4.0970465,100.92895,58.74548,3.575,4.962,0.047750211825,0,0,-86.2526925,-4.4799036,-0.005930143525,249.88422,321.512925,-0.176421225,0.03355,0.111253322675,0.132266070425,0.02040009395,0.234944,-34.3043475,-42.1666255,-31.57456225,-25.016486,12.821875,12.4791425
