DOY2,HR2,RH,TA,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT
1,0.25,77.95,-13.1,0.45875,0.5535,221.25,243.025,-9.4132e-05,0.042435745
1,0.75,77.45,-14.365,0.45875,0.5445,216.85,245.15,0.00837924675,0.0391144675
1,1.25,77.425,-13.4475,0.45875,0.60875,220.025,243.9,-0.00711264425,0.04756624
1,1.75,77.975,-13.5225,0.45875,0.57125,219.75,241.775,0.00500414225,0.125562395
1,2.25,77.9,-12.825,0.45875,0.549,224,242.9,-0.005080477,0.1358303
1,2.75,78.975,-12.3425,0.45875,0.579,228.975,244.075,0.00179137625,0.1425524
1,3.25,78.1,-13.365,0.392875,0.495,223.1,244.3,-0.00354179225,0.15616595
1,3.75,78.3,-13.5,0.327,0.55875,222.375,239.45,-0.0079601145,0.1289344
1,4.25,78.7,-12.9075,0.4824,0.48425,227.525,238.05,-0.00580594875,0.1900875
1,4.75,78.175,-13.355,0.6378,0.4735,227.425,238.175,-0.006869003,0.1698032
1,5.25,77.25,-13.7375,0.7932,0.6205,223.6,242.075,-0.00908384275,0.16286035
1,5.75,76.95,-13.5975,0.9486,0.604,222.8,243.375,0.0050892325,0.10185575
1,6.25,77.225,-13.6325,1.104,0.707,223.55,246.55,0.011010925,0.15950635
1,6.75,77.525,-12.6775,1.2594,0.616,223.025,243.475,0.013537405,0.0883051675
1,7.25,78,-14.2725,1.4148,0.5205,226.175,238.325,0.00679775925,0.13578085
1,7.75,78.75,-14.55,1.5702,0.51025,223.525,236.875,0.00678478175,0.1153746
1,8.25,78.95,-13.3975,1.7256,0.7345,222.85,240.625,-0.00053868425,0.07453715
1,8.75,78.7,-13.265,1.881,0.723,221.475,241.825,-0.0135578725,0.08143074
1,9.25,79.25,-14.2575,5.564,0.595,222.125,242.1,0.00858481575,0.096695185
1,9.75,78.975,-14.775,16.4575,0.642,219.025,241.55,0.00680572975,0.127335775
1,10.25,79.05,-15.1625,34.2075,0.7065,218.075,239.375,0.05421562,0.2032407
1,10.75,77.4,-14.8925,0.61275,1.2395,218.425,238.5,0.35362765,0.486523075
1,11.25,77.4,-14.31,2.4445,2.1765,220.45,240.75,2.146626,2.281969
1,11.75,77.7,-13.9725,4.7415,3.76625,220.3,243.05,6.85206575,7.00413875
1,12.25,77.075,-14.1025,7.40675,6.90675,223.725,245.225,14.5429,14.043035
1,12.75,78.225,-14.315,10.4075,10.1525,227.075,245.925,22.660285,22.9321575
1,13.25,77.75,-14.265,16.395,15.135,225.35,243.175,28.0683325,28.786525
1,13.75,77.775,-14.885,14.215,15.935,225.25,242.725,25.9348175,26.59014
1,14.25,78.5,-15.1725,18.16,17.08,227.025,241.5,25.7500825,26.81264
1,14.75,78.075,-14.275,11.4575,12.8075,227.375,241.75,20.6956175,21.4408775
1,15.25,78.475,-14.085,7.316,7.1895,223.025,239.05,12.81757,13.8130325
1,15.75,77.975,-14.7025,5.7315,4.99325,221.975,242.425,6.49433175,6.77332
1,16.25,78.8,-14.58,3.282,2.3055,223.125,233.625,2.040063,1.995822
1,16.75,78.275,-13.655,1.0105,1.27375,221.025,239.675,0.278246475,0.6454784
1,17.25,77.1,-13.8725,34.3925,0.647,225.475,244.425,0.052665935,0.22412595
1,17.75,77.725,-13.76,16.38,0.573,225.85,245.675,3.495e-08,0.08829755
1,18.25,77.6,-13.3725,6.95475,0.60275,223.25,244.675,0.00784111825,0.095047005
1,18.75,78.675,-12.7275,1.4635,0.699,222.65,245.25,-0.013205745,0.1222782
1,19.25,79.325,-13.99,1.20891666666667,0.523,220.675,243.05,-0.01077755475,0.1154334
1,19.75,79,-12.41,0.954333333333333,0.678,220.375,247.15,-0.00595100225,0.142641
1,20.25,79.55,-12.37,0.69975,0.6485,218.075,246.575,-0.004911727,0.125539425
1,20.75,78.925,-12.975,0.30275,0.5375,219.75,245.55,-6.6075e-05,0.095131965
1,21.25,78.8,-12.6175,0.3175,0.612,219.625,244.75,0.00676513775,0.1086592
1,21.75,79.275,-11.3175,0.33225,0.70575,225.05,248.7,0.00676670275,0.0730321725
1,22.25,79.25,-11.425,0.347,0.596,217.55,246.8,-0.006747911,0.06110986
1,22.75,78.05,-11.36,0.347,0.6595,218,246.75,-0.006727151,0.0916278825
1,23.25,78.2,-12.315,0.347,0.58075,220.5,246.7,-0.0068254245,0.0780842275
1,23.75,78.25,-11.98,0.347,0.5065,221.05,246.1,-0.01214775,0.101829485
2,0.25,77.5,-9.9925,1.12225,0.621,245.3,258.6,0.0321295825,0.03389315
2,0.75,76.675,-9.22,1.12225,0.602,244.4,258.575,-0.00163004475,0.04068119
2,1.25,76.4,-9.215,1.12225,0.5325,248.775,257.8,0.00681520375,0.04746923
2,1.75,76.625,-10.1425,1.12225,0.6225,249.975,257.975,0.02024537,0.040680365
2,2.25,79.475,-9.96,1.12225,0.7,253,258.85,0.033898225,0.0270502375
2,2.75,79.5,-12.09,1.041575,0.844,247.65,252.7,0.0136478625,0.02713905
2,3.25,79.975,-13.0475,0.9609,0.663,240.6,253.3,0.0135678,0.0271021225
2,3.75,79.75,-11.615,0.880225,0.619,240.725,253.075,0.0253989475,0.03380381
2,4.25,79.825,-10.6675,0.79955,0.59025,245.45,253.975,0.0185982375,0.033876945
2,4.75,80.05,-10.3925,0.718875,0.461,250.175,254.2,0.030550335,0.03395008
2,5.25,79.125,-10.4675,0.6382,0.479,250.25,256.275,0.00674290225,0.03212662
2,5.75,79.075,-10.2875,0.557525,0.6655,249.05,254.275,0.011845618,0.040769875
2,6.25,79.1,-11.4125,0.47685,0.6115,245.475,254.7,0.0237718325,0.04745294
2,6.75,77.35,-9.9425,0.396175,0.5615,245.375,252.675,0.0390034625,0.0355819225
2,7.25,78.125,-9.71,0.3155,0.7065,239.45,257.4,0.0338814725,0.03409663
2,7.75,78.375,-9.8425,0.837333333333333,0.466,239.325,258.3,0.0321700725,0.0339284
2,8.25,79.05,-10.495,1.35916666666667,0.59175,237.7,256.975,0.05427469,0.264382375
2,8.75,78.95,-9.0625,1.881,1.117,242.575,259.075,0.80116535,2.21465825
2,9.25,79.175,-10.7075,5.564,3.12975,245.875,257.975,7.00497425,9.551424
2,9.75,78.025,-10.0125,16.4575,12.255,259.55,259.375,26.910865,25.7262625
2,10.25,78.7,-9.5075,34.2075,28.9775,247.65,261.525,64.26142,63.1256575
2,10.75,78.4,-9.69,47.3175,44.1,249.525,260.75,102.8827775,99.6927575
2,11.25,77.95,-9.1225,69.025,63.535,252,266.075,146.467425,144.858575
2,11.75,77.65,-8.8995,81.8525,73.97,247,266.6,180.073,177.543775
2,12.25,78.45,-9.1075,94.75,93.3,251.675,267.5,203.76085,201.03465
2,12.75,76.85,-9.7625,114.775,107.075,254.05,265.925,226.006075,226.992825
2,13.25,78.025,-10.0325,126.95,119.625,254.325,265.9,263.61795,253.32835
2,13.75,77,-10.83,120.35,123.325,244.175,262.05,272.108775,259.594125
2,14.25,77.525,-10.7375,132.7,130.3,245.9,259.825,274.717375,266.71995
2,14.75,77.45,-10.2925,127.975,120.3,247.35,259.925,273.81955,262.336275
2,15.25,77.425,-10.9175,100.1,99.45,246.6,257.075,208.952425,199.965575
2,15.75,78.175,-11.485,91.775,85.875,239.85,253.375,189.5177,182.073175
2,16.25,78.775,-11.8,73.2225,67.47,235.675,247.775,150.714225,145.53645
2,16.75,78.575,-10.0675,53.3775,46.95,236.3,247.3,110.949425,105.889175
2,17.25,79,-10.55,34.3925,29.7375,240.15,250.1,62.8114125,60.1329725
2,17.75,77.9,-12.165,16.38,13.52,239.7,249.8,30.36629,28.9478425
2,18.25,77.85,-12.6425,6.95475,4.449,236,250.45,9.29946825,11.7291
2,18.75,77.6,-12.33,1.4635,1.044,235.3,254.125,1.48603725,2.724493
2,19.25,78.875,-12.965,1.20891666666667,0.815,240.325,255.125,0.08830149,0.2992649
2,19.75,78.9,-12.2375,0.954333333333333,0.679,241.925,257.55,0.0321121275,0.04755447
2,20.25,78.4,-11.17,0.69975,0.6085,244.975,260.55,0.0135868575,0.04243095
2,20.75,77.475,-12.5725,0.689666666666667,0.6605,247.225,260.325,0.0202907625,0.031400395
2,21.25,77.725,-11.3525,0.679583333333333,0.437,242.65,262.475,-0.00175292425,0.02036984
2,21.75,78.075,-10.6025,0.6695,0.3885,239.425,263.75,0.0135992025,0.02715637
2,22.25,78.75,-9.975,0.688666666666667,0.6235,241.6,264.7,0.0186590025,0.0339429
2,22.75,78.625,-9.0675,0.707833333333333,0.48225,238.875,265.65,0.020412515,0.02705872
2,23.25,77.6,-9.9175,0.727,0.45,241.65,262.225,0.01362451,0.027046415
2,23.75,76.3,-10.4675,0.727,0.5225,242.275,259.125,0.03046169,0.057566275
3,0.25,75.825,-23.1475,3.028,0.495,193.95,209.1,0.018610775,0.05849376875
3,0.75,75.55,-20.935,3.028,0.552,199.175,208.925,0.00507350675,0.01353692
