DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,389.4625,8.76875,0.9365,-3.055,-9.4875,7.795,2.98175,0.545,0.93966,1.05805,0.65885,100.43,89.193,8.55,3.815,10.1095,0.24504,7.971,7.927,0,-0.55025,1.8755,314.25,349.235
1,0.75,390.26,8.735,0.787,-3.155,-10.10675,6.495,3.061,0.494,0.93045,1.0152,0.63929,100.39,90.325,8.42,3.69,9.8813,0.25519,7.9455,7.89625,0,-0.538,1.8515,314.5,350.6625
1,1.25,390.0075,8.7335,0.869,-3.355,-9.14575,7.34075,3.084,0.52,0.89537,1.0036,0.63573,100.38,90.2,7.825,3.55,9.7345,0.24253,7.924,7.862,0,-0.41125,1.8655,317.25,350.7
1,1.75,389.84,8.7345,0.88,-3.5025,-9.27975,4.648,3.008,0.511,0.9002,1.011,0.63411,100.39,90.1,7.625,3.4,9.6094,0.25851,7.8895,7.82975,0,-0.4535,1.9245,316.7125,350.4375
1,2.25,389.965,8.599,0.6685,-3.5575,-9.35275,5.757,3.004,0.517,0.9160775,1.0612,0.65808,100.39,90.045,7.565,3.36,9.381625,0.25782,7.86475,7.8025,0,-0.502,1.8805,313.725,350.835
1,2.75,389.8175,8.50875,0.726,-3.7175,-9.23,6.203,3.05,0.506,0.906715,1.05115,0.650445,100.38,91.4,7.564,3.22,9.30365,0.254205,7.86075,7.79575,0,-0.478,1.98,315.1325,350
1,3.25,391.175,8.6375,0.82375,-3.86625,-7.732,6.162,2.916,0.50225,0.85325,1.0176,0.63218,100.37,92.7,7.205,3.08,9.14875,0.2629,7.8675,7.79075,0.48718,-0.30425,1.96625,315.545,350
1,3.75,390.62,8.9645,0.6975,-4.01375,-7.573,5.0365,3.08,0.481,0.8644,1.04045,0.63192,100.37,93.588,7.11,3.07,8.79225,0.253925,7.85775,7.78025,0.56377,-0.398,1.95,313.085,348
1,4.25,390.52,8.71525,0.71425,-4.16625,-9.2325,5.6785,3.087,0.5035,0.910595,1.0514,0.64548,100.36,94.334,7.02,2.92,8.749825,0.265545,7.85175,7.7805,0.57372,-0.41125,1.95,313,348.1675
1,4.75,389.92,8.6115,0.8745,-4.2425,-8.657,7.04875,2.92,0.51,0.8926325,1.03595,0.6332975,100.36,94.438,6.984,2.76,8.5482,0.263825,7.84225,7.74225,0.611215,-0.23875,1.9165,318.07,348
1,5.25,390.25,8.599,0.67375,-4.355,-9.148,6.6105,2.881,0.51,0.8659,1.034475,0.5999775,100.37,94.4,6.785,2.75,8.279875,0.2387675,7.83375,7.73275,0,-0.231,1.858,319.3775,347.37
1,5.75,390,9.1605,1.0275,-4.2675,-7.4785,6.04375,3.0435,0.4975,0.856615,1.02825,0.60448,100.38,93.9,6.832,2.73,7.93085,0.246475,7.805,7.722,0.289775,-0.31625,1.79225,319.2075,347.3125
1,6.25,389.94,9.127,1.07925,-4.0725,-7.2595,7.5305,2.93,0.523,0.8872275,1.0338,0.597485,100.46,93.29475,6.6455,2.5575,7.902625,0.2588525,7.784,7.75,0.302815,-0.27075,1.8275,318.085,346.6825
1,6.75,391.6275,8.8315,0.982,-4.045,-7.54125,7.06,2.9145,0.5245,0.86324,1.0644,0.60264,100.49,93.4665,6.5045,2.5725,8.0862,0.27137,7.77275,7.83525,0.79814,-0.30175,1.8005,317.4825,348.475
1,7.25,392.25,8.3255,0.9665,-3.8175,-7.429,6.303,2.82875,0.51175,0.86921,1.05495,0.599425,100.51,94.3,6.357,2.52,8.19545,0.26308,7.7665,7.81525,3,1.14075,2.54,324.1025,349.34
1,7.75,392.79,8.728,1.0925,-3.3725,-6.473,6.71775,2.74225,0.51175,0.8370625,1.013275,0.592025,100.52,93.95,6.3555,2.48,8.2956,0.284705,7.761,7.77575,53.175,28.8,12.984,324.0325,350.8575
1,8.25,392.5325,8.804,0.989,-2.2,-1.0195,11.3,2.85,0.548,0.91154,1.0703,0.66079,100.55,93.907,6.685,2.65,8.1128,0.27709,7.75775,7.74725,184.52,98.40825,26.6385,322.82,352.015
1,8.75,392.9,9.26325,1.75725,-0.584,15.5445,21.041,3.132,0.612,1.026825,1.210275,0.7272375,100.57,90.553,7.0945,3.1525,8.0162,0.3240375,7.75625,7.721,333.9,186,36.2195,318.51,355.25
1,9.25,392.695,8.77525,2.29,1.39175,50.78825,24.699,3.37025,0.684,1.1622,1.3341,0.7978,100.6,86.9435,7.6695,3.5975,8.4039,0.36607,7.757,7.69,494.35,275,43.201,322.085,361.14
