DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,410.2135,17.168125,403.6511,18.23435,1896.991075,410.9804,17.019375,403.0866,18.2242,1896.35,411.180775,17.0486,401.90925,18.225225,1892.28865,411.0239,17.104725,407.44155,18.2383,1860.900175,415.756,17.4246,414.798675,19.613275,1890.19255,1.6654,23.4528,0.1369,405.542775,17.3516,-4.51475,-3.735875,-3.332125,-61.496125,-30.790125,0.0583,-52.6897,-10.0175,0.2147,0.6085,0.22475,0.12,0.11075,22.2559,22.159075,21.7827,19.9193,19.2779,19.33625,99.95145,63.689,2.5105,20.11275,20.3125,21.21225,19.7085,0,-5.2095,0.6,-1.95525,-0.859,346.94,426.615,-89.7925,396.3475,414.89,-0.11,-0.28525,-0.45,-0.05,-0.61,-0.6295,-0.23,-0.27,-0.33,22.683225,22.988775,23.665325,24.070475,24.468,25.362,25.755425,26.2257,22.0329,22.521325,23.412075,23.76155,24.3038,25.733425,26.121,26.627275,21.55195,22.8507,24.113925,23.837975,23.59895,26.46625,22.18795,22.839675,23.3598,23.900475,24.76685,25.252025,25.52575,26.16575,26.526625,21.52765,22.333225,23.246725,23.932475,24.6637,25.543475,25.896425,26.16985,26.794275,-6.89325,-12.316175,-12.679375
1,0.75,409.4255,16.518425,403.84,17.672,1902.2007,410.062675,16.432,405.928025,17.634275,1899.238,411.3409,16.8602,405.7412,17.7164,1896.6923,412.5173,16.8914,404.57425,17.922,1894.0267,418.46185,17.3193,412.7548,18.0924,1881.8132,1.71265,23.2858,0.12395,405.48735,17.217,-3.027,-3.039175,-2.579225,-74.854875,-20.587375,0.06255,-62.9713,-10.6266,0.23355,0.57275,0.22,0.11,0.11,22.23745,22.090125,21.62275,19.804,19.00365,19.054625,99.92745,61.99675,2.02475,19.86475,19.901,20.99475,19.464,0,-5.3475,0.5475,-1.91525,-1.0125,347.71,426.335,-90.016,394.8425,414,-0.11,-0.28,-0.44,-0.05,-0.6,-0.6295,-0.23,-0.27,-0.34,22.59885,22.92,23.638125,24.047625,24.464,25.362,25.755425,26.22515,21.906925,22.425275,23.39145,23.746375,24.300375,25.732425,26.120475,26.627275,21.413225,22.68265,24.027475,23.818375,23.59995,26.46625,22.035625,22.738175,23.341175,23.88395,24.7598,25.2515,25.526375,26.16575,26.52625,21.4297,22.2599,23.19545,23.889375,24.656275,25.543475,25.896425,26.169375,26.794275,-7.17865,-12.8275,-13.105
1,1.25,409.5115,16.2887,403.1637,17.873875,1895.959,409.4114,16.300925,404.3136,18.2386,1894.57495,410.89155,16.643875,407.721125,17.974625,1897.439125,412.506875,16.8428,408.6038,17.7703,1894.0755,418.095125,17.212,413.427875,18.626075,1882.6266,1.4832,23.1237,0.14,406.2429,17.55475,-1.102425,-6.460825,-1.8768,-52.190625,-22.357175,0.0616,-60.021825,-7.7132,0.1994,0.6545,0.22,0.12,0.11,22.1987,21.94655,21.5,19.855525,19.08765,19.07615,99.9013,60.356,2.276475,19.8045,20.042,20.9695,19.318,0,-5.3455,0.6475,-1.95525,-1.0415,347.91,426.71,-89.7195,393.295,413.4,-0.11,-0.29,-0.45,-0.05,-0.61,-0.63,-0.23,-0.27,-0.34,22.49755,22.853275,23.61355,24.029825,24.46095,25.362,25.755425,26.225325,21.763675,22.35495,23.355075,23.731425,24.29695,25.732425,26.120475,26.627275,21.3242,22.53835,23.94605,23.80765,23.60095,26.46625,21.911775,22.6469,23.274825,23.86295,24.754275,25.251025,25.52575,26.165625,26.52625,21.289525,22.1518,23.124275,23.8516,24.652475,25.543475,25.896425,26.169375,26.793275,-7.6076,-12.9879,-13.4597
1,1.75,410.4483,16.15375,404.611,17.6942,1893.779875,410.362775,16.185,404.43795,17.5983,1850.5006,412.082,16.20345,407.134775,18.131175,1895.1092,412.21525,16.3123,408.150875,18.045375,1894.300375,418.6323,16.936925,413.814525,18.227475,1888.44185,1.1783,23.1372,0.1341,406.84825,17.6486,-8.2282,-7.3538,-6.4192,-53.548225,-19.0069,0.0819,-74.149,-5.91175,0.2342,0.6325,0.239,0.1125,0.1105,22.00835,21.91615,21.4544,19.9851,19.108875,18.9405,99.8638,58.3605,2.428,19.87325,19.9445,20.90325,19.13,0,-5.35,0.6,-1.961,-0.939,346.195,425.715,-91.167,392.5325,412.79,-0.11,-0.28,-0.45,-0.04,-0.61,-0.62,-0.23,-0.27,-0.34,22.4589,22.7814,23.583775,24.019125,24.457375,25.362,25.75495,26.225325,21.5729,22.217,23.289175,23.705125,24.293,25.7318,26.12,26.6268,21.1765,22.4022,23.867725,23.791025,23.601,26.46625,21.8343,22.547525,23.213,23.841375,24.749275,25.251025,25.525375,26.165625,26.525625,21.165475,22.041275,23.04055,23.81245,24.64495,25.543475,25.896425,26.169375,26.793275,-7.803875,-13.10405,-13.807575
1,2.25,409.281625,16.021,404.5965,17.0756,1892.71655,410.3148,16.2633,406.279875,17.3455,1895.693,411.1143,16.458,407.060625,18.064025,1892.318,412.821775,16.753,407.699875,18.014475,1894.04395,419.01845,17.039,413.3635,18.171,1872.249,1.063,23.041,0.1396,406.0583,17.3368,-3.7046,-5.29175,-5.7811,-58.0458,-17.0645,0.0678,-60.30315,-7.703625,0.2082,0.659,0.24475,0.11,0.1005,21.9895,21.8886,21.44,19.6602,18.95455,18.7535,99.8399,59.29075,3.0529,19.63,19.8,20.763,18.95125,0,-5.44925,0.6,-1.972,-0.826,347.5225,424.735,-92.0005,392.5475,413.5,-0.11,-0.28,-0.45,-0.04,-0.61,-0.61,-0.23,-0.27,-0.34,22.419375,22.738425,23.54475,24.0098,24.45385,25.361475,25.754425,26.22485,21.46485,22.0975,23.238,23.6721,24.288,25.73135,26.11945,26.62605,21.022525,22.27685,23.7932,23.77385,23.601975,26.465975,21.77335,22.4596,23.166675,23.81775,24.744325,25.2501,25.525375,26.165625,26.52625,21.067875,21.938075,22.963625,23.767875,24.637425,25.543,25.896425,26.169375,26.793275,-7.930475,-13.42065,-13.86005
1,2.75,410.3803,15.731,403.7708,17.0592,1893.1388,410.541,16.13565,405.6316,16.7747,1894.428,411.013025,16.21585,407.006825,16.8908,1891.644425,411.0134,16.463,406.9035,17.6819,1892.8675,415.585175,16.856,413.3465,18.5427,1888.479275,0.72215,23.0273,0.141475,406.2711,17.2198,-3.0118,-5.667,-3.34825,-51.07715,-23.366,0.067925,-58.907825,-9.4753,0.173725,0.5335,0.2395,0.12325,0.11,21.957825,21.73095,21.263925,19.2583,18.6638,18.51,99.81865,59.7205,2.969275,19.44325,19.4955,20.645,18.759,0,-5.38925,0.5425,-1.92,-1.1,346.815,422.7125,-91.91,392.8425,412.495,-0.11,-0.28,-0.45,-0.046,-0.61,-0.62,-0.23,-0.27,-0.34,22.341,22.69265,23.50405,24.0008,24.45185,25.36145,25.754425,26.2247,21.3601,21.9959,23.1819,23.65395,24.2829,25.73085,26.11945,26.62605,20.879875,22.160725,23.720475,23.756575,23.602,26.46525,21.712625,22.380175,23.127025,23.792175,24.73985,25.2501,25.524375,26.1645,26.52525,20.9717,21.88985,22.895025,23.72525,24.630425,25.543,25.896425,26.169375,26.79305,-8.077325,-13.64625,-14.078475
1,3.25,409.89295,15.348825,404.32405,16.8049,1889.885,410.851575,15.35685,406.107625,17.88175,1891.32565,411.5204,15.8985,405.89675,16.296,1888.8595,411.60675,16.184725,407.4312,17.0218,1887.56625,415.7553,16.58135,414.7369,17.621875,1880.856775,0.5933,22.9179,0.1288,406.6866,17.1532,-0.75855,-5.210075,-4.8655,-57.554125,-17.75785,0.0627,-58.29335,-9.9558,0.205,0.4125,0.25,0.12,0.11,21.904025,21.76585,21.5572,19.45255,18.7067,18.50395,99.80225,61.1225,2.4894,19.4685,19.6045,20.595,18.58475,0,-5.569,0.6,-1.92525,-0.9395,343.44,423.32,-93.46,392.2225,411.5475,-0.11,-0.28525,-0.45,-0.04525,-0.61,-0.62,-0.23,-0.27,-0.33,22.26715,22.65235,23.478,23.98875,24.4499,25.361475,25.754425,26.22415,21.31275,21.89445,23.1297,23.63045,24.2779,25.73035,26.11945,26.62605,20.770575,22.04935,23.651375,23.7373,23.603,26.46525,21.6424,22.31825,23.0808,23.76655,24.737475,25.250075,25.524375,26.16475,26.52525,20.870275,21.864325,22.82125,23.684375,24.624375,25.543,25.896425,26.169375,26.793275,-8.161,-13.4855,-14.16025
1,3.75,409.8619,14.626275,405.4723,16.66215,1894.3093,409.7876,14.64565,405.8946,17.2109,1893.714,410.568925,15.16905,405.7255,17.06925,1894.80275,412.115925,15.2259,406.9775,16.9072,1892.31655,418.4133,15.849625,411.4975,17.7201,1876.091375,0.925625,22.888425,0.14165,405.339,16.788125,-4.14275,-4.127275,-5.1718,-59.578375,-17.52345,0.073825,-64.872875,-10.6624,0.223,0.518,0.229,0.134,0.1,21.767375,21.717125,21.5398,19.6142,18.83085,18.27865,99.7928,60.308,1.49325,19.559,19.58125,20.3845,18.44425,0,-5.4885,0.5425,-1.95575,-0.9465,344.3,423.6025,-91.61,391.395,409.795,-0.11,-0.29,-0.45,-0.04,-0.61,-0.62,-0.23,-0.27,-0.34,22.195475,22.576875,23.44795,23.976175,24.446425,25.361475,25.754425,26.22415,21.2235,21.82485,23.09085,23.59975,24.273,25.7299,26.11845,26.6256,20.671175,21.937275,23.5813,23.718025,23.603,26.46525,21.511925,22.26595,23.037475,23.74045,24.7359,25.24955,25.524375,26.164625,26.52525,20.757675,21.783525,22.801575,23.6606,24.61785,25.543,25.896425,26.16885,26.793275,-8.23995,-13.5915,-14.056875
1,4.25,409.838125,14.57685,404.996875,16.755375,1895.75275,409.6544,14.8434,404.347,16.7905,1890.374675,409.48835,15.0341,407.4044,17.4891,1895.08125,412.76365,14.9613,407.2555,17.168625,1894.15635,416.915525,15.4302,413.23395,17.44455,1872.2191,0.710775,22.833475,0.133,406.20505,16.79345,-0.51875,-3.7724,-2.1126,-68.57115,-20.4504,0.079275,-70.42975,-11.3841,0.233,0.5255,0.22,0.123,0.12,21.7925,21.72,21.286925,18.947025,18.50095,18.0445,99.796275,59.29375,0.9788,19.153,19.332,20.3905,18.33475,0,-5.349,0.6,-1.9055,-1.1095,345.82,422.115,-88.846,390.4475,409.385,-0.11,-0.29,-0.45,-0.05,-0.61,-0.62,-0.23,-0.27,-0.34,22.108875,22.489525,23.39215,23.96555,24.443475,25.361475,25.75435,26.224325,21.0597,21.73325,23.0324,23.57385,24.2688,25.7289,26.11845,26.6256,20.4914,21.82675,23.5126,23.699025,23.603,26.46525,21.379325,22.154425,22.9923,23.71545,24.7338,25.249075,25.524375,26.164625,26.52525,20.64675,21.69955,22.800575,23.64585,24.6138,25.542475,25.896425,26.16885,26.7928,-8.0917,-13.761175,-14.040425
1,4.75,410.6464,14.34305,404.1038,17.06715,1896.2922,411.0734,14.0643,404.7248,16.2302,1842.915825,413.0239,14.248275,406.64005,17.48265,1892.5952,413.041,15.310875,408.871725,17.759175,1892.115875,417.81,15.7954,411.1762,17.3459,1872.30455,1.0066,22.659225,0.147,405.7085,16.0886,-3.986875,-5.241425,-1.459,-63.6504,-16.0271,0.06775,-55.7389,-10.9993,0.20315,0.5725,0.23,0.12,0.11,21.801875,21.697675,21.3998,18.7996,18.534,17.871225,99.803275,58.53875,1.156225,19.09025,19.197,20.1155,18.19425,0,-5.65,0.6,-1.9205,-0.939,343.93,422.025,-90.481,389.4575,408.3325,-0.11,-0.29,-0.45,-0.05,-0.61,-0.6195,-0.23525,-0.27,-0.33,22.04795,22.458775,23.361025,23.9564,24.440375,25.361,25.754275,26.224325,20.94985,21.6639,23.02,23.5619,24.2646,25.7289,26.11845,26.62505,20.459525,21.74035,23.44735,23.682475,23.603,26.46425,21.2941,22.061325,22.967125,23.70295,24.731275,25.24855,25.523375,26.16375,26.52425,20.493425,21.604725,22.7744,23.62645,24.610175,25.542,25.896425,26.16885,26.792275,-8.27485,-14.34445,-14.11775
