DOY2,HR2,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS,G
1,0.25,99.4085755,73.12725,-31.27625,-63.439275,0,0,-10.534,-9.77725,124.49,167.8125,-30.737,-15.8421875
1,0.75,99.43258625,73.27575,-31.139,-64.1927,0,0,-10.3385,-9.46,124.2575,167.96,-31.13825,-15.84425
1,1.25,99.45728875,73.11325,-30.84925,-64.083,0,0,-10.5105,-9.61925,124.2475,167.595,-31.06875,-15.8493125
1,1.75,99.467997,73.2695,-30.7875,-64.445125,0,0,-10.42325,-9.63125,123.81,167.9725,-31.01525,-15.85425
1,2.25,99.498885,73.0195,-30.6945,-64.669975,0,0,-10.3275,-9.274,124.075,167.9025,-30.9325,-15.86975
1,2.75,99.5303305,73.32375,-30.8545,-64.055575,0,0,-10.24775,-9.221,124.66,168.7525,-31.1505,-15.908
1,3.25,99.54004075,73.2295,-30.7695,-63.7283,0,0,-10.6735,-9.24775,124.4575,169.6225,-31.0855,-15.9371875
1,3.75,99.5673565,72.85,-30.64575,-64.071025,0,0,-10.461,-9.29375,121.825,168.975,-30.902,-15.9398125
1,4.25,99.60865925,72.9255,-30.66675,-61.94715,0,0,-10.72825,-9.714,121.8025,169.8075,-30.893,-15.9505
1,4.75,99.66847875,73.31075,-30.964,-61.4817,0,0,-10.62725,-9.73925,122.095,169.3525,-31.15,-15.9966875
1,5.25,99.64186,72.97375,-31.382,-61.01655,0,0,-10.71175,-9.91375,122.735,169.2225,-31.2295,-16.0415
1,5.75,99.57965975,73.10925,-31.734,-60.2046,0,0,-10.6635,-9.65625,123.5275,167.7125,-31.58475,-16.0930625
1,6.25,99.53462125,73.438,-32.082,-62.214325,0,0,-10.45875,-9.36575,124.5525,167.02,-31.882,-16.1571875
1,6.75,99.4882355,73.32,-32.4405,-62.8739,0,0,-10.534,-9.39625,124.905,164.63,-32.333,-16.229
1,7.25,99.4721385,73.73275,-32.912,-62.2832,0,0,-10.67625,-9.444,125.0525,163.3425,-32.77475,-16.281125
1,7.75,99.4429085,74.48875,-33.0745,-59.01515,0,0,-10.7065,-8.99,124.5075,162.3025,-33.00075,-16.235375
1,8.25,99.409116,74.2775,-33.4055,-58.874725,0,0,-10.63125,-9.1775,123.9,165.5325,-33.3555,-16.0776875
1,8.75,99.35945475,74.6285,-33.53975,-59.093075,0,0,-10.83025,-8.804,123.2375,168.1075,-33.0615,-15.9984375
1,9.25,99.34485125,74.9495,-32.88025,-60.812275,0,0,-10.1025,-9.1455,122.475,167.5,-32.31775,-16.0335
1,9.75,99.3513635,74.177,-32.712,-60.52655,0,0,-10.37775,-9.26625,121.935,166.645,-32.39175,-16.0500625
1,10.25,99.389285,73.734,-32.953,-61.203775,0,0,-10.72775,-9.2955,121.3425,165.9225,-32.78475,-16.057125
1,10.75,99.41359675,73.80975,-32.83625,-58.682625,0,0,-10.57325,-9.31175,120.68,166.0375,-32.669,-16.0801875
1,11.25,99.4382855,73.6175,-32.6415,-58.92465,0,0,-10.34775,-9.51,120.41,166.015,-32.47025,-16.1096875
1,11.75,99.4662955,73.6105,-33.235,-59.9075,0,0,-10.37025,-9.0085,120.0175,165.9075,-33.022,-16.1384375
1,12.25,99.44678325,73.66425,-33.60475,-59.29015,0,0,-9.46625,-8.507,120.2875,164.9675,-33.4125,-16.1724375
1,12.75,99.4057835,73.637,-33.577,-60.1355,0,0,-9.8245,-8.85025,120.5725,165.1225,-33.1815,-16.2228125
1,13.25,99.3865,73.3705,-33.9995,-59.804675,0,0,-9.52275,-8.288,120.895,163.5525,-33.68625,-16.228625
1,13.75,99.3672495,72.87725,-34.22,-60.541875,0,0,-9.45925,-8.26025,121.0575,161.935,-33.92975,-16.23525
1,14.25,99.330604,72.9305,-34.556,-58.59485,0,0,-9.569,-8.41725,121.935,161.3075,-34.12825,-16.27025
1,14.75,99.250018,73.102,-31.989,-56.8162,0,0,-10.13,-8.63,122.52,160.12,-32.884,-15.921
1,15.25,99.25242425,73.19775,-34.159,-54.690475,0,0,-10.36875,-9.811,122.3225,158.545,-35.04225,-16.3406875
1,15.75,99.24668625,72.86475,-35.1515,-54.4575,0,0,-10.8585,-9.73925,122.4375,157.2675,-35.383,-16.3450625
1,16.25,99.2466,73.241,-34.98875,-63.1811,0,0,-10.5855,-9.49725,123.4,157.545,-35.38925,-16.344625
1,16.75,99.21817325,72.92575,-34.66175,-58.91905,0,0,-11.059,-9.841,126.015,157.7275,-34.54575,-16.3619375
1,17.25,99.2076535,72.744,-33.83975,-53.587075,0,0,-10.69875,-9.56,127.535,158.8375,-33.78375,-16.3595625
1,17.75,99.178778,73.05925,-32.80975,-53.3984,0,0,-11.03025,-9.60325,128.435,158.915,-32.947,-16.3671875
1,18.25,99.174598,73.1965,-32.7375,-52.67295,0,0,-10.5195,-9.566,129.725,160.01,-32.9135,-16.356375
1,18.75,99.195037,73.4145,-32.952,-53.47625,0,0,-10.4285,-9.7885,125.785,161.915,-33.108,-16.3215
1,19.25,99.2176,73.635,-32.606,-53.0339,0,0,-10.462,-9.689,128.19,163.685,-32.932,-16.270625
1,19.75,99.2474695,74.2875,-32.5775,-52.24355,0,0,-10.689,-9.664,129.945,164.545,-32.6235,-16.245625
1,20.25,99.2839965,74.202,-33.1435,-50.8934,0,0,-10.586,-9.2865,130.925,164.63,-33.116,-16.157875
1,20.75,99.3288495,74.251,-33.3635,-50.2523,0,0,-10.8645,-9.8045,130.35,164.13,-32.8175,-16.081125
1,21.25,99.300292,74.5005,-33.0555,-57.2738,0,0,-10.859,-9.6875,130.81,164.455,-32.4685,-16.044625
1,21.75,99.276541,73.7705,-32.6765,-53.93935,0,0,-10.7075,-9.582,128.465,165.25,-32.0735,-15.994625
1,22.25,99.2915015,73.2915,-32.4445,-60.58475,0,0,-10.6255,-9.5215,126.265,165.535,-31.8295,-15.9345
1,22.75,99.313131,73.749,-32.1525,-58.3769,0,0,-10.6485,-9.026,125.84,167.095,-31.5405,-15.908875
1,23.25,99.3318015,73.947,-31.835,-57.6983,0,0,-10.4905,-9.3895,124.8,166.985,-31.242,-15.889
