DOY2,HR2,FC,LE,H,G_1_1_1,G_2_1_1,G_3_1_1,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS
1,0.25,0.01,-11.86435404975,-95.336038,-37.27117375,-39.00862025,-3.892808,381.91465,2.03200575,87.86701875,-12.06392575,0.047575,-10.4388925,-14.114,-13.8263,48.068668,0,0,0,203.0435,250.36667,-82.3,-3.879,-1.49125,-0.232,0.19025,1.6322,3.420425,0.02,0.1575475,0.1515,0.03264375,0.27815
1,0.75,0.019,-13.16,-88.956175,-37.847212,-39.1780775,-4,383.21982,1.94427,87.79816,-12.33126275,0.04085575,-10.4647925,-14.044675,-13.97735,45.8835,0,0,0,205.53,249.6665,-79.1795,-3.7825,-1.38375,-0.2625,0.18625,1.629875,3.4255,0.0228675,0.146105,0.1577105,0.03953537685,0.251
1,1.25,0.017,-13.9252975,-96.093541,-38.11086375,-39.78173525,-4,382.9994,1.8856625,87.8007825,-12.338065,0.04,-10.524312,-14.2406,-14.42,45.35249825,0,0,0,204.0325,249.18625,-74.61625,-3.8158,-1.5185,-0.253,0.19475,1.63,3.45155,0.022055,0.15,0.146245,0.03764,0.29706457325
1,1.75,0.02,-8.788,-93.99833025,-38.77906525,-38.526295,-4,382.7566,1.42944525,87.826668,-12.5887525,0.0345,-10.598884,-14.472625,-14.513,47.1270015,0,0,0,204.164,248.1116695,-76.0118305,-3.909125,-1.5815,-0.274,0.19725,1.63725,3.4458,0.028845,0.15676312725,0.131638,0.037075,0.257
1,2.25,0.030525,-13.668735,-108.1694,-39.5859815,-38.354578,-4,383.14265,1.62253425,87.843748,-12.85878775,0.0526585,-10.905778,-15.009375,-14.71,45.517998,0,0,0,204.9925,247.372664,-79.731334,-3.88995,-1.6285,-0.29275,0.2,1.6273,3.4552,0.02300575,0.156707,0.15142675,0.04,0.20575
1,2.75,0.016,-8.0817875,-86.56484,-39.278135,-38.23288375,-4,382.649525,1.180872,87.8851455,-13.743194,0.043,-11.50272,-14.8647,-14.7789,47.331668,0,0,0,206.0683355,246.769001,-80.706001,-4.0175,-1.69875,-0.35,0.2,1.63,3.36775,0.02755,0.18,0.18,0.039048,0.22775
1,3.25,0.0121,-6.218,-103.00852,-38.79158875,-37.9782275,-4,382.6816625,1.66877875,87.82655,-13.937134,0.05,-11.71293725,-14.7135,-14.5378,47.62758,-0.000725002499999993,0,0,200.962,246.6905,-81.97333225,-3.9525,-1.8625,-0.39,0.1925,1.61625,3.389875,0.02761325,0.16,0.19177125,0.04,0.2496227746
1,3.75,0.02,-17.14383,-101.587532,-37.634457,-36.034471,-4,382.54582,1.044892,87.8293215,-14.370152,0.05,-12.0760005,-14.77558175,-14.6275,45.2399975,0,0,0,201.0025,245.8905,-78.96767,-4.062,-2.04,-0.43525,0.196,1.626,3.4048,0.02,0.15140175,0.1501845,0.04,0.2695
1,4.25,-0.490225,-10.861225,-113.62807975,-37.93267875,-35.54632125,-4,382.716525,1.53579,87.7972405,-14.972,0.034885,-12.809638,-15.3614985,-15.2198,44.40741925,0,0,0,203.675,246.70416875,-77.76833125,-4.107125,-2.149,-0.505,0.19,1.61625,3.370625,0.025955,0.17144,0.1444665,0.03759075,0.2555
1,4.75,-0.5818,-13.174625,-108.7127975,-37.31579375,-35.425061,-4,382.6918425,1.1269365,87.7835,-15.262568,0.040795747225,-12.9792775,-15.402002,-15.086,55.24825,-0.000758327499999999,0,0,202.96075,246.96608525,-80.21816475,-4.315625,-2.187375,-0.586,0.18525,1.6081,3.383125,0.02212075,0.17033,0.17,0.04,0.3245
1,5.25,-0.351375,-6.256,-105.813315,-37.46360875,-35.60956625,-4,382.495875,1.370248,87.730888,-15.1835,0.04,-12.893084,-15.18075,-14.9225,54.840933,-0.00106666,0,0,202.84875,246.82925,-78.2829165,-4.5175,-2.26625,-0.7025,0.18,1.61,3.380875,0.02,0.169847,0.14175,0.04,0.255396953075
1,5.75,-0.8022,-10.869071009,-94.7524,-37.62467725,-35.707704,-4,382.88176,1.46958925,87.71942,-15.37875,0.0305,-13.4593855,-15.45875,-15.078,53.0434,0,0,0,205.6205,246.4635,-77.4075,-4.6005,-2.47325,-0.824,0.18,1.61,3.36115,0.025034,0.140257,0.1505855,0.0315065,0.3323666038
1,6.25,-0.8659,-8.228375,-91.984953,-38.61711,-36.95862,-4,382.6753,1.2,87.71630375,-15.27,0.04,-14.1573665,-15.7374975,-15.269,52.153725,0,0,0,205.556668,246.092,-77.503332,-4.787,-2.69,-0.9675,0.1725,1.607,3.3825,0.0203075,0.14471,0.16,0.038020011,0.232025
1,6.75,-1.142,-8.30175,-88.844705,-38.4089715,-35.06507525,-4,382.593,1.316785,87.74889,-16.0030565,0.04,-14.4784685,-15.961336,-15.23825,52.49474675,0,0,0,205.3916675,245.5595,-77.199499,-4.858125,-2.82675,-1.137,0.17,1.6156,3.34455,0.021528,0.1595535,0.1709058269,0.03990168255,0.3222
1,7.25,-1.25605,-13.8053,-87.613788,-38.433069,-35.064817,-4,382.8069,1.17062,87.81804825,-15.01839625,0.0308925,-14.21380125,-16.069725,-15.11105,55.758003,0,0,0,204.33750075,243.86167,-81.85975,-4.9596,-2.95,-1.28875,0.1715,1.6245,3.32775,0.026715,0.1797255,0.158781567125,0.03885,0.270078764375
1,7.75,-1.733575575,-7.935768,-90.348266,-35.813685,-32.91356425,-4,382.502,1.83389925,87.98517075,-16.387606,0.0363255,-13.0512795,-16.718336,-16.340125,58.31416675,0,0,0,201.8824975,239.5783345,-81.7296645,-5.028025,-3.10075,-1.37,0.1635,1.62,3.34,0.02093275,0.144776,0.11863575,0.03555925,0.216925
1,8.25,-1.87835,-5.09138,-81.17598125,-31.92965,-28.1754,-4,385.71572,1.96035375,88.02098,-15.600979,0.0409405,-9.499342,-16.58384025,-16.2205,58.67933,8.7815,0,0,202.248335,239.61525,-56.617998,-4.977,-3.18,-1.47125,0.1225,1.575,3.199,0.027832,0.1595,0.13,0.04,0.32
1,8.75,-3.1675,-6.8165,-59.7672485,-28.45949375,-21.0611075,-4,381.7447375,1.6775,88.049,-14.72775,0.0520925,-8.5822675,-15.1264,-14.483325,58.055,24.94508,8.3891845,0,206.723,248.6,-28.997,-5.46975,-3.65475,-2.2506,-0.38405,0.065775,1.715725,0.02,0.16080625,0.142475,0.05522125,0.18125
