DOY2,HR2,FC,LE,USTAR,H,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,H2O_1_3_3,CO2_1_4_2,H2O_1_4_2,H2O_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_4_1_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_5_1_1,TS_5_2_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,9.25,0.0641735281761882,2.7311133382317,0.199428284500838,-1.51533594067402,0.809829444851835,424.17532879421,1.69328834237964,415.064262270351,1.76731245397672,1.86116583240813,415.066503734805,1.75998919794072,1.76947868464312,415.158838826094,1.7554161921823,1.89854297655387,415.439195266256,1.53030568639994,1.41906123759752,6.05045092113208,-6.08871610194939,0.733488270954815,4.29,3.985,-4.3675,-8.052,-5.0605,-5.743475,91.39063,73.56,1.9182,-13.24,-3.95,-6.885,2.1,-1.455,3.9,-0.73,-0.11,224.6,259.4,268.275,278.85,0.3,0.24,0.06,0.11,0.14,0.08,0.22,-0.04,-2.5875,-2.049,-1.549,-3.318,-2.8285,-2.0985,-1.9095,-1.8295,-1.5925,-0.8935,-4.683,-4.11525,-2.9685,-2.499,-2.03875,-0.712,-0.25275,-3.6225,-3.217,-2.7835,-1.987,-1.9215,-1.605,-6.039,-5.7535,-2.986,-4.3645,-2.11,-1.2375
1,9.75,0.050853241017139,-0.0261600507586328,0.204843540022085,-1.03897659797058,0.867692961176056,423.909663838715,1.62291594939273,415.391718556999,1.76078872913891,1.73016221017702,415.317376074344,1.81157179328643,1.6970194366308,415.2916638809,1.7826315430628,1.80549056280861,415.444505488836,1.49090344788062,1.29667925229559,5.53688369826212,-5.65733849984391,0.652694278582775,3.845,3.615,-4.13985,-8.127,-4.6164,-5.076875,91.439815,72.93,1.9771,-12.88,-3.94,-6.9125,2.3,-1.12,4.4,-0.65,-0.05,222.3,259.9,268.775,279.025,0.325,0.32,0.1,0.11,0.165,0.08,0.22,-0.03,-2.5905,-2.0525,-1.5495,-3.314,-2.8385,-2.0955,-1.9125,-1.832,-1.594,-0.894,-4.6985,-4.1325,-2.972,-2.498,-2.0395,-0.71175,-0.25375,-3.6245,-3.2175,-2.7875,-1.99,-1.9245,-1.6075,-6.0415,-5.7415,-2.7495,-3.7175,-2.051,-0.87
1,10.25,0.0405321867706699,1.87254174781198,0.201865189953837,-1.08279263427066,0.821942843309045,423.833432133676,1.56958416178016,415.194782777827,1.75627901685839,1.61400018591092,415.297556070951,1.76978236807818,1.59580129027848,415.335482639186,1.7373815795824,1.72381383389959,415.504492195255,1.56477882617508,1.24588768839579,5.49588133172025,-6.23625392540575,0.620690064638852,3.865,3.775,-4.18385,-7.53,-4.327375,-5.6375,91.462675,73.89,1.86595,-13.16,-3.94,-7.0225,2.4,-0.635,4.4,-0.14,0.39,222.4,258.2,270.4,279.075,0.75,0.88,0.74,0.12,0.7825,0.08,0.23,-0.025,-2.5905,-2.056,-1.55,-3.3075,-2.846,-2.0925,-1.9155,-1.8335,-1.5955,-0.894,-4.70225,-4.14825,-2.9755,-2.496,-2.04075,-0.71175,-0.25475,-3.627,-3.217,-2.7905,-1.993,-1.927,-1.61,-6.0425,-5.729,-2.82375,-4.159,-2.1365,-1.9825
1,10.75,0.0499581705916583,2.34227986951229,0.229392773409807,-1.54313094356101,0.867522917287467,423.916111031086,1.55364259505781,415.070142539032,1.74852641893993,1.58371414874491,415.220742946399,1.74334057781452,1.56387176964085,415.354442893319,1.72039085566158,1.76994581187324,415.385087865834,1.50885741192296,1.25525455025698,5.58323987157,-5.95745416096761,0.551952956042728,3.585,3.43,-4.23595,-8.259,-4.455625,-5.3405,91.4913325,74.57,1.84365,-13.59,-3.94,-7.13,4.1,0.795,6,1.83,2.0125,225.4,255.9,270.625,279.125,3.61,3.21,3.46,0.13,4.365,0.1,0.23,0.02,-2.5905,-2.0595,-1.551,-3.294,-2.8535,-2.0895,-1.9185,-1.834,-1.597,-0.895,-4.7335,-4.1425,-2.978,-2.51375,-2.04125,-0.712,-0.2565,-3.6295,-3.217,-2.793,-1.996,-1.93,-1.64875,-6.0465,-5.7165,-2.792,-4.0745,-1.9775,-2.34
1,11.25,0.0785875668139275,0.892103447906976,0.220417829248827,-1.14524842944302,0.880990570117759,423.8277529601,1.52173281433219,415.137857055355,1.69634643102953,1.79728929112271,415.144834458756,1.65563367385646,1.7516837255755,415.277196904188,1.5950358252029,1.82343509154865,415.575006392194,1.43709536221219,1.26323174880409,5.88429452967674,-5.55911431575965,0.712539604063697,3.41,3.4025,-4.068825,-8.184,-4.736475,-5.4165,91.5023275,76.06,1.86855,-13.19,-3.93,-7.0725,6.9,3.405,8.3,5.72,4.66,228.5,256.1,270.725,279.225,8.51,8.11,8.39,0.19,10.85,0.135,0.2625,0.32,-2.5875,-2.0605,-1.552,-3.2815,-2.861,-2.0865,-1.921,-1.834,-1.5985,-0.896,-4.7545,-4.1315,-2.97925,-2.504,-2.041,-0.71175,-0.2575,-3.6325,-3.22,-2.7955,-1.999,-1.9325,-1.6515,-6.0495,-5.704,-2.873,-4.18625,-2.01325,-2.24
1,11.75,0.0400539869675136,1.66446370977809,0.22311970906672,-2.10156360381038,0.757958457614329,423.771648636433,1.66430887308394,415.139411266464,1.88202368388932,1.95152832668502,415.299788815016,1.85146336860801,1.89982580196907,415.330254532614,1.63391621253823,1.79352071588881,415.38789027595,1.64806820775376,1.21826972421528,6.2014621415908,-5.38669057643309,0.628209003815046,3.585,3.3725,-3.9722,-8.374,-4.691075,-5.2014,91.4858475,75.52,1.896775,-12.85,-3.93,-7.105,10.6,8.28,11.9,10.12,8.29,229,256.7,272.2,280.075,16.4975,15.23,15.77,0.29,18.725,0.18,0.3525,0.655,-2.588,-2.059,-1.553,-3.2675,-2.867,-2.0845,-1.9245,-1.834,-1.6,-0.8965,-4.75875,-4.12075,-2.98,-2.51,-2.041,-0.71175,-0.25925,-3.6345,-3.2235,-2.7975,-2.002,-1.9355,-1.65575,-6.0515,-5.6945,-2.8295,-4.1285,-2.04775,-1.66
1,12.25,0.0449837389086353,0.0177693785836992,0.245704931668978,-1.73449137154276,0.763372672635437,423.791237501934,1.54344773776727,415.02410935944,1.74463008572139,1.73399536328536,415.139755421652,1.76431135811423,1.71324650426922,415.156046531709,1.74043088951961,1.69242482896318,415.165180684106,1.54841625566031,1.13808407688048,6.69468826276016,-5.83627736785004,0.608279924804928,3.765,3.66,-4.1049,-8.098,-5.092,-5.2297,91.490005,74.8875,2.002525,-12.9,-3.93,-7.26,15.5,13.19,17.4,16.42,11.68,226,256.5,268.9,279.8,23.735,21.69,22.39,0.41,25.0075,0.23,0.435,0.98,-2.589,-2.05625,-1.549,-3.2455,-2.86075,-2.08125,-1.9265,-1.83125,-1.599,-0.89725,-4.77275,-4.103,-3.00025,-2.506,-2.039,-0.71175,-0.249,-3.6315,-3.2135,-2.78525,-1.98275,-1.93575,-1.604,-6.0545,-5.693,-2.8605,-4.241,-2.028,-3.35
1,12.75,0.0644847548674483,2.64541987161955,0.238943153258096,-2.22467982860354,0.805864123370003,423.756959647589,1.608135533844,414.986214067583,1.89215851566217,1.73590620560071,415.034200944847,1.85365400345865,1.72466929495682,415.082491312175,1.84007714599156,1.74810989381638,415.150444179193,1.67565544169463,1.1398812089848,6.4988632037485,-5.80185370326413,0.556871474644818,4.045,3.5525,-4.097425,-8.245,-5.52725,-5.062625,91.49604,74.82,2.055425,-12.55,-3.93,-7.285,17.9,18.72,20.1,21.74,16.95,227,256.2,273.7,279.85,27.4325,25.2,25.99,0.53,29.72,0.225,0.53,1.24,-2.586,-2.0525,-1.55025,-3.241,-2.876,-2.0785,-1.9305,-1.835,-1.60025,-0.9,-4.74475,-4.0995,-2.9815,-2.491,-2.03975,-0.71175,-0.262,-3.6395,-3.228,-2.802,-2.0085,-1.9405,-1.6225,-6.0575,-5.691,-2.73625,-3.8655,-1.947,-2.52
1,13.25,0.0379622204798892,-0.277007009017776,0.222306154719954,-2.47350173730722,0.773083436360076,423.7045681937,1.59816228256537,415.240514537143,1.81951088439707,1.78965741609659,415.127537276428,1.80952939932595,1.73882495731526,415.215820653127,1.79360638488969,1.67523770671651,415.4353524037,1.57870204901384,1.20026861205186,6.83459174400004,-5.51321849788946,0.579008073111552,4.215,3.905,-4.151475,-8.465,-5.10335,-5.16275,91.493955,75.445,2.0919,-12.87,-3.93,-7.275,17.9,18.08,19.9,20.33,17.28,226.6,256.2,271.675,279.6,28.42,25.91,27.53,0.53,30.605,0.24,0.54,1.315,-2.589,-2.0475,-1.54925,-3.2185,-2.868,-2.0755,-1.93275,-1.834,-1.599,-0.90025,-4.731,-4.077,-2.975,-2.4955,-2.037,-0.712,-0.252,-3.64225,-3.22075,-2.7905,-1.988,-1.94,-1.608,-6.0755,-5.69,-2.83375,-3.973,-2.058,0.95
1,13.75,0.0360124295186316,0.746022868229117,0.195506266741872,-0.22743480543636,0.810675578853299,423.867953172369,1.63588335295822,414.984180045505,1.70507245640975,1.71774799026522,415.335026617133,1.68408285832757,1.66932978845896,415.224804604162,1.68103063068113,1.6642084311669,415.341264905727,1.43102739048222,1.06301581539336,5.69863492330601,-5.69659855770248,0.617710517719582,3.73,3.7325,-4.2342,-7.627,-5.1733,-5.070325,91.4961425,74.46,2.069125,-12.74,-3.93,-7.345,16.4,16.11,19.6,18.02,14.24,225.1,256,271.7,279.55,25.855,24.35,24.92,0.47,29.605,0.235,0.525,1.22,-2.5945,-2.04175,-1.54775,-3.205,-2.87,-2.072,-1.93575,-1.835,-1.6015,-0.90125,-4.704,-4.075,-2.98,-2.496,-2.036,-0.712,-0.254,-3.64125,-3.2235,-2.79325,-1.99125,-1.94325,-1.6105,-6.098,-5.691,-2.88525,-4.34625,-2.305,-2.41
