DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC,TS
1,0.25,0.12,1.655,10.87,11.215,14.805,-5.99,-0.785,-78.3625,-46.0675,-1.08,-0.055,11.04
1,0.75,0.12,1.775,10.65,10.82,15.3,-6.2825,-0.86,-78.4725,-46.7675,-1.655,-0.05,10.88
1,1.25,0.12,1.67,10.295,10.8,15.765,-6.12,-0.8625,-78.03,-44.135,-1,-0.06,10.7
1,1.75,0.12,1.65,10.365,10.625,15.705,-6.05,-0.83,-77.23,-45.17,-1.2,-0.06,10.55
1,2.25,0.12,1.8,10.2,10.66,15.75,-5.96,-0.77,-76.74,-47.67,-1.4325,-0.07,10.32
1,2.75,0.12,1.835,10.18,10.2725,16,-5.86,-0.81,-76.915,-44.9175,-1.9675,-0.06,10.15
1,3.25,0.11,1.7225,10.17,10.4225,15.82,-5.855,-0.8925,-76.1025,-49.075,-0.9475,-0.04,9.97
1,3.75,0.12,1.7625,10.22,10.3675,16.405,-5.975,-0.9325,-75.715,-49.05,-1.3,-0.04,9.86
1,4.25,0.12,1.77,9.94,10.2025,16.955,-6.0925,-1.01,-75.1075,-43.41,-1.455,-0.0675,9.75
1,4.75,0.12,1.85,9.88,10.12,16.985,-5.9925,-0.8725,-74.6575,-46.23,-1.5025,-0.06,9.63
1,5.25,0.12,1.9225,10.055,10.35,17.385,-5.755,-0.8725,-75.555,-48.715,-1.435,-0.02,9.45
1,5.75,0.12,1.715,9.925,10.08,17.11,-5.875,-0.9725,-75.4,-50.92,-0.785,0.02,9.34
1,6.25,0.12,1.76,9.905,10.15,17.06,-5.845,-0.95,-75.07,-48.92,-0.8775,-0.0475,9.22
1,6.75,0.12,1.76,9.74,10.14,16.955,-2.5825,-0.17,-72.06,-50.01,-1.2875,-0.05,9.03
1,7.25,0.12,1.72,9.695,10.06,17.01,18.1675,6.035,-56.3625,-42.19,-1.4025,-0.1,8.95
1,7.75,0.12,1.31,10.185,10.32,16.54,98.0775,34.875,-3.3625,-29.11,0.17,-0.2075,8.93
1,8.25,0.11,0.81,11.245,11.02,16.275,181.4025,52.2875,42.445,-11.51,1.7575,-0.3775,8.97
1,8.75,0.12,0.6,12.145,12.11,15.035,274.125,64.74,96.7875,4.4775,2.47,-0.49,9.11
1,9.25,0.12,0.4675,12.81,12.7575,13.62,358.1325,80.9175,152.9325,22.9775,3.45,-0.64,9.36
1,9.75,0.15,0.52,13.365,13.18,12.8,427.385,94.92,199.3,39.24,5.3,-0.6575,9.79
1,10.25,0.18,0.67,13.865,13.37,12.535,481.595,104.2375,230.8275,58.95,5.435,-0.77,10.31
1,10.75,0.18,0.98,14.09,13.84,12.47,509.3475,114.3975,252.5575,73.21,5.2675,-0.63,10.91
1,11.25,0.19,1.09,14.695,14.19,12.005,533.4525,118.85,271.25,86.46,6.865,-0.6175,11.67
1,11.75,0.2,1.02,14.885,14.7,12.065,535.0125,121.545,278.7275,93.71,6.735,-0.73,12.46
1,12.25,0.22,1.1125,15.275,15.1525,11.75,531.3425,120.9425,263.7325,95.18,6.0875,-0.5275,13.17
1,12.75,0.21,1.0925,15.68,15.4825,11.47,547.005,121.8225,264.805,97.0375,6.095,-0.76,13.65
1,13.25,0.23,1.1725,16.155,15.7,11.59,489.435,110.4425,238.355,88.76,5.27,-0.565,14.24
1,13.75,0.24,1.245,16.1,15.775,11.68,412.8675,97.135,203.1325,81.3,5.0225,-0.4725,14.89
1,14.25,0.22,1.2775,16,15.82,12.005,352.7125,83.9475,150.4675,72.8625,3.465,-0.64,15.4
1,14.75,0.22,1.375,16.175,15.815,12.16,298.3825,68.6425,101.895,54.49,2.9975,-0.61,15.57
1,15.25,0.2,1.24,16.165,15.77,12.46,227.5125,54.3975,46.345,38.89,2.145,-0.43,15.87
1,15.75,0.19,1.19,15.82,15.42,12.9,111.1675,27.9275,-11.6325,14.965,1.065,-0.325,15.99
1,16.25,0.14,0.96,15.105,14.885,13.57,15.95,2.38,-81.58,-8.56,-1.2125,-0.1,15.66
1,16.75,0.09,0.94,14.585,14.475,14.115,2.1175,0.8575,-88.8925,-14.39,-0.8025,-0.0325,15.38
1,17.25,0.08,1.1,14.11,13.86,14.045,-6.9775,-0.67,-91.13,-21.28,-1.4625,-0.0325,14.96
1,17.75,0.08,1.255,13.735,13.59,13.865,-7.48,-0.62,-88.9325,-30.875,-0.4225,0.01,14.52
1,18.25,0.1,1.465,13.35,13.175,14.015,-7.0225,-0.54,-88.5425,-37.3425,-0.92,0.0225,14.1
1,18.75,0.1,1.535,12.98,12.935,14.025,-6.99,-0.6525,-86.9025,-37.985,-1.105,-0.03,13.8
1,19.25,0.105,1.525,12.72,12.625,14.065,-6.83,-0.7625,-85.3025,-40.395,-1.4725,0.0375,13.5
1,19.75,0.11,1.52,12.56,12.395,14.425,-6.84,-0.71,-84.76,-40.87,-1.5425,-0.06,13.28
1,20.25,0.11,1.405,12.455,12.175,14.585,-6.5875,-0.74,-82.74,-42.355,-0.795,0.02,12.94
1,20.75,0.1,1.42,12.115,12.04,14.65,-6.6325,-0.7425,-81.8675,-43.915,-0.91,-0.0325,12.6
1,21.25,0.11,1.6,11.78,11.865,14.34,-6.4925,-0.76,-81.05,-44.05,-1.2075,-0.05,12.28
1,21.75,0.11,1.58,11.615,11.745,14.535,-6.41,-0.7975,-80.785,-41.86,-1.1425,-0.0225,12.03
