DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,H2O,PPFD_DIF
1,7.75,0.139,-3.8275,2.5815,0.229,0.2165,-0.002,-25.431,0.149,0.1405,-0.01,-5.4155,0.1945,0.791,59.75,77.055,387.0865,1.38,-60.49,25.156,11.275,13.76,10.985,192.45,268.1,3.0645,24.2275
1,8.25,0.133,-3.707,2.42,0.136,0.141,-0.0025,-20.335,0.271,0.713,0.158,-5.421,0.195,0.785,58.61,77.055,387.069,1.49,-32.63,153.898,90.15,104.7,61.52,191.7,270.75,3.2505,78.18
1,8.75,0.129,-2.978,2.332,0.183,0.199,-0.003,-13.376,1.274,1.414,0.2075,-5.431,0.1855,0.79,53.755,77.07,387.021,1.9,-1.825,341.764,187.05,240,116.45,190.85,276.4,3.3845,118.165
1,9.25,0.128,-1.535,2.3115,0.142,0.17,-0.0235,-7.891,1.768,2.668,0.243,-5.39,0.1915,0.7865,48.68,77.1,386.899,2.35,12.19,555.5125,279.3,377.3,170.45,192.85,281.2,3.572,141.514
1,9.75,0.157,-0.178,2.574,0.071,0.129,-0.039,-5.295,1.657,3.911,0.164,-5.3005,0.1955,0.786,44,77.111,386.011,2.965,35.225,786.196,375.3,525.9,237.3,193.6,287.7,3.6205,157.2055
1,10.25,0.2005,1.263,2.913,0.0635,0.097,-0.036,-3.521,1.357,7.386,0.1425,-5.311,0.199,0.7895,41.22,77.161,385.542,3.4,56.21,937.96,455,600.7,284.7,194.35,294.75,3.512,165.637
1,10.75,0.218,1.58,3.4835,0.057,0.092,-0.0245,-0.997,0.782,10.602,0.1005,-5.2755,0.2055,0.7905,40.97,77.17,385.026,3.515,74.665,1085.02,519.15,724.2,330.6,196.8,301.15,3.617,177.13
1,11.25,0.2315,1.933,3.6665,0.0705,0.103,-0.022,0.035,0.489,12.6555,0.104,-5.228,0.264,0.794,41.37,77.15,384.454,3.48,86,1173.17,570.75,772.35,360.5,200.1,305,3.722,189.495
1,11.75,0.222,2.197,3.6475,0.053,0.074,-0.019,-0.673,0.48,12.753,0.0955,-5.211,0.3295,0.801,41.36,77.12,384.178,3.595,96.85,1210.58,606.7,833,389.45,199.3,309.85,3.5965,199.7255
1,12.25,0.239,2.535,3.6795,0.057,0.073,-0.016,-0.702,0.462,13.8455,0.071,-5.198,0.3415,0.8025,39.63,77.1,384.2205,3.825,104.6,1249.519,624.65,908,403.85,202.9,312.35,3.72,209.4375
1,12.75,0.2345,2.795,3.7865,0.051,0.073,-0.016,-0.9295,0.205,15.317,0.118,-5.0225,0.344,0.811,38.78,77.06,383.791,3.93,104.15,1242.8865,630.15,870,401.75,203.2,312.9,3.818,230.7435
1,13.25,0.242,2.597,3.8165,0.0705,0.082,-0.0145,-2.0275,0.1415,15.496,0.024,-5.097,0.357,0.821,38.14,77.04,383.534,3.93,103,1208.9955,616.35,805,390.8,206.9,313.35,3.815,216.355
1,13.75,0.23,2.93,3.83,0.06,0.0715,-0.0135,-2.712,0.199,15.453,0.079,-5.147,0.357,0.837,38.88,77.04,383.386,3.915,95.9,1152.9165,581.75,771.6,367.35,206.8,313.6,3.788,214.749
1,14.25,0.238,3.062,3.762,0.082,0.08,-0.007,-3.356,-0.0615,12.2555,0.095,-5.1655,0.366,0.837,41.26,77.03,383.4545,3.835,83.65,1058.154,533.7,703,327.25,206.3,312.25,3.933,200.976
1,14.75,0.219,2.815,3.973,0.084,0.094,-0.009,-4.8715,0.059,12.165,-0.036,-5.166,0.3655,0.8535,41.55,77.02,383.183,3.79,65.5255,965.551,471.65,602.3,287.5,207,310.35,3.923,190.476
1,15.25,0.2185,2.48,3.857,0.075,0.0835,-0.006,-4.9,-0.061,10.0175,0.031,-5.1635,0.366,0.8695,42.35,77.03,382.969,3.77,39.825,817.983,389.4,536.15,240.2,206.75,308.6,3.944,169.9105
1,15.75,0.216,2.327,3.635,0.082,0.09,-0.005,-7.048,-0.173,8.0605,0.014,-5.0195,0.3655,0.8755,41.79,77.03,383.044,3.65,18.15,632.1165,297.35,417.75,179.7,206.55,304.75,3.933,143.2755
1,16.25,0.1855,1.842,3.42,0.134,0.138,0,-7.853,-0.4205,5.172,-0.01,-5.1085,0.3655,0.876,42.94,77.04,382.258,3.49,-8.294,423.4615,203.95,266.55,122.45,204.9,301.25,3.874,123.643
1,16.75,0.173,1.397,2.888,0.128,0.121,0.004,-9.759,-0.6935,2.335,-0.0175,-5.138,0.364,0.886,43.59,77.03,382.78,3.405,-46.99,200.8335,92,126.95,59.145,201.7,294.3,3.9795,87.969
