DOY2,HR2,USTAR,H,LE,NEE,FC,SC,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,RH_1_2_1,PA,G_1_1_1,G_1_1_2,SW_IN_1_1_1,SW_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_2,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN,PPFD_OUT,T_CANOPY_1_1_1,T_CANOPY_1_1_2,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_2,TS_2_2_2,TS_2_3_2,TS_2_4_2,TS_2_5_2,TS_2_6_2,TS_2_7_2,TS_2_8_2,TS_2_9_2,T_CANOPY_2_1_2,T_CANOPY_3_1_2
1,0.25,0.224385029,-20.05708372,0.808888532,0.375976607,0.216754544,0.0013067775,0.562659,0.501372,0.253648,0.2588825,379.0025251,2.06121,-14.19,-15.0255,69.96,73.276,94.821332,-3.2017,-2.8776,0,0,0,0,225.59093495,245.97406715,-20.046196795,-21.874764085,0,0,-12.84439306,-14.43889538,-2.453053,-1.2787055,-0.5506525,0.03006553,0.43038665,-1.5520535,-1.333343,-0.61079405,-0.1425212,0.069789415,0.4700012,0.6237488,0.5660706,0.85342205,-14.465125,-14.465185
1,0.75,0.223824298,-20.34530456,0.600826683,0.3826320945,0.230809509,0.00017177755,0.57785,0.490032,0.253513,0.253608,378.8840731,2.015809,-14.21,-15.2115,69.82,72.983,94.8446,-3.189654,-2.8776,0,0,0,0,223.76004915,245.667387,-21.224793385,-22.3974227,0,0,-13.09803468,-14.37977791,-2.4620575,-1.2792,-0.5461956,0.03004897,0.4291875,-1.5545805,-1.333343,-0.61079405,-0.1425212,0.06920475,0.4700012,0.6231069,0.5660706,0.853529,-14.55868,-14.59362
1,1.25,0.231694593,-18.52699843,1.0936037205,0.360273388,0.210522881,0.000364697,0.57707,0.514218,0.263812,0.2541195,379.0738317,2.068101,-14.4445,-15.4755,69.6855,72.965,94.859396,-3.189337,-2.8776,0,0,0,0,223.9685809,245.6456235,-20.45994598,-23.26617817,0,0,-12.82213873,-13.955303915,-2.477999,-1.269863,-0.5349463,0.04055605,0.4276655,-1.560266,-1.335874,-0.61079405,-0.143158,0.067982265,0.4700012,0.6237488,0.5660706,0.85331505,-14.68742,-14.780005
1,1.75,0.217856559,-19.03925198,0.634988441,0.38957454,0.25507194,0.000746104,0.586668,0.511697,0.258224,0.253791,378.69038425,2.068678,-14.451,-15.56,69.956,73.134,94.858136,-3.1888615,-2.8776,0,0,0,0,224.67677525,245.78747835,-21.546975775,-22.160537335,0,0,-12.3966763,-13.371566335,-2.508816,-1.2828345,-0.5375358,0.032210845,0.4245136,-1.5608975,-1.3415685,-0.61079405,-0.143158,0.06920475,0.4700012,0.6237488,0.5660706,0.85213825,-14.67833,-14.86522
1,2.25,0.224733409,-19.224687565,0.86972773,0.3502777815,0.24279439,0.003445538,0.589354,0.52515,0.252242,0.257244,378.814445,1.9848535,-14.4395,-15.38,70.009,73.3605,94.866776,-3.2002735,-2.86125,0,0,0,0,224.96082465,245.3665942,-21.11947972,-23.51649169,0,0,-12.53299507,-13.833357685,-2.4694915,-1.2757,-0.5591199,0.034676,0.4252151,-1.5608975,-1.342834,-0.61079405,-0.1418844,0.06856693,0.4700012,0.6231069,0.5660706,0.85342205,-14.567225,-14.892625
1,2.75,0.234412456,-15.78844177,0.815113262,0.345674643,0.243578435,-0.001213135,0.592613,0.515234,0.263001,0.247494,379.31181695,2.014493,-14.57,-15.315,69.976,73.1365,94.867376,-3.17,-2.8449,0,0,0,0,224.4621144,245.5104678,-21.06986458,-22.33789673,0,0,-12.70488439,-14.27548217,-2.492743,-1.2877895,-0.5443102,0.028217585,0.424939,-1.568478,-1.342834,-0.61079405,-0.1425212,0.06856693,0.4700012,0.6231069,0.5660706,0.8547058,-14.5399,-14.771625
1,3.25,0.238874033,-18.66999685,1.224889399,0.362898248,0.257725433,-4.89136e-05,0.602131,0.511159,0.265223,0.250104,377.9129556,2.091048,-14.4775,-15.24,69.88,73.117,94.868,-3.17,-2.86125,0,0,0,0,224.70616155,245.07125055,-22.21227688,-21.304306915,0,0,-12.97117052,-13.91344243,-2.46212,-1.287259,-0.5574721,0.03162761,0.42665675,-1.56911,-1.342834,-0.61079405,-0.143158,0.06920475,0.4700012,0.622465,0.5660706,0.85278015,-14.536735,-15.061115
1,3.75,0.230888444,-17.231646485,0.756421345,0.384142746,0.222881245,-0.001640732,0.592428,0.524183,0.257168,0.252077,378.6914287,2.06519,-14.605,-15.615,70.17,73.55,94.877612,-3.17,-2.86125,0,0,0,0,224.2466069,244.59018855,-23.289826075,-22.79489178,0,0,-13.32289017,-14.80847458,-2.481906,-1.279588,-0.55525125,0.02940721,0.4247079,-1.567215,-1.3422025,-0.61079405,-0.143158,0.06856693,0.4700012,0.6231069,0.5660706,0.8503196,-14.83507,-15.540575
1,4.25,0.237024539,-20.5372611,0.7455188915,0.449467554,0.2630487645,-0.0010878295,0.626656,0.550513,0.258742,0.253417,379.0826172,2.078188,-14.93,-15.5855,69.885,73.77,94.856732,-3.15415,-2.8776,0,0,0,0,224.411989,244.95014445,-22.786534395,-21.81298806,0,0,-13.29218208,-13.96155757,-2.519364,-1.269953,-0.5322429,0.02470792,0.4260308,-1.568478,-1.344729,-0.61079405,-0.143158,0.067929115,0.4700012,0.622465,0.5660706,0.84946375,-14.774495,-15.480705
1,4.75,0.232843878,-18.05027371,0.894768339,0.378011544,0.272199892,-0.0010756425,0.584006,0.497796,0.256648,0.252883,379.2755732,2.0552115,-15.03,-15.67,70.0035,73.282,94.848944,-3.166196,-2.8776,0,0,0,0,223.9483716,243.90468315,-22.58992078,-20.765796955,0,0,-13.244854115,-13.867226765,-2.494724,-1.2738675,-0.5419663,0.020112625,0.4165366,-1.5710045,-1.344729,-0.61079405,-0.143158,0.06856693,0.4700012,0.6237488,0.5660706,0.85096145,-14.943175,-15.4154
