DOY2,HR2,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS,G
2,1.25,101.2661,78.37,-26.8,-38.349,0,0,-8.2,-6.382,144.3,186,-26.39,-10.1125
2,1.75,101.2709,78.58,-26.66,-39.168,0,0,-8.33,-6.652,145.5,184.6,-26.45,-10.0825
2,2.25,101.2574,78.49,-26.44,-40.9,0,0,-8.3,-6.642,143.7,186.5,-26.24,-10.07
2,2.75,101.2709,78.92,-26.41,-38.703,0,0,-8.26,-6.544,144.4,185.4,-26.24,-9.784
2,3.25,101.279,78.53,-26.31,-39.119,0,0,-8.31,-6.337,145.4,185.3,-26.68,-9.5835
2,3.75,101.2351,78.27,-26.31,-39.716,0,0,-8.16,-6.498,144.8,184.6,-26.93,-9.611
2,4.25,101.207725,78.785,-26.5775,-39.215,0,0,-8.275,-6.513,144.45,183.325,-26.945,-9.62375
2,4.75,101.221625,78.735,-26.72,-39.608,0,0,-8.2525,-6.5865,141.325,182.675,-27.07,-9.66275
2,5.25,101.2162,78.69,-26.51,-39.342,0,0,-8.25,-6.497,141.3,184.3,-26.79,-9.65625
2,5.75,101.2168,78.67,-26.85,-40.098,0,0,-8.1,-6.49,142.4,183.4,-26.61,-9.64125
2,6.25,101.2458,78.65,-27.07,-42.416,0.004,0,-8.18,-6.576,142.5,184.3,-26.83,-9.62375
2,6.75,101.2407,78.65,-26.92,-46.744,0.012,0,-8.11,-6.426,142.3,184.9,-26.69,-9.5995
2,7.25,101.2274,78.47,-26.93,-41.971,0,0,-8.03,-6.495,143.7,183.5,-26.79,-9.58325
2,7.75,101.2215,78.37,-26.81,-43.304,0,0,-8.03,-6.335,143.7,184.3,-26.86,-9.573
2,8.25,101.2159,77.92,-26.59,-40.84,0,0,-8.05,-6.202,143.1,183.9,-26.96,-9.5355
2,8.75,101.2198,77.99,-26.97,-41.412,0.127,0,-8.06,-6.349,142.5,183.9,-26.79,-9.65275
2,9.25,101.2199,78.33,-27.09,-39.539,0.169,0.026,-7.851,-5.996,145.6,184.3,-26.76,-9.821
2,9.75,101.2344,78.33,-27.04,-41.295,2.698,3.232,-7.018,-5.386,145.7,184.4,-26.67,-10.04525
2,10.25,101.2521,77.88,-27.11,-40.569,6.829,6.745,-5.197,-3.774,144.9,182.1,-27.22,-10.195
2,10.75,101.2832,77.43,-27.12,-40.615,10.17,11.91,-1.979,-0.909,146.6,183.4,-26.84,-10.195
2,11.25,101.2655,77.24,-26.82,-43.64,18.44,22.85,4.448,5.038,145.6,185.1,-26.43,-10.19
2,11.75,101.282,77.37,-26.66,-48.96,29.82,38.33,11.83,13.34,146.1,185.9,-26.25,-10.1875
2,12.25,101.2851,76.77,-25.83,-50.11,41.41,52.52,19.29,20,146.5,185.9,-26.11,-9.89475
2,12.75,101.2973,76.79,-25.05,-47.2,50.62,60.95,25.8,24.56,146.8,186.4,-25.79,-9.72675
2,13.25,101.3183,76.6,-24.65,-40.06,56.83,66.31,29.62,25.45,147.6,186.8,-25.03,-9.81175
2,13.75,101.3251,76.84,-25.05,-36.62,60.4,67.54,34.29,29.05,149,185.8,-24.99,-9.9085
2,14.25,101.3339,77.58,-25.3,-33.46,57.44,66.7,31.4,30.14,149.7,186.4,-24.84,-9.90275
2,14.75,101.342525,77.61,-24.195,-32.5075,45.5925,58.815,24.41,21.8025,153.425,188.95,-24.31,-9.4305
2,15.25,101.32335,76.575,-25.315,-31.845,36.4725,51.0175,19.545,16.76,150.225,185.925,-24.98,-10.042875
2,15.75,101.328175,76.36,-25.745,-29.5825,23.53,34.9425,11.1925,9.5725,150.925,185,-25.23,-10.0701875
2,16.25,101.340725,77.205,-26.27,-32.3275,13.82,22.27,3.10075,2.5585,151.725,184.7,-25.7025,-10.074125
2,16.75,101.351475,77.6025,-26.61,-32.94125,8.0275,9.445,-2.5315,-1.9415,152.65,184.65,-26.2275,-10.2120625
2,17.25,101.372875,77.9925,-26.6525,-35.611,6.72675,6.736,-5.38125,-4.358,152.825,184.025,-26.3275,-10.1961875
2,17.75,101.368675,78.0675,-26.5525,-35.53625,4.179,1.15175,-6.53925,-5.67,153.2,185.425,-26.5625,-10.1438125
2,18.25,101.36525,78.6925,-26.5875,-35.11525,0.66575,0,-7.31175,-6.3295,152.775,185.525,-26.795,-10.091625
2,18.75,101.379625,78.465,-26.67,-35.12075,0.0665,0,-7.842,-6.38725,151.175,185.15,-26.93,-10.250375
2,19.25,101.39045,78.375,-26.6525,-34.577,0,0,-8.049,-6.5975,147.55,182.775,-27.12,-10.2445
2,19.75,101.392675,78.3725,-26.8925,-34.49375,0,0,-8.0475,-6.676,146.4,182.65,-26.8975,-10.2619375
2,20.25,101.3836,78.21,-26.85,-35.966,0.00975,0,-8.02725,-6.6765,146.825,184.525,-27.0025,-10.2668125
2,20.75,101.38265,77.985,-26.895,-38.176,0.015,0,-8.01975,-6.61825,145.35,183.375,-27.065,-10.224375
2,21.25,101.36275,78.2825,-27.1175,-36.34575,0.009,0,-7.9965,-6.60425,147.65,183.85,-27.35,-10.18375
2,21.75,101.351375,78.6475,-27.235,-36.6245,0.004,0,-7.94325,-6.52225,147.125,183.95,-27.13,-10.140625
2,22.25,101.35365,78.035,-27.1425,-35.92775,0.001,0,-7.7785,-6.65125,148.325,185.475,-27.0775,-10.1894375
2,22.75,101.338825,77.805,-27.2,-36.5145,0.001,0,-7.9355,-6.51275,147.175,185.775,-26.925,-10.2420625
2,23.25,101.319725,77.93,-26.9375,-37.87325,0.00375,0,-7.8645,-6.467,148.925,185.575,-26.7625,-10.1945625
2,23.75,101.319475,78.2325,-26.8775,-38.10425,0,0,-7.87475,-6.65425,148.675,185.675,-26.645,-10.150375
3,0.25,101.02575,78.1625,-26.155,-38.51975,0,0,-8.345,-6.8895,144.875,176.95,-28.5425,-9.6406875
3,0.75,101.040475,78.1,-26.2775,-39.27425,0,0,-7.9925,-6.7245,144.425,179.325,-28.1625,-9.85675
3,1.25,101.0599,78.35,-26.34,-39.2705,0,0,-8.0775,-6.7035,144.875,179.2,-28.445,-9.9398125
3,1.75,101.087025,78.245,-26.73,-38.45325,0,0,-8.01575,-6.8285,143.75,177.9,-28.665,-9.9305625
3,2.25,101.1124,78.2875,-27.12,-38.874,0,0,-7.83075,-6.744,143.275,178.8,-28.2925,-9.97625
3,2.75,101.12115,78.5475,-27.075,-38.33375,0,0,-7.98675,-6.68575,142.975,176.525,-28.525,-10.0224375
3,3.25,101.12445,78.455,-27.025,-37.165,0,0,-8.04,-6.60475,144.675,175.9,-28.58,-10.066625
3,3.75,101.1238,78.355,-27.1775,-37.33625,0,0,-7.952,-6.631,145.275,176.325,-28.515,-10.0588125
3,4.25,101.12275,78.51,-26.805,-35.74975,0,0,-7.99875,-6.4695,145.175,177.6,-28.6525,-10.052375
3,4.75,101.116,78.55,-26.2675,-35.7745,0,0,-8.045,-6.52525,144.175,179.05,-28.2625,-9.9905625
3,5.25,101.1116,78.395,-26.96,-34.0665,0,0,-8.035,-6.667,142,177.85,-28.6925,-9.9194375
3,5.75,101.1159,78.0125,-27.2425,-34.23875,0,0,-8.1075,-6.859,143.55,176.8,-28.635,-9.9293125
3,6.25,101.12845,78.2625,-27.1525,-34.49325,0,0,-7.91275,-6.72925,143.625,176.45,-28.4675,-10.026125
3,6.75,101.1474,78.1925,-26.985,-35.99,0,0,-7.62125,-6.57775,141.225,175.575,-28.9,-10.0064375
3,7.25,101.14665,78.225,-27.045,-36.141,0.01075,0,-7.39025,-6.36275,142.525,175.025,-29.1475,-10.020125
3,7.75,101.153475,78.1275,-27.2725,-35.5775,2.523,0.4315,-6.48125,-5.35225,144.325,175.1,-29.2225,-10.0236875
3,8.25,101.1664,77.6375,-27.2925,-33.699,6.99275,7.988,-2.554,-2.03625,143.575,175.7,-29.095,-10.033875
3,8.75,101.18195,77.22,-27.1025,-33.63075,22.8625,25.545,7.2065,7.37625,142.25,176.5,-28.8975,-10.0968125
3,9.25,101.17855,76.555,-26.805,-39.6625,53.7675,54.2575,25.3825,26.5025,143.5,176.825,-28.5325,-10.1818125
3,9.75,101.18655,75.6925,-26.5175,-44.69,88.35,90.275,48.04,49.0875,143.075,180.075,-28.075,-10.129375
3,10.25,101.211125,75.11,-25.685,-41.1975,125.65,139.65,77.7975,70.225,143.525,181.5,-27.64,-10.143875
3,10.75,101.240125,74.83,-24.755,-41.565,165.75,195.925,107.75,99.575,143.45,183.2,-26.365,-10.155
