DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1
1,7.25,0.420657,0.82125,3.028852469,1.01046913875,0.993258,0.02665,-11.8985,11.5737,0.1170842575,-1.00700858,0.178,0.079,0.0825,82.96809023,86.3259275,412.26027975,-14.375,0.685,0,0.8267835,289.7,312.375,6.049701212,0.02777425,1.213132309,0.984230156,0.474147656,0.771,0.6820204515,-0.2,0,0.9,2.75,4.525,8,-0.1,0.3,1.1,2.9,5,8.4
1,7.75,0.408683,0.832,3.02827,0.779288778,0.782744,0.0261659725,-11.20175,13.70565,0.1412125885,-1.3501705725,0.201,0.088,0.053,83.73767251,86.324345,412.37039825,-12.856,1.288,0,0.963,288.6,312.3,6.127684983,0.0146512,1.202426713,1.017246283,0.479173246,0.63,0.66612442175,-0.2,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,5,8.4
1,8.25,0.41779775,1.026,2.94631,0.79819238875,0.798387,0.01901944425,-11.481436735,14.4066,0.098238997,-0.9381006935,0.19475,0.0665,0.05275,84.73879408,86.336755,412.168749,-12.1065,14.91,4.629,2.715,290.4,312.3,6.0436693655,0.0165531,1.270358217,1.078990269,0.478409866,0.758,0.682252153,-0.2,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.9875,8.4
1,8.75,0.37759325,0.9635,2.8470291135,0.733173139,0.7415465,0.019133333,-8.845125,14.85225,0.152216352,0.37265045375,0.183,0.062,0.0435,84.2332297725,86.34315,411.98354545,-1.62938125,65.335,25.217935,9.815,290.975,313.575,6.061104264,0.0136614575,1.159379144,1.029514449,0.479695737,0.851,0.593381863,-0.2,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.9875,8.4
1,9.25,0.38459875,1.5765,3.0329828195,0.4340085,0.4635135,0.0077444445,-3.85553,18.1542,0.344727406,1.439286012,0.19475,-0.00875,0.029,82.39753159,86.3887,412.0968912,18.38,219.775,98.8,28.30091,290.6,315.75,6.07907487975,0.002498251,1.2332611685,1.0836057115,0.472591166,1.1885,0.545221691,-0.2,0,0.9,2.7125,4.6,8,-0.1,0.3,1.1,2.9,5,8.4
1,9.75,0.400767454,2.278,2.88911,0.151913889,0.185335,0.00409999975,14.32835,19.8015,0.31833722925,4.17273390575,0.185,-0.0745,0.0355,79.64539191,86.398825,412.0897194,56.5,406.35,184.5,45.12,292.5,318.8,6.20691671375,-0.003129279,1.23795304175,1.0801115805,0.4823828945,1.745,0.448192468,-0.2,0,0.9,2.7,4.5,8,-0.1,0.25,1.1,2.9,5,8.4
1,10.25,0.3978774975,2.585,3.33258,0.07398204725,0.09602185,0.00788680525,27.495615025,23.64575,0.27065513675,9.83250009775,0.2155,-0.043,0.0765,78.6407945375,86.39465,412.06137645,99.58,549.2,240.05,63.2475,290.125,321.675,6.1188055965,-0.01173275,1.2839089235,1.0935571295,0.49102767675,2.152513,0.45468880025,-0.2,0,0.9,2.7,4.5,8,-0.1125,0.2875,1.1,2.9,4.9875,8.4
1,10.75,0.400549,2.97725,3.34059268125,-0.085462039,-0.0734384,0.0080291665,39.431275,28.80395,0.309203449,14.3766536775,0.272,-0.032,0.132,78.9486252075,86.4059625,411.8875173,135.184435,673.8,295.675,80.01,290.1542,324.8,6.217127098,-0.0127804,1.3233260395,1.15729181325,0.526857122,2.625,0.4555824815,-0.2,0,0.9,2.7,4.5,8,-0.1,0.2125,1.1,2.9,4.925,8.4
1,11.25,0.410731,3.226,3.4053986725,-0.2133593055,-0.197341,0.002505556,48.3121,32.0625,0.28317002275,15.903424655,0.342,-0.016,0.19925,77.8350435775,86.4208,411.9656472,172.385,784.2,349.45,94.3,289.725,327.675,6.212512845,-0.01754769225,1.365078752,1.144325129,0.54212268,2.7695,0.5216352835,-0.2,0,0.9,2.7,4.5,8,-0.15,0.2125,1.1,2.9,4.925,8.4
1,11.75,0.4190605,3.6555,3.511725,-0.118879722,-0.1047535,0.0040430555,58.818075,36.9499,0.2266777425,13.266232475,0.4465,0.0265,0.22725,76.74111367,86.4003,412.28404,203.5725,880,390.125,98.075,291.6,330.5,6.26887857675,-0.0176568,1.41530362025,1.18378308525,0.524836702,3.409,0.53054907825,-0.2,0,0.9,2.7,4.5,8,-0.1,0.225,1.1,2.9,4.95,8.4
1,12.25,0.46782975,3.94875,3.698845,-0.1907867945,-0.159628,0.00768749975,61.77845,37.490525,0.311210426,14.5623956475,0.5585,0.0335,0.32025,76.7624601025,86.3588,411.93558,218.475,919,416.475,98.125,293.225,332.525,6.332387345,-0.0284567,1.374106983,1.168687298,0.548462396,3.5675,0.532961537,-0.2,0,0.9,2.7,4.5,8,-0.1,0.2125,1.1,2.9,4.925,8.4
1,12.75,0.436665,4.0735,3.544995,-0.218935111,-0.20143875,0.00236319475,63.97,37.95115,0.257232663,18.15973059,0.6555,0.103,0.434,77.5217364625,86.346525,411.985308975,234.3775,924,429.95,105.275,291.925,332.975,6.4656032565,-0.0255146,1.401356486,1.206494923,0.5558498,3.7795,0.53182578275,-0.2,0,0.9,2.7,4.5,8,-0.1,0.2,1.1,2.9,4.975,8.4
1,13.25,0.453065,4.18,3.76803,-0.121161472,-0.093641825,0.01107569425,66.22585,39.97325,0.26263821625,16.7683262925,0.754,0.149,0.467,76.894928975,86.32255,411.869494875,234.320175,923,424.65,98.5,293.75,333.72025,6.42407883275,-0.02979986,1.368714726,1.204188523,0.53424339,3.8195,0.541741636,-0.2,0,0.9,2.7,4.5,8,-0.1,0.2,1.1,2.9,4.9,8.4
1,13.75,0.457445607,4.243,3.7149725,-0.11451238875,-0.104579,0.0164569445,61.3263,40.1567,0.1881397015,19.15778442,0.939,0.231,0.583,78.258356335,86.308675,411.777606125,228.135,909,416.8,94.2,293.95,334.07845,6.549742184,-0.0279729,1.356786645,1.177314741,0.525892575,3.831,0.53091488675,-0.2,0,0.9,2.7,4.5,8,-0.1,0.2,1.1,2.9,4.9,8.4
1,14.25,0.43728,4.3165,3.5831,-0.0633054,-0.075415075,0.0105347225,54.6465,36.546275,0.170872688,22.65551908,1.1635,0.2995,0.641,77.548669585,86.28825,411.83560185,204.3525,836,386.5,82.55,293.35,334.325,6.50470709975,-0.028768325,1.333847817,1.165452702,0.503903761,3.87175,0.522743785,-0.2,0,0.9,2.7,4.5,8,-0.1,0.2,1.1,2.9,4.9,8.4
1,14.75,0.420543,4.30325,3.50262,-0.132653778,-0.050301,0.015261111,50.1273,38.320825,0.171739497,11.757018265,1.349,0.37075,0.68425,76.89611633,86.27902,412.3787228,177,741.4,346.4,71.2425,294.825,332.4,6.5232070215,-0.021935025,1.31177734125,1.1488667925,0.50527821375,4.04075,0.4522760495,-0.2,0,0.9,2.7,4.5,8,-0.1,0.2,1.1,2.9,4.9,8.4
1,15.25,0.421229,4.0535,3.49277,-0.017206467,-0.0112828,0.02522638875,35.27935,30.971625,0.157941585,3.31574706475,1.21075,0.37425,0.654,76.90089412,86.26045,412.5479281,136.2325,625.275,291.35,55.5325,293.8,330.025,6.641869058,-0.02182345,1.26337844225,1.11505444875,0.4867735615,3.67125,0.3982045415,-0.2,0,0.9,2.7,4.5,8,-0.1,0.2,1.1,2.9,4.9,8.35
1,15.75,0.3671685,3.779,3.04908,0.1169517335,0.107407075,0.03624513925,24.588875,27.334675,0.14197026225,-0.418,0.921,0.388,0.576,77.93823917,86.257425,412.88778735,90.565,470.4,225.75,43.58,295.6,327.19315,6.816691885,-0.021953225,1.2396801415,1.029911151,0.453766312,3.465,0.357977653,-0.1625,0,0.9,2.7,4.5,8,-0.1,0.2375,1.1,2.9,4.9,8.3875
1,16.25,0.370528,3.5425,2.99636,0.213528978,0.210379,0.03547638875,14.4137,22.818075,0.135100808,-0.295670808,0.798,0.403,0.499,78.882361395,86.267,412.822199175,51.26,331.225,161.375,29.9125,296.7,324.45,6.691057803,-0.012671375,1.170609098,0.9838877495,0.4374085665,3.21546425,0.3588337115,-0.2,0,0.9,2.7,4.5,8,-0.1,0.25,1.1,2.9,4.9,8.4
1,16.75,0.360898,3.0145,2.912965,0.460198222,0.42577675,0.055691667,4.1692225,18.79165,0.121900735,0.17123712725,0.725,0.401,0.413,80.90404921,86.2827,413.21922335,11.372,166.975,75.115,14.965,295.7,322,6.5945360445,-0.00635644,1.1648306065,0.9766320485,0.4457469405,2.765,0.436642875,-0.15,0,0.9,2.7,4.5,8,-0.1,0.275,1.1,2.9,4.95,8.375
1,17.25,0.374806,2.5245,2.784685,0.78067061125,0.756341,0.0681625,-5.9253313555,16.201725,0.114577423,-1.17312738175,0.604,0.38425,0.3135,83.1010176,86.3106,413.2042099,-7.77775,56.34,21.3925,5.47475,295.475,319.375,6.557106316,0.0080979275,1.095719398,0.95515192,0.41765311175,2.21425,0.521993679,-0.15,0,0.9,2.7,4.5,8,-0.1,0.2875,1.1,2.9,4.9375,8.4
1,17.75,0.342891013,2.28375,2.39204,0.9202135275,0.907715,0.0697,-7.15136,11.5194,0.0188764985,-1.673566948,0.525,0.3435,0.27175,84.4929988825,86.3044,413.19168,-14.94475,10.94,2.250769,1.58415525,296.2,317.625,6.4387489055,0.018395675,1.002955632,0.923476042,0.377933857,1.8,0.5571949625,-0.15,0,0.9,2.7,4.5,8,-0.1,0.3,1.1,2.9,4.9625,8.3625
