DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_2_1_1,G_3_1_1,NETRAD
3,13.25,0.198235273882776,-0.0204341743001321,11.1392524373567,-0.101183307113748,0.167831564830499,-1.22596882012584,1.24956603623561,0.52899360754522,416.562280430688,2.9771847062738,422.568339027181,2.46281044592297,419.31689524671,422.530895036536,2.51711020062739,420.012148027954,422.744726007065,2.50450858324827,419.557269735,423.271899463957,2.71236961804651,419.740626781288,3.05574157675638,-4.17814017423376,0.202652025210213,3,2.77,-4.9861,-5.375,-4.94325,-4.50465,-4.3346,93.003615,53.23,1.6678,-5.12,-4.8,-2.79,172.1,339.51,317,245.95,250,287.4,278.4,297.9,701.84,685.05,685.11,653.89,586.46,56.38,37.88,24.47,-3.518,-3.07,-3.219,-2.755,-2.299,-1.776,-0.007,-0.078,-3.932,-6.667,-3.049,-2.397,-1.787,-0.974,-0.0785,-0.196,-1.409,-2.979,-2.458,-2.2,-1.828,-0.909,-1.0175,0.2,-0.046,-3.445,-3.107,-2.518,-1.908,-1.364,-0.268,-0.03,-0.2025,-3.649,-3.245,-2.8545,-2.105,-1.606,-1.2605,-0.431,-0.2345,-0.07,-0.544,-5.8135,53.9
3,13.75,0.212780232736833,-0.0146460951159437,19.5151596049722,0.0439661298952002,0.175257690666572,-1.39107240715416,1.13967122579558,0.595179578271543,417.146104013299,3.17389076496218,422.942439198555,2.4443562268889,419.222343388538,422.814463450374,2.54530972029068,420.016079234323,423.161723179235,2.48057008784412,419.372867036667,423.267810419006,2.77508717124684,419.989974616103,3.07012497946583,-4.1058756888637,0.202884165561289,2.96,2.795,-5.11665,-5.538,-4.82895,-4.4288,-4.3822,93.00364,53.11,1.79495,-5.55,-5,-2.56,166.5,345.82,325.3,239.76,247.9,287.4,276.3,299,699.26,690.44,693.49,653.91,571.55,56.18,38.11,23.79,-3.754,-2.913,-3.118,-2.737,-2.282,-1.764,-0.007,-0.078,-3.92,-6.568,-3.042,-2.389,-1.785,-0.974,-0.079,-0.1965,-1.407,-2.973,-2.451,-2.197,-1.824,-0.9065,-1.035,0.2,-0.046,-3.441,-3.076,-2.519,-1.905,-1.363,-0.268,-0.03,-0.195,-3.606,-3.246,-2.888,-2.142,-1.58,-1.258,-0.437,-0.234,-0.07,-0.519,-5.364,52.34
3,14.25,0.176533437576926,-0.0133853697188846,8.91983546794339,-0.300809310825417,0.153687561678894,-0.676783372693831,0.589596477644019,0.565893127022783,417.111380267985,3.01987256513835,422.536124451024,2.53741882385755,419.857328336066,422.448904932264,2.44806997668897,420.212519923904,422.630468115983,2.52545545210412,419.968397493642,422.997698054314,2.6842331510164,420.399567176991,2.78754363026497,-4.12772947051599,0.170195459371142,2.72,2.37,-5.5368,-5.544,-4.9299,-4.5398,-4.14035,93.00729,53.105,1.7424,-5.71,-5.11,-2.53,162.45,322.795,305.2,226.83,249.45,285.75,278.25,300,683.605,663.78,663.395,635.585,543.945,53.015,34.83,21.735,-3.73,-2.8655,-2.991,-2.837,-2.305,-1.767,-0.007,-0.078,-3.948,-6.6625,-3.058,-2.4125,-1.786,-0.993,-0.073,-0.197,-1.407,-2.9495,-2.465,-2.1955,-1.8295,-0.904,-1.016,0.2,0.0075,-3.44,-3.1385,-2.591,-1.93,-1.3725,-0.267,-0.029,-0.1945,-3.5405,-3.284,-2.907,-2.172,-1.5875,-1.2555,-0.442,-0.2345,-0.07,-0.585,-5.493,51.52
3,14.75,0.206604732728766,-0.0105639540571794,8.26335624170637,-0.248551736714252,0.163155247992952,-1.93454616436047,0.461549252966117,0.575707937649101,416.949270466216,3.08398696440225,422.682790735064,2.46808773086392,419.56851227907,422.884835515088,2.51937527525339,420.122597570957,422.538518451537,2.42033640412145,419.877805198676,423.045122059306,2.56311011667862,420.45155787013,2.91602372091586,-4.02353515523964,0.165018687292441,3.04,2.44,-5.3434,-5.4525,-4.8477,-4.326,-4.21365,92.99943,52.75,1.7293,-5.495,-5.145,-2.45,162.25,320.46,296.25,210.305,250.9,286.25,279.45,300.7,644.085,619.92,624.205,591.94,501.585,50.965,32.845,20.035,-3.6065,-2.887,-2.945,-2.8175,-2.291,-1.764,-0.192,-0.073,-3.9335,-6.618,-3.051,-2.413,-1.785,-0.9935,-0.073,-0.1975,-1.4075,-2.9535,-2.4535,-2.1965,-1.827,-0.9015,-1.033,0.2005,0.0075,-3.428,-3.138,-2.5605,-1.923,-1.3665,-0.267,-0.0295,-0.1945,-3.5215,-3.2395,-2.872,-2.14,-1.5725,-1.2255,-0.441,-0.233,-0.07,-0.574,-5.4085,45.545
3,15.25,0.226511140041693,-0.00774253839547417,19.2288217114038,-0.196294162603087,0.178278123093611,-1.92261788241349,-0.256315900700317,0.600707564084217,417.23045272154,3.05056539476989,423.225897103643,2.5347880049333,419.699322045604,423.159620325048,2.54281440850453,419.963360631111,423.189873750107,2.55836392513715,419.812734069054,423.336558492819,2.71048151818577,420.004083862069,3.47207545941084,-4.28676599046301,0.180081170260102,3.11,2.75,-4.9682,-5.4515,-4.7896,-4.459,-4.5911,92.982145,52.225,1.7674,-5.325,-5.095,-2.595,154.5,267.84,245.85,184.265,252.9,285.8,279.15,300,550.84,545.515,547.605,510.655,445.43,43.16,27.5,17.01,-3.514,-2.8625,-2.902,-2.7985,-2.278,-1.7605,-0.1915,-0.079,-3.907,-6.578,-3.0435,-2.411,-1.784,-1.015,-0.075,-0.1975,-1.408,-2.9385,-2.451,-2.195,-1.8245,-0.899,-0.997,0.2,0.0075,-3.4135,-3.123,-2.5755,-1.9205,-1.357,-0.2665,-0.0295,-0.2025,-3.5005,-3.2175,-2.8645,-2.1145,-1.559,-1.2235,-0.4375,-0.232,-0.07,-0.5625,-5.445,36.395
3,15.75,0.208992468052762,-0.00492112273376895,13.83778415624,-0.144036588491922,0.165014018751218,-3.2257309983606,-0.74736822566182,0.604543593166834,416.844902841791,2.98265061246602,422.509665932832,2.48660443236539,419.557342536585,422.584015911429,2.4682418655857,420.069685887097,422.612956204274,2.49927009882637,419.631599996045,423.144575019338,2.54319075147316,419.907112109785,3.14721667760645,-4.15345990489328,0.186521234345262,2.84,2.48,-5.1892,-5.434,-4.6465,-4.3862,-4.60265,92.99142,51.7,1.92735,-5.635,-5.345,-2.52,129.75,230.215,207.2,161.63,250.1,285.15,279.45,299.55,470.27,459.285,454.13,432.315,379.725,35.29,22.02,15.215,-3.5125,-2.8715,-2.8765,-2.77,-2.2685,-1.756,-0.1915,-0.087,-3.871,-6.584,-3.025,-2.4095,-1.7835,-1.017,-0.075,-0.1975,-1.4095,-2.927,-2.4475,-2.1865,-1.8225,-0.8965,-0.994,0.2,0.061,-3.3985,-3.111,-2.5565,-1.9155,-1.3515,-0.267,-0.029,-0.2025,-3.49,-3.197,-2.855,-2.135,-1.55,-1.221,-0.44,-0.233,-0.07,-0.526,-5.7455,30.94
3,16.25,0.20204301889026,-0.0130012638429066,6.72034635552644,-0.213235199478848,0.17431093437156,-4.90236956372247,-0.888021014026253,0.589892670627382,416.491119758203,3.08589243370452,422.466331341088,2.49635364938517,419.588330957818,422.571832474386,2.50201592180375,419.984408880936,422.531812118174,2.52394636842445,419.633582915556,423.143433858136,2.5423254238416,420.027505824503,3.18921806819982,-4.11873646910979,0.20934967652373,2.875,2.51,-5.3624,-5.4665,-4.8675,-4.62095,-4.963,92.97941,52.495,1.8363,-6.135,-5.785,-2.655,108.7,189.055,172.4,129.59,248.4,283.25,278,299.35,383.365,385.525,388.89,342.185,300.765,28.17,19.325,12.24,-3.709,-2.901,-2.8675,-2.7495,-2.26,-1.752,-0.007,-0.095,-3.8415,-6.6025,-2.996,-2.4075,-1.782,-1.018,-0.075,-0.1975,-1.416,-2.917,-2.478,-2.1815,-1.8195,-0.895,-1.007,0.2,0.065,-3.38,-3.109,-2.54,-1.937,-1.341,-0.281,-0.0295,-0.2025,-3.4885,-3.161,-2.847,-2.1465,-1.541,-1.236,-0.44,-0.232,-0.07,-0.539,-5.739,18.765
3,16.75,0.201502188484617,0.00375340845024811,8.70442821766381,-0.0992082572824226,0.148884841239435,-5.21659052373815,-0.835273270268011,0.519112738280967,416.465624613661,3.2050800740925,422.34084903779,2.52272261812477,419.694519024835,422.529926483318,2.53017116358681,420.154039672797,422.731016398089,2.58372576826594,419.619869467532,423.137912462952,2.59870268657069,419.949916603339,2.97369668163362,-4.18837223564389,0.186908936636349,2.835,2.48,-5.3094,-5.61,-5.12995,-4.7761,-5.6174,92.96759,53.525,1.8118,-6.68,-6.09,-2.9,87.4,143.21,130.4,96.36,247.15,281.75,276.9,298.55,288.48,286.61,280.485,256.405,229.18,21.89,14.65,8.99,-4.057,-2.966,-2.841,-2.728,-2.2505,-1.7475,-0.007,-0.088,-3.811,-6.6255,-2.978,-2.406,-1.7815,-0.998,-0.074,-0.198,-1.4205,-2.9065,-2.4545,-2.185,-1.817,-0.8935,-1.041,0.2015,0.065,-3.3615,-3.1115,-2.5115,-1.946,-1.3355,-0.281,-0.03,-0.2025,-3.445,-3.1255,-2.842,-2.165,-1.537,-1.243,-0.4405,-0.232,-0.07,-0.483,-5.747,7.575
3,17.25,0.195140157434484,0.0211168751777913,6.99131481741892,0.00729016945932304,0.14339491640574,-6.87831807813277,-1.47519358994438,0.509203626259419,416.689700851775,3.14821324150032,422.448149553714,2.426071112659,419.69812183871,423.05562559979,2.4472866207938,420.020771364238,422.853261293634,2.52278729964412,419.954032625732,423.665933242307,2.53727320186589,420.209492168186,2.89915361446554,-4.31808164513257,0.225167178080535,2.555,2.27,-5.87205,-6.152,-5.51685,-5.2072,-6.3866,92.97694,56.08,1.6213,-6.87,-6.31,-3.01,64.85,102.68,92.8,66.98,245.85,279.85,275.8,297.8,211.88,205.61,205.5,189.24,156.66,14.98,9.425,5.975,-4.6465,-3.0675,-2.8425,-2.7075,-2.243,-1.7445,-0.007,-0.0885,-3.7895,-6.6315,-2.968,-2.4065,-1.7805,-0.9975,-0.0735,-0.191,-1.4195,-2.887,-2.4415,-2.1855,-1.814,-0.892,-1.053,0.201,0.0625,-3.365,-3.105,-2.4885,-1.956,-1.347,-0.274,-0.0295,-0.2025,-3.4285,-3.1315,-2.828,-2.151,-1.5245,-1.2405,-0.441,-0.232,-0.07,-0.566,-5.461,-4.005
3,17.75,0.161321099738182,0.00920166364219632,4.31558315844384,0.023282987826433,0.132530099474663,-8.07868978684614,-2.3084296004731,0.557011931292879,416.64605348362,3.41334143480579,422.520055240509,2.4294599141467,419.309370711023,422.470608159908,2.4572340150627,419.951795808621,422.539852305885,2.47386711109332,419.717420075862,423.265087550608,2.51387522768522,419.921377459016,2.95560109314432,-4.40347569280036,0.231276572639778,2.525,2.23,-6.00545,-6.369,-6.0014,-5.3835,-7.08175,92.975335,58.49,1.607,-6.995,-6.595,-3.37,48,69.485,65.5,39.06,246.6,277.95,274.6,296.25,138.005,138.305,134.895,124.455,93.42,9.13,6.12,3.62,-4.67,-3.068,-2.885,-2.7305,-2.2385,-1.7425,-0.008,-0.089,-3.7645,-6.655,-2.9665,-2.4065,-1.78,-0.9975,-0.0735,-0.191,-1.417,-2.863,-2.4315,-2.181,-1.811,-0.8905,-1.0375,0.2005,0.06,-3.352,-3.0975,-2.461,-1.9355,-1.346,-0.268,-0.03,-0.195,-3.457,-3.123,-2.838,-2.1335,-1.5245,-1.228,-0.44,-0.234,-0.07,-0.503,-6.044,-11.72
