DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_9_1,G_1_1_1,G_2_1_1,NETRAD
1,0.25,0.156159737224289,-0.0185109800050006,0.651359502235144,-0.161214172884885,0.120753867953653,-5.97414829923101,-0.088559052870664,0.520928234922836,415.621406692414,4.25554300400275,406.552422283898,3.65384762735882,416.937764889532,405.976691514377,3.56439465008298,416.847737754098,406.870047264841,3.61475446161738,416.813526796249,407.9042361865,3.62690053155114,417.80801958398,1.780490615439,-2.26564811161336,0.37516205390885,1.56,1.43,0.665,-2.61865,-3.0995,-2.9323,-3.33905,-5.0429,82.244935,76.52,1.2031,-5.18,-3.085,-3.31,0.55,-3.11,1.4,0.335,224,293.15,224.1,293.1,-0.035,-0.02,0.075,0.11,0.13,0.05,-0.075,-0.195,-0.8245,-0.0555,0.7325,1.148,1.9745,4.108,5.4745,8.7225,9.9585,-0.9375,0.0155,0.544,1.968,2.78,3.674,5.416,8.6575,9.5595,-1.2715,-0.333,0.155,0.9615,1.6005,3.2095,4.2125,7.981,8.826,-1.193,-0.2915,0.2865,0.8165,1.476,2.787,4.7255,8.074,9.5555,-1.194,-0.8365,-0.1745,0.552,0.988,3.1,4.9825,10.135,-8.657,-8.8615,-49.66
1,0.75,0.131700890084145,-0.0100504510935535,1.80360751320367,0.0497080611165392,0.106328233835296,-4.42078343415049,-1.06562010022664,0.593357011439093,415.463106643945,4.21792059376302,406.494790349508,3.49474670379807,416.803803752336,406.594340019239,3.57148588200952,416.707003457048,407.360845243402,3.56963327514746,416.913610068464,408.381690246817,3.59367046886732,417.856039053492,1.61170579076383,-2.27868718725244,0.365177668085461,1.5,1.37,0.69,-2.8602,-3.3495,-3.10195,-3.66685,-5.47335,82.24706,76.97,1.2034,-5.065,-3.17,-3.37,0.6,-2.915,1.35,0.465,225,292.85,225.2,292.85,-0.03,0.005,0.07,0.115,0.13,0.05,-0.085,-0.19,-0.88,-0.09,0.7115,1.145,1.972,4.1125,5.4695,8.714,9.9565,-1.0245,-0.0025,0.542,1.938,2.773,3.672,5.4165,8.657,9.558,-1.374,-0.386,0.1485,0.9575,1.6015,3.2085,4.2095,7.979,8.8245,-1.282,-0.376,0.2855,0.815,1.473,2.7895,4.7245,8.0725,9.5535,-1.281,-0.9175,-0.1905,0.549,0.9875,3.1025,4.98,10.1345,-9.034,-9.5305,-54.805
1,1.25,0.0903058688755916,0.0166616911475472,2.95585552417219,-0.201223590465255,0.115082130161607,-9.70364474023345,-0.620657032685919,0.496372310430954,415.273615817235,4.2724382261325,406.009328765624,3.46969721553126,416.872829240132,406.072003300328,3.58247660373953,416.697791546774,407.096473556633,3.68479569303633,417.084687454936,409.103103138585,3.66251509875586,418.040670711409,1.57992349161507,-2.25172228535007,0.390287719290251,1.47,1.31,0.7,-2.9342,-3.5135,-3.29875,-3.99225,-5.2787,82.22882,77.665,1.1801,-5.05,-3.355,-3.45,0.55,-2.71,1.3,0.43,226.35,292.3,228.15,292.6,-0.04,0.015,0.075,0.16,0.12,0.05,-0.07,-0.19,-0.8925,-0.114,0.7085,1.1425,1.9735,4.117,5.468,8.708,9.9385,-1.079,-0.0515,0.5325,1.9095,2.764,3.671,5.4165,8.6565,9.5565,-1.4315,-0.4335,0.123,0.9515,1.602,3.2105,4.207,7.977,8.823,-1.3345,-0.4295,0.285,0.811,1.475,2.7925,4.7235,8.071,9.5525,-1.367,-1.0135,-0.225,0.554,0.987,3.102,4.9775,10.1335,-9.5165,-11.448,-50.93
1,1.75,0.100983469449081,0.0125445859512962,-0.677984826470196,-0.252396242599011,0.115781131854006,-8.20363257874739,-0.886518013691475,0.486933641849311,416.299121403508,4.31696705355614,406.43498128235,3.58857197991659,416.623902021739,406.80865061188,3.55575430227154,416.835063207493,407.877649582351,3.58141689915425,417.024718329932,408.252373794652,3.54439507557558,417.641447318328,1.34005985927331,-2.82339350587796,0.378131137865112,1.36,1.28,0.63,-3.26745,-3.7105,-3.334,-3.91565,-5.5969,82.20401,78.12,1.1242,-5.35,-3.425,-3.78,0.5,-2.245,1.3,0.45,226.05,290.2,225.8,291.65,-0.015,-0.025,0.085,0.155,0.13,0.05,-0.09,-0.195,-0.9655,-0.153,0.706,1.14,1.976,4.1165,5.4665,8.69,9.9355,-1.156,-0.0925,0.521,1.8845,2.7535,3.6705,5.4155,8.6555,9.5555,-1.517,-0.4915,0.1075,0.9455,1.6015,3.213,4.2055,7.9755,8.822,-1.37,-0.464,0.2835,0.8055,1.4745,2.796,4.722,8.07,9.551,-1.3775,-1.0965,-0.242,0.553,0.988,3.1025,4.9755,10.1335,-9.4715,-13.037,-44.445
1,2.25,0.12887802701036,0.00491313392877017,0.879695549534868,-0.252344630464505,0.125443541247352,-6.28022017954351,0.0545927040097164,0.514003442103278,415.748482288436,4.37217943295178,406.128531500584,3.29406967707559,416.769013362069,406.487405103442,3.38929947586946,416.760633240506,406.329216884366,3.3005241963046,417.227596991497,407.702363428186,3.42655291831163,417.80764004934,1.47522870337101,-3.05737900782975,0.420190612392854,1.42,1.285,0.68,-3.4467,-4.1295,-3.8579,-4.2066,-6.1991,82.22012,78.03,1.13,-5.385,-3.54,-3.885,0.5,-2.76,1.3,0.515,224.05,289.15,226.05,290.35,-0.005,0.015,0.06,0.115,0.12,0.045,-0.075,-0.195,-1.0795,-0.193,0.678,1.137,1.9775,4.115,5.466,8.686,9.9325,-1.2465,-0.155,0.5075,1.8655,2.7405,3.669,5.4155,8.6555,9.5545,-1.613,-0.5945,0.0985,0.9375,1.6015,3.216,4.2015,7.974,8.821,-1.4485,-0.504,0.268,0.8,1.4745,2.7975,4.7225,8.0685,9.55,-1.384,-1.1405,-0.251,0.5545,0.992,3.102,4.973,10.1325,-10.284,-12.8035,-56.3
1,2.75,0.156772584571639,0.00970036700323447,2.43737592553993,0.0779691905789541,0.107352590486621,-7.58451100871257,-0.104790825442654,0.466609405513871,415.518442060855,4.30931592370805,405.992977444646,3.56814699320097,416.79722572093,407.060472487529,3.57291529405016,416.86085731457,408.258010856681,3.46139379129964,417.02040170896,408.676807654857,3.46243549479335,418.183945258741,1.83762142295186,-3.29120792562159,0.377699994141646,1.58,1.375,0.67,-3.57835,-4.522,-4.0334,-4.2067,-5.7547,82.225425,78.36,1.0769,-5.365,-3.72,-4.04,0.45,-2.82,1.35,0.53,225.35,288.85,229.2,289.25,-0.01,0.02,0.07,0.12,0.13,0.05,-0.075,-0.195,-1.152,-0.2335,0.623,1.1335,1.9775,4.1155,5.4645,8.703,9.9305,-1.276,-0.2375,0.4875,1.8615,2.727,3.6685,5.416,8.6545,9.554,-1.719,-0.6295,0.0885,0.9305,1.6005,3.2185,4.2,7.972,8.819,-1.536,-0.5455,0.2375,0.795,1.474,2.7995,4.722,8.067,9.5485,-1.4715,-1.242,-0.264,0.553,0.995,3.1025,4.9705,10.132,-10.092,-13.281,-54.46
1,3.25,0.136494303906347,-0.00116154302982568,3.44295034022009,-0.238051199192373,0.134413163976966,-8.44328774733111,-0.0662318353537861,0.552499887322947,416.241134037106,4.33569680896366,406.935126940072,3.57635270517468,416.74973662114,407.99044609086,3.56243519474901,416.884740306962,408.735588466973,3.54513584236151,417.208901573248,408.458834088565,3.42335805491962,417.848312318339,1.49488362943149,-3.15559465552559,0.323760251881601,1.45,1.345,0.66,-3.3719,-4.3785,-4.0718,-4.6376,-5.5853,82.22007,79.14,1.0329,-5.63,-3.605,-4.04,0.5,-3.065,1.3,0.58,223.3,289.6,226.3,288.5,-0.025,0,0.065,0.12,0.13,0.05,-0.075,-0.2,-1.249,-0.272,0.6105,1.1305,1.9755,4.1155,5.465,8.735,9.9285,-1.363,-0.342,0.466,1.8575,2.713,3.67,5.415,8.6535,9.552,-1.788,-0.6665,0.0795,0.926,1.6,3.221,4.198,7.97,8.818,-1.602,-0.5975,0.21,0.79,1.473,2.801,4.7205,8.0655,9.5475,-1.557,-1.305,-0.2765,0.5505,0.995,3.102,4.9685,10.1315,-10.921,-13.978,-56.025
1,3.75,0.0887015314479404,-0.015777016204009,4.6932978412029,-0.0387472940338773,0.118379564431635,-6.26326890556967,-0.297899023792521,0.512855191457184,416.322197856951,4.63374008467611,406.95484932749,3.60582314476517,417.250545265781,407.789968363954,3.71463347030568,416.812734950331,409.561381427639,3.56028722495051,417.163922621358,410.071212723513,3.48917548479473,417.667040348392,1.73077554749885,-3.53818420512061,0.420589523109472,1.56,1.4,0.67,-3.7343,-4.5925,-4.3211,-4.8362,-6.0407,82.20084,79.265,1.0829,-5.77,-3.63,-3.945,0.5,-2.99,1.35,0.6,224.5,288.7,226.45,288.95,-0.03,-0.025,0.065,0.11,0.12,0.045,-0.09,-0.2,-1.2965,-0.312,0.589,1.118,1.968,4.116,5.464,8.718,9.9255,-1.3965,-0.379,0.465,1.8545,2.698,3.67,5.4145,8.653,9.551,-1.8965,-0.7175,0.069,0.923,1.5995,3.224,4.196,7.969,8.8165,-1.664,-0.6915,0.1965,0.7855,1.471,2.8025,4.7195,8.064,9.547,-1.6115,-1.4125,-0.278,0.5485,0.994,3.102,4.9665,10.131,-11.958,-13.9715,-60.785
1,4.25,0.148384525122827,0.0149118447786023,2.95472227293906,-0.173510574492669,0.116753941321022,-7.04860977199418,-0.754854236141937,0.530732820083806,416.28025382079,4.62094517984667,408.678300018739,3.54458227189001,416.460359353153,407.673662130244,3.64110665535832,416.503960272287,407.747449650844,3.62789916683215,416.87637235023,409.388186336491,3.61910701838918,417.883306391365,1.60193185996783,-3.55394133492302,0.406730766683007,1.57,1.345,0.67,-3.866,-4.534,-4.1828,-4.92975,-6.23925,82.211995,79.16,0.99865,-5.975,-3.755,-4.29,0.5,-2.99,1.3,0.465,223.6,289.45,229.4,287.7,-0.035,0,0.07,0.1,0.13,0.04,-0.085,-0.19,-1.344,-0.359,0.5785,1.1125,1.95,4.1155,5.466,8.6735,9.928,-1.4555,-0.4255,0.449,1.853,2.6895,3.6695,5.417,8.6525,9.5495,-1.9955,-0.747,0.062,0.9195,1.5985,3.2275,4.199,7.968,8.816,-1.726,-0.748,0.1865,0.782,1.463,2.8045,4.718,8.063,9.5455,-1.7415,-1.48,-0.2915,0.5465,0.9905,3.102,4.964,10.13,-12.474,-13.886,-51.51
1,4.75,0.194665965176458,0.0233314970987216,4.83457788196738,-0.0996366616603459,0.117069706725522,-9.41997011807045,-0.376987361796102,0.505227333114618,416.402138205321,4.47268394987083,407.218731698015,3.78851867529038,416.669125895834,407.937583188482,3.67125594317893,416.569777637866,408.355230357144,3.62597631213873,417.147568657587,410.812494556192,3.69967742432125,417.961921657895,1.5810831034746,-3.87879700099518,0.416272521252488,1.475,1.27,0.63,-3.988,-4.76,-4.3928,-5.08205,-5.97645,82.16754,79.43,0.9635,-5.69,-3.76,-4.225,0.4,-2.83,1.2,0.45,222.35,289.45,229.7,287.55,-0.03,0,0.065,0.04,0.12,0.035,-0.07,-0.2,-1.3525,-0.382,0.5625,1.0995,1.9455,4.1145,5.468,8.6805,9.9325,-1.4795,-0.495,0.4325,1.838,2.6815,3.6695,5.417,8.652,9.5485,-1.9895,-0.7765,0.0585,0.9165,1.5975,3.235,4.1985,7.9655,8.815,-1.765,-0.8005,0.177,0.781,1.461,2.806,4.717,8.0615,9.5445,-1.789,-1.5345,-0.3065,0.5405,0.9855,3.098,4.9615,10.13,-13.116,-17.8,-54.21
